Web Search Interest
France; 2004 - present

Interest over time
Week,TV & Video
2004-01-04 - 2004-01-10,+0%
2004-01-11 - 2004-01-17,+0%
2004-01-18 - 2004-01-24,+0%
2004-01-25 - 2004-01-31,+0%
2004-02-01 - 2004-02-07,-4%
2004-02-08 - 2004-02-14,+0%
2004-02-15 - 2004-02-21,+0%
2004-02-22 - 2004-02-28,+4%
2004-02-29 - 2004-03-06,+4%
2004-03-07 - 2004-03-13,+8%
2004-03-14 - 2004-03-20,+0%
2004-03-21 - 2004-03-27,+12%
2004-03-28 - 2004-04-03,+0%
2004-04-04 - 2004-04-10,+4%
2004-04-11 - 2004-04-17,+28%
2004-04-18 - 2004-04-24,+20%
2004-04-25 - 2004-05-01,+8%
2004-05-02 - 2004-05-08,+4%
2004-05-09 - 2004-05-15,+4%
2004-05-16 - 2004-05-22,+4%
2004-05-23 - 2004-05-29,+0%
2004-05-30 - 2004-06-05,+4%
2004-06-06 - 2004-06-12,+4%
2004-06-13 - 2004-06-19,+4%
2004-06-20 - 2004-06-26,+4%
2004-06-27 - 2004-07-03,-8%
2004-07-04 - 2004-07-10,+0%
2004-07-11 - 2004-07-17,+4%
2004-07-18 - 2004-07-24,+4%
2004-07-25 - 2004-07-31,+0%
2004-08-01 - 2004-08-07,+0%
2004-08-08 - 2004-08-14,+8%
2004-08-15 - 2004-08-21,+16%
2004-08-22 - 2004-08-28,+12%
2004-08-29 - 2004-09-04,+20%
2004-09-05 - 2004-09-11,+12%
2004-09-12 - 2004-09-18,+4%
2004-09-19 - 2004-09-25,+4%
2004-09-26 - 2004-10-02,+4%
2004-10-03 - 2004-10-09,+4%
2004-10-10 - 2004-10-16,+4%
2004-10-17 - 2004-10-23,+4%
2004-10-24 - 2004-10-30,+12%
2004-10-31 - 2004-11-06,+20%
2004-11-07 - 2004-11-13,+24%
2004-11-14 - 2004-11-20,+16%
2004-11-21 - 2004-11-27,+12%
2004-11-28 - 2004-12-04,+8%
2004-12-05 - 2004-12-11,+8%
2004-12-12 - 2004-12-18,+12%
2004-12-19 - 2004-12-25,+24%
2004-12-26 - 2005-01-01,+20%
2005-01-02 - 2005-01-08,+4%
2005-01-09 - 2005-01-15,+4%
2005-01-16 - 2005-01-22,+4%
2005-01-23 - 2005-01-29,+8%
2005-01-30 - 2005-02-05,+4%
2005-02-06 - 2005-02-12,+12%
2005-02-13 - 2005-02-19,+24%
2005-02-20 - 2005-02-26,+24%
2005-02-27 - 2005-03-05,+24%
2005-03-06 - 2005-03-12,+24%
2005-03-13 - 2005-03-19,+16%
2005-03-20 - 2005-03-26,+16%
2005-03-27 - 2005-04-02,+36%
2005-04-03 - 2005-04-09,+32%
2005-04-10 - 2005-04-16,+24%
2005-04-17 - 2005-04-23,+36%
2005-04-24 - 2005-04-30,+32%
2005-05-01 - 2005-05-07,+40%
2005-05-08 - 2005-05-14,+28%
2005-05-15 - 2005-05-21,+20%
2005-05-22 - 2005-05-28,+20%
2005-05-29 - 2005-06-04,+28%
2005-06-05 - 2005-06-11,+16%
2005-06-12 - 2005-06-18,+24%
2005-06-19 - 2005-06-25,+20%
2005-06-26 - 2005-07-02,+28%
2005-07-03 - 2005-07-09,+32%
2005-07-10 - 2005-07-16,+24%
2005-07-17 - 2005-07-23,+20%
2005-07-24 - 2005-07-30,+24%
2005-07-31 - 2005-08-06,+28%
2005-08-07 - 2005-08-13,+36%
2005-08-14 - 2005-08-20,+44%
2005-08-21 - 2005-08-27,+48%
2005-08-28 - 2005-09-03,+40%
2005-09-04 - 2005-09-10,+40%
2005-09-11 - 2005-09-17,+24%
2005-09-18 - 2005-09-24,+28%
2005-09-25 - 2005-10-01,+28%
2005-10-02 - 2005-10-08,+32%
2005-10-09 - 2005-10-15,+36%
2005-10-16 - 2005-10-22,+36%
2005-10-23 - 2005-10-29,+40%
2005-10-30 - 2005-11-05,+44%
2005-11-06 - 2005-11-12,+52%
2005-11-13 - 2005-11-19,+32%
2005-11-20 - 2005-11-26,+40%
2005-11-27 - 2005-12-03,+44%
2005-12-04 - 2005-12-10,+44%
2005-12-11 - 2005-12-17,+48%
2005-12-18 - 2005-12-24,+44%
2005-12-25 - 2005-12-31,+36%
2006-01-01 - 2006-01-07,+28%
2006-01-08 - 2006-01-14,+24%
2006-01-15 - 2006-01-21,+28%
2006-01-22 - 2006-01-28,+32%
2006-01-29 - 2006-02-04,+32%
2006-02-05 - 2006-02-11,+32%
2006-02-12 - 2006-02-18,+36%
2006-02-19 - 2006-02-25,+40%
2006-02-26 - 2006-03-04,+40%
2006-03-05 - 2006-03-11,+36%
2006-03-12 - 2006-03-18,+40%
2006-03-19 - 2006-03-25,+40%
2006-03-26 - 2006-04-01,+48%
2006-04-02 - 2006-04-08,+48%
2006-04-09 - 2006-04-15,+48%
2006-04-16 - 2006-04-22,+56%
2006-04-23 - 2006-04-29,+56%
2006-04-30 - 2006-05-06,+52%
2006-05-07 - 2006-05-13,+56%
2006-05-14 - 2006-05-20,+52%
2006-05-21 - 2006-05-27,+68%
2006-05-28 - 2006-06-03,+52%
2006-06-04 - 2006-06-10,+64%
2006-06-11 - 2006-06-17,+60%
2006-06-18 - 2006-06-24,+56%
2006-06-25 - 2006-07-01,+52%
2006-07-02 - 2006-07-08,+48%
2006-07-09 - 2006-07-15,+64%
2006-07-16 - 2006-07-22,+56%
2006-07-23 - 2006-07-29,+56%
2006-07-30 - 2006-08-05,+64%
2006-08-06 - 2006-08-12,+64%
2006-08-13 - 2006-08-19,+76%
2006-08-20 - 2006-08-26,+72%
2006-08-27 - 2006-09-02,+88%
2006-09-03 - 2006-09-09,+84%
2006-09-10 - 2006-09-16,+76%
2006-09-17 - 2006-09-23,+80%
2006-09-24 - 2006-09-30,+88%
2006-10-01 - 2006-10-07,+84%
2006-10-08 - 2006-10-14,+104%
2006-10-15 - 2006-10-21,+104%
2006-10-22 - 2006-10-28,+120%
2006-10-29 - 2006-11-04,+136%
2006-11-05 - 2006-11-11,+124%
2006-11-12 - 2006-11-18,+128%
2006-11-19 - 2006-11-25,+124%
2006-11-26 - 2006-12-02,+120%
2006-12-03 - 2006-12-09,+124%
2006-12-10 - 2006-12-16,+112%
2006-12-17 - 2006-12-23,+140%
2006-12-24 - 2006-12-30,+144%
2006-12-31 - 2007-01-06,+144%
2007-01-07 - 2007-01-13,+104%
2007-01-14 - 2007-01-20,+112%
2007-01-21 - 2007-01-27,+120%
2007-01-28 - 2007-02-03,+132%
2007-02-04 - 2007-02-10,+132%
2007-02-11 - 2007-02-17,+140%
2007-02-18 - 2007-02-24,+148%
2007-02-25 - 2007-03-03,+152%
2007-03-04 - 2007-03-10,+156%
2007-03-11 - 2007-03-17,+160%
2007-03-18 - 2007-03-24,+164%
2007-03-25 - 2007-03-31,+164%
2007-04-01 - 2007-04-07,+184%
2007-04-08 - 2007-04-14,+184%
2007-04-15 - 2007-04-21,+192%
2007-04-22 - 2007-04-28,+200%
2007-04-29 - 2007-05-05,+224%
2007-05-06 - 2007-05-12,+216%
2007-05-13 - 2007-05-19,+224%
2007-05-20 - 2007-05-26,+196%
2007-05-27 - 2007-06-02,+200%
2007-06-03 - 2007-06-09,+196%
2007-06-10 - 2007-06-16,+228%
2007-06-17 - 2007-06-23,+228%
2007-06-24 - 2007-06-30,+252%
2007-07-01 - 2007-07-07,+220%
2007-07-08 - 2007-07-14,+204%
2007-07-15 - 2007-07-21,+216%
2007-07-22 - 2007-07-28,+208%
2007-07-29 - 2007-08-04,+216%
2007-08-05 - 2007-08-11,+208%
2007-08-12 - 2007-08-18,+220%
2007-08-19 - 2007-08-25,+236%
2007-08-26 - 2007-09-01,+244%
2007-09-02 - 2007-09-08,+220%
2007-09-09 - 2007-09-15,+200%
2007-09-16 - 2007-09-22,+208%
2007-09-23 - 2007-09-29,+204%
2007-09-30 - 2007-10-06,+208%
2007-10-07 - 2007-10-13,+200%
2007-10-14 - 2007-10-20,+212%
2007-10-21 - 2007-10-27,+216%
2007-10-28 - 2007-11-03,+272%
2007-11-04 - 2007-11-10,+248%
2007-11-11 - 2007-11-17,+232%
2007-11-18 - 2007-11-24,+244%
2007-11-25 - 2007-12-01,+248%
2007-12-02 - 2007-12-08,+236%
2007-12-09 - 2007-12-15,+232%
2007-12-16 - 2007-12-22,+248%
2007-12-23 - 2007-12-29,+288%
2007-12-30 - 2008-01-05,+260%
2008-01-06 - 2008-01-12,+216%
2008-01-13 - 2008-01-19,+232%
2008-01-20 - 2008-01-26,+244%
2008-01-27 - 2008-02-02,+236%
2008-02-03 - 2008-02-09,+240%
2008-02-10 - 2008-02-16,+260%
2008-02-17 - 2008-02-23,+268%
2008-02-24 - 2008-03-01,+264%
2008-03-02 - 2008-03-08,+236%
2008-03-09 - 2008-03-15,+240%
2008-03-16 - 2008-03-22,+244%
2008-03-23 - 2008-03-29,+252%
2008-03-30 - 2008-04-05,+244%
2008-04-06 - 2008-04-12,+260%
2008-04-13 - 2008-04-19,+272%
2008-04-20 - 2008-04-26,+268%
2008-04-27 - 2008-05-03,+276%
2008-05-04 - 2008-05-10,+260%
2008-05-11 - 2008-05-17,+248%
2008-05-18 - 2008-05-24,+236%
2008-05-25 - 2008-05-31,+240%
2008-06-01 - 2008-06-07,+248%
2008-06-08 - 2008-06-14,+248%
2008-06-15 - 2008-06-21,+240%
2008-06-22 - 2008-06-28,+256%
2008-06-29 - 2008-07-05,+280%
2008-07-06 - 2008-07-12,+260%
2008-07-13 - 2008-07-19,+272%
2008-07-20 - 2008-07-26,+260%
2008-07-27 - 2008-08-02,+280%
2008-08-03 - 2008-08-09,+268%
2008-08-10 - 2008-08-16,+300%
2008-08-17 - 2008-08-23,+296%
2008-08-24 - 2008-08-30,+296%
2008-08-31 - 2008-09-06,+284%
2008-09-07 - 2008-09-13,+248%
2008-09-14 - 2008-09-20,+252%
2008-09-21 - 2008-09-27,+260%
2008-09-28 - 2008-10-04,+244%
2008-10-05 - 2008-10-11,+248%
2008-10-12 - 2008-10-18,+248%
2008-10-19 - 2008-10-25,+256%
2008-10-26 - 2008-11-01,+268%
2008-11-02 - 2008-11-08,+268%
2008-11-09 - 2008-11-15,+276%
2008-11-16 - 2008-11-22,+256%
2008-11-23 - 2008-11-29,+248%
2008-11-30 - 2008-12-06,+232%
2008-12-07 - 2008-12-13,+244%
2008-12-14 - 2008-12-20,+260%
2008-12-21 - 2008-12-27,+280%
2008-12-28 - 2009-01-03,+280%
2009-01-04 - 2009-01-10,+216%
2009-01-11 - 2009-01-17,+232%
2009-01-18 - 2009-01-24,+232%
2009-01-25 - 2009-01-31,+240%
2009-02-01 - 2009-02-07,+232%
2009-02-08 - 2009-02-14,+248%
2009-02-15 - 2009-02-21,+252%
2009-02-22 - 2009-02-28,+256%
2009-03-01 - 2009-03-07,+240%
2009-03-08 - 2009-03-14,+240%
2009-03-15 - 2009-03-21,+248%
2009-03-22 - 2009-03-28,+240%
2009-03-29 - 2009-04-04,+232%
2009-04-05 - 2009-04-11,+256%
2009-04-12 - 2009-04-18,+272%
2009-04-19 - 2009-04-25,+264%
2009-04-26 - 2009-05-02,+268%
2009-05-03 - 2009-05-09,+252%
2009-05-10 - 2009-05-16,+248%
2009-05-17 - 2009-05-23,+260%
2009-05-24 - 2009-05-30,+232%
2009-05-31 - 2009-06-06,+248%
2009-06-07 - 2009-06-13,+232%
2009-06-14 - 2009-06-20,+252%
2009-06-21 - 2009-06-27,+280%
2009-06-28 - 2009-07-04,+276%
2009-07-05 - 2009-07-11,+260%
2009-07-12 - 2009-07-18,+280%
2009-07-19 - 2009-07-25,+276%
2009-07-26 - 2009-08-01,+264%
2009-08-02 - 2009-08-08,+272%
2009-08-09 - 2009-08-15,+292%
2009-08-16 - 2009-08-22,+300%
2009-08-23 - 2009-08-29,+280%
2009-08-30 - 2009-09-05,+280%
2009-09-06 - 2009-09-12,+272%
2009-09-13 - 2009-09-19,+276%
2009-09-20 - 2009-09-26,+276%
2009-09-27 - 2009-10-03,+236%
2009-10-04 - 2009-10-10,+228%
2009-10-11 - 2009-10-17,+224%
2009-10-18 - 2009-10-24,+232%
2009-10-25 - 2009-10-31,+256%
