Web Search Interest
Hong Kong; 2004 - present

Interest over time
Week,TV & Video
2004-01-04 - 2004-01-10,+0%
2004-01-11 - 2004-01-17,-13%
2004-01-18 - 2004-01-24,-5%
2004-01-25 - 2004-01-31,-8%
2004-02-01 - 2004-02-07,+0%
2004-02-08 - 2004-02-14,-13%
2004-02-15 - 2004-02-21,-13%
2004-02-22 - 2004-02-28,-11%
2004-02-29 - 2004-03-06,-16%
2004-03-07 - 2004-03-13,-13%
2004-03-14 - 2004-03-20,-18%
2004-03-21 - 2004-03-27,-8%
2004-03-28 - 2004-04-03,-5%
2004-04-04 - 2004-04-10,+0%
2004-04-11 - 2004-04-17,-3%
2004-04-18 - 2004-04-24,-5%
2004-04-25 - 2004-05-01,+3%
2004-05-02 - 2004-05-08,+0%
2004-05-09 - 2004-05-15,+5%
2004-05-16 - 2004-05-22,-5%
2004-05-23 - 2004-05-29,+5%
2004-05-30 - 2004-06-05,-11%
2004-06-06 - 2004-06-12,+3%
2004-06-13 - 2004-06-19,+3%
2004-06-20 - 2004-06-26,+0%
2004-06-27 - 2004-07-03,-3%
2004-07-04 - 2004-07-10,-13%
2004-07-11 - 2004-07-17,-5%
2004-07-18 - 2004-07-24,-3%
2004-07-25 - 2004-07-31,-3%
2004-08-01 - 2004-08-07,+8%
2004-08-08 - 2004-08-14,-5%
2004-08-15 - 2004-08-21,+3%
2004-08-22 - 2004-08-28,-3%
2004-08-29 - 2004-09-04,-3%
2004-09-05 - 2004-09-11,+3%
2004-09-12 - 2004-09-18,+3%
2004-09-19 - 2004-09-25,+0%
2004-09-26 - 2004-10-02,+5%
2004-10-03 - 2004-10-09,+0%
2004-10-10 - 2004-10-16,+5%
2004-10-17 - 2004-10-23,+3%
2004-10-24 - 2004-10-30,-8%
2004-10-31 - 2004-11-06,+3%
2004-11-07 - 2004-11-13,-3%
2004-11-14 - 2004-11-20,-3%
2004-11-21 - 2004-11-27,-13%
2004-11-28 - 2004-12-04,-13%
2004-12-05 - 2004-12-11,-11%
2004-12-12 - 2004-12-18,+3%
2004-12-19 - 2004-12-25,-5%
2004-12-26 - 2005-01-01,+13%
2005-01-02 - 2005-01-08,-3%
2005-01-09 - 2005-01-15,-13%
2005-01-16 - 2005-01-22,+5%
2005-01-23 - 2005-01-29,-3%
2005-01-30 - 2005-02-05,+0%
2005-02-06 - 2005-02-12,+24%
2005-02-13 - 2005-02-19,+16%
2005-02-20 - 2005-02-26,-5%
2005-02-27 - 2005-03-05,+0%
2005-03-06 - 2005-03-12,+0%
2005-03-13 - 2005-03-19,-3%
2005-03-20 - 2005-03-26,+11%
2005-03-27 - 2005-04-02,+13%
2005-04-03 - 2005-04-09,+13%
2005-04-10 - 2005-04-16,+3%
2005-04-17 - 2005-04-23,+5%
2005-04-24 - 2005-04-30,+5%
2005-05-01 - 2005-05-07,+5%
2005-05-08 - 2005-05-14,+11%
2005-05-15 - 2005-05-21,+16%
2005-05-22 - 2005-05-28,+13%
2005-05-29 - 2005-06-04,+0%
2005-06-05 - 2005-06-11,+5%
2005-06-12 - 2005-06-18,-5%
2005-06-19 - 2005-06-25,+3%
2005-06-26 - 2005-07-02,+13%
2005-07-03 - 2005-07-09,+11%
2005-07-10 - 2005-07-16,+16%
2005-07-17 - 2005-07-23,+16%
2005-07-24 - 2005-07-30,+18%
2005-07-31 - 2005-08-06,+16%
2005-08-07 - 2005-08-13,+16%
2005-08-14 - 2005-08-20,+16%
2005-08-21 - 2005-08-27,+24%
2005-08-28 - 2005-09-03,+18%
2005-09-04 - 2005-09-10,+11%
2005-09-11 - 2005-09-17,+16%
2005-09-18 - 2005-09-24,+18%
2005-09-25 - 2005-10-01,+53%
2005-10-02 - 2005-10-08,+11%
2005-10-09 - 2005-10-15,+3%
2005-10-16 - 2005-10-22,+3%
