Web Search Interest
Hong Kong; 2004 - present

Interest over time
Week,Bicycles & Accessories
2004-01-04 - 2004-01-10,+0%
2004-01-11 - 2004-01-17,+88%
2004-01-18 - 2004-01-24,+33%
2004-01-25 - 2004-01-31,+71%
2004-02-01 - 2004-02-07,+125%
2004-02-08 - 2004-02-14,+88%
2004-02-15 - 2004-02-21,+100%
2004-02-22 - 2004-02-28,+146%
2004-02-29 - 2004-03-06,+63%
2004-03-07 - 2004-03-13,+113%
2004-03-14 - 2004-03-20,+150%
2004-03-21 - 2004-03-27,+179%
2004-03-28 - 2004-04-03,+133%
2004-04-04 - 2004-04-10,+121%
2004-04-11 - 2004-04-17,+100%
2004-04-18 - 2004-04-24,+138%
2004-04-25 - 2004-05-01,+125%
2004-05-02 - 2004-05-08,+104%
2004-05-09 - 2004-05-15,+150%
2004-05-16 - 2004-05-22,+154%
2004-05-23 - 2004-05-29,+92%
2004-05-30 - 2004-06-05,+67%
2004-06-06 - 2004-06-12,+71%
2004-06-13 - 2004-06-19,+108%
2004-06-20 - 2004-06-26,+58%
2004-06-27 - 2004-07-03,+125%
2004-07-04 - 2004-07-10,+142%
2004-07-11 - 2004-07-17,+63%
2004-07-18 - 2004-07-24,+125%
2004-07-25 - 2004-07-31,+142%
2004-08-01 - 2004-08-07,+142%
2004-08-08 - 2004-08-14,+175%
2004-08-15 - 2004-08-21,+121%
2004-08-22 - 2004-08-28,+113%
2004-08-29 - 2004-09-04,+75%
2004-09-05 - 2004-09-11,+117%
2004-09-12 - 2004-09-18,+79%
2004-09-19 - 2004-09-25,+125%
2004-09-26 - 2004-10-02,+171%
2004-10-03 - 2004-10-09,+129%
2004-10-10 - 2004-10-16,+246%
2004-10-17 - 2004-10-23,+104%
2004-10-24 - 2004-10-30,+196%
2004-10-31 - 2004-11-06,+100%
2004-11-07 - 2004-11-13,+71%
2004-11-14 - 2004-11-20,+79%
2004-11-21 - 2004-11-27,+104%
2004-11-28 - 2004-12-04,+83%
2004-12-05 - 2004-12-11,+71%
2004-12-12 - 2004-12-18,+129%
2004-12-19 - 2004-12-25,+71%
2004-12-26 - 2005-01-01,+83%
2005-01-02 - 2005-01-08,+100%
2005-01-09 - 2005-01-15,+88%
2005-01-16 - 2005-01-22,+96%
2005-01-23 - 2005-01-29,+142%
2005-01-30 - 2005-02-05,+92%
2005-02-06 - 2005-02-12,+158%
2005-02-13 - 2005-02-19,+108%
2005-02-20 - 2005-02-26,+79%
2005-02-27 - 2005-03-05,+88%
2005-03-06 - 2005-03-12,+92%
2005-03-13 - 2005-03-19,+125%
2005-03-20 - 2005-03-26,+92%
2005-03-27 - 2005-04-02,+133%
2005-04-03 - 2005-04-09,+83%
2005-04-10 - 2005-04-16,+75%
2005-04-17 - 2005-04-23,+121%
2005-04-24 - 2005-04-30,+133%
2005-05-01 - 2005-05-07,+146%
2005-05-08 - 2005-05-14,+117%
2005-05-15 - 2005-05-21,+163%
2005-05-22 - 2005-05-28,+63%
2005-05-29 - 2005-06-04,+150%
2005-06-05 - 2005-06-11,+171%
2005-06-12 - 2005-06-18,+133%
2005-06-19 - 2005-06-25,+158%
2005-06-26 - 2005-07-02,+133%
2005-07-03 - 2005-07-09,+142%
2005-07-10 - 2005-07-16,+121%
2005-07-17 - 2005-07-23,+183%
2005-07-24 - 2005-07-30,+158%
2005-07-31 - 2005-08-06,+142%
2005-08-07 - 2005-08-13,+104%
2005-08-14 - 2005-08-20,+133%
2005-08-21 - 2005-08-27,+129%
2005-08-28 - 2005-09-03,+192%
2005-09-04 - 2005-09-10,+117%
2005-09-11 - 2005-09-17,+213%
2005-09-18 - 2005-09-24,+150%
2005-09-25 - 2005-10-01,+179%
2005-10-02 - 2005-10-08,+150%
2005-10-09 - 2005-10-15,+163%
2005-10-16 - 2005-10-22,+121%
2005-10-23 - 2005-10-29,+96%
2005-10-30 - 2005-11-05,+117%
2005-11-06 - 2005-11-12,+196%
2005-11-13 - 2005-11-19,+108%
2005-11-20 - 2005-11-26,+117%
2005-11-27 - 2005-12-03,+108%
2005-12-04 - 2005-12-10,+121%
2005-12-11 - 2005-12-17,+100%
2005-12-18 - 2005-12-24,+154%
2005-12-25 - 2005-12-31,+163%
2006-01-01 - 2006-01-07,+88%
2006-01-08 - 2006-01-14,+121%
2006-01-15 - 2006-01-21,+83%
2006-01-22 - 2006-01-28,+50%
2006-01-29 - 2006-02-04,+142%
2006-02-05 - 2006-02-11,+225%
2006-02-12 - 2006-02-18,+146%
2006-02-19 - 2006-02-25,+121%
2006-02-26 - 2006-03-04,+167%
2006-03-05 - 2006-03-11,+167%
2006-03-12 - 2006-03-18,+138%
2006-03-19 - 2006-03-25,+208%
2006-03-26 - 2006-04-01,+129%
2006-04-02 - 2006-04-08,+104%
2006-04-09 - 2006-04-15,+171%
2006-04-16 - 2006-04-22,+121%
2006-04-23 - 2006-04-29,+142%
2006-04-30 - 2006-05-06,+121%
2006-05-07 - 2006-05-13,+150%
2006-05-14 - 2006-05-20,+154%
2006-05-21 - 2006-05-27,+96%
2006-05-28 - 2006-06-03,+150%
2006-06-04 - 2006-06-10,+167%
2006-06-11 - 2006-06-17,+117%
2006-06-18 - 2006-06-24,+179%
2006-06-25 - 2006-07-01,+125%
2006-07-02 - 2006-07-08,+113%
2006-07-09 - 2006-07-15,+133%
2006-07-16 - 2006-07-22,+138%
2006-07-23 - 2006-07-29,+158%
2006-07-30 - 2006-08-05,+129%
2006-08-06 - 2006-08-12,+125%
2006-08-13 - 2006-08-19,+154%
2006-08-20 - 2006-08-26,+142%
2006-08-27 - 2006-09-02,+96%
2006-09-03 - 2006-09-09,+133%
2006-09-10 - 2006-09-16,+133%
2006-09-17 - 2006-09-23,+88%
2006-09-24 - 2006-09-30,+125%
2006-10-01 - 2006-10-07,+150%
2006-10-08 - 2006-10-14,+113%
2006-10-15 - 2006-10-21,+150%
2006-10-22 - 2006-10-28,+79%
2006-10-29 - 2006-11-04,+113%
2006-11-05 - 2006-11-11,+133%
2006-11-12 - 2006-11-18,+104%
2006-11-19 - 2006-11-25,+113%
2006-11-26 - 2006-12-02,+113%
2006-12-03 - 2006-12-09,+142%
2006-12-10 - 2006-12-16,+88%
2006-12-17 - 2006-12-23,+121%
2006-12-24 - 2006-12-30,+133%
2006-12-31 - 2007-01-06,+92%
2007-01-07 - 2007-01-13,+146%
2007-01-14 - 2007-01-20,+142%
2007-01-21 - 2007-01-27,+100%
2007-01-28 - 2007-02-03,+192%
2007-02-04 - 2007-02-10,+100%
2007-02-11 - 2007-02-17,+125%
2007-02-18 - 2007-02-24,+129%
2007-02-25 - 2007-03-03,+83%
2007-03-04 - 2007-03-10,+125%
2007-03-11 - 2007-03-17,+113%
2007-03-18 - 2007-03-24,+158%
2007-03-25 - 2007-03-31,+171%
2007-04-01 - 2007-04-07,+167%
2007-04-08 - 2007-04-14,+171%
2007-04-15 - 2007-04-21,+142%
2007-04-22 - 2007-04-28,+154%
2007-04-29 - 2007-05-05,+117%
2007-05-06 - 2007-05-12,+142%
2007-05-13 - 2007-05-19,+150%
2007-05-20 - 2007-05-26,+158%
2007-05-27 - 2007-06-02,+113%
2007-06-03 - 2007-06-09,+117%
2007-06-10 - 2007-06-16,+129%
2007-06-17 - 2007-06-23,+146%
2007-06-24 - 2007-06-30,+129%
2007-07-01 - 2007-07-07,+183%
2007-07-08 - 2007-07-14,+163%
2007-07-15 - 2007-07-21,+158%
2007-07-22 - 2007-07-28,+188%
2007-07-29 - 2007-08-04,+167%
2007-08-05 - 2007-08-11,+171%
2007-08-12 - 2007-08-18,+225%
2007-08-19 - 2007-08-25,+117%
