Web Search Interest
Hong Kong; 2004 - present

Interest over time
Week,Hybrid & Alternative Vehicles
2004-01-04 - 2004-01-10,+0%
2004-01-11 - 2004-01-17,+0%
2004-01-18 - 2004-01-24,+0%
2004-01-25 - 2004-01-31,+0%
2004-02-01 - 2004-02-07,-5%
2004-02-08 - 2004-02-14,-5%
2004-02-15 - 2004-02-21,-5%
2004-02-22 - 2004-02-28,-1%
2004-02-29 - 2004-03-06,-35%
2004-03-07 - 2004-03-13,-35%
2004-03-14 - 2004-03-20,-35%
2004-03-21 - 2004-03-27,-35%
2004-03-28 - 2004-04-03,-35%
2004-04-04 - 2004-04-10,-35%
2004-04-11 - 2004-04-17,-35%
2004-04-18 - 2004-04-24,-35%
2004-04-25 - 2004-05-01,-34%
2004-05-02 - 2004-05-08,-34%
2004-05-09 - 2004-05-15,-100%
2004-05-16 - 2004-05-22,-100%
2004-05-23 - 2004-05-29,-100%
2004-05-30 - 2004-06-05,-100%
2004-06-06 - 2004-06-12,-100%
2004-06-13 - 2004-06-19,-33%
2004-06-20 - 2004-06-26,-35%
2004-06-27 - 2004-07-03,-35%
2004-07-04 - 2004-07-10,-35%
2004-07-11 - 2004-07-17,-35%
2004-07-18 - 2004-07-24,-35%
2004-07-25 - 2004-07-31,-40%
2004-08-01 - 2004-08-07,-40%
2004-08-08 - 2004-08-14,-40%
2004-08-15 - 2004-08-21,-12%
2004-08-22 - 2004-08-28,-6%
2004-08-29 - 2004-09-04,-37%
2004-09-05 - 2004-09-11,-33%
2004-09-12 - 2004-09-18,-25%
2004-09-19 - 2004-09-25,-17%
2004-09-26 - 2004-10-02,-15%
2004-10-03 - 2004-10-09,-33%
2004-10-10 - 2004-10-16,-18%
2004-10-17 - 2004-10-23,-3%
2004-10-24 - 2004-10-30,-19%
2004-10-31 - 2004-11-06,-19%
2004-11-07 - 2004-11-13,-7%
2004-11-14 - 2004-11-20,-37%
2004-11-21 - 2004-11-27,-31%
2004-11-28 - 2004-12-04,-36%
2004-12-05 - 2004-12-11,-40%
2004-12-12 - 2004-12-18,-35%
2004-12-19 - 2004-12-25,-33%
2004-12-26 - 2005-01-01,-31%
2005-01-02 - 2005-01-08,-29%
2005-01-09 - 2005-01-15,-30%
2005-01-16 - 2005-01-22,-30%
2005-01-23 - 2005-01-29,-30%
2005-01-30 - 2005-02-05,-30%
2005-02-06 - 2005-02-12,-30%
2005-02-13 - 2005-02-19,-27%
2005-02-20 - 2005-02-26,-25%
2005-02-27 - 2005-03-05,-24%
2005-03-06 - 2005-03-12,-5%
2005-03-13 - 2005-03-19,-14%
2005-03-20 - 2005-03-26,-20%
2005-03-27 - 2005-04-02,-51%
2005-04-03 - 2005-04-09,-28%
2005-04-10 - 2005-04-16,-4%
2005-04-17 - 2005-04-23,-22%
2005-04-24 - 2005-04-30,-27%
2005-05-01 - 2005-05-07,-24%
2005-05-08 - 2005-05-14,-37%
2005-05-15 - 2005-05-21,-43%
2005-05-22 - 2005-05-28,-42%
2005-05-29 - 2005-06-04,-40%
2005-06-05 - 2005-06-11,-36%
2005-06-12 - 2005-06-18,-55%
2005-06-19 - 2005-06-25,-41%
2005-06-26 - 2005-07-02,-28%
2005-07-03 - 2005-07-09,-48%
2005-07-10 - 2005-07-16,-48%
2005-07-17 - 2005-07-23,-48%
2005-07-24 - 2005-07-30,-38%
2005-07-31 - 2005-08-06,-23%
2005-08-07 - 2005-08-13,-31%
2005-08-14 - 2005-08-20,-26%
2005-08-21 - 2005-08-27,-21%
2005-08-28 - 2005-09-03,-16%
2005-09-04 - 2005-09-10,-11%
2005-09-11 - 2005-09-17,-15%
2005-09-18 - 2005-09-24,-31%
2005-09-25 - 2005-10-01,-31%
2005-10-02 - 2005-10-08,-27%
2005-10-09 - 2005-10-15,-24%
2005-10-16 - 2005-10-22,-57%
2005-10-23 - 2005-10-29,-32%
2005-10-30 - 2005-11-05,-46%
2005-11-06 - 2005-11-12,-51%
2005-11-13 - 2005-11-19,-51%
2005-11-20 - 2005-11-26,-24%
2005-11-27 - 2005-12-03,-23%
2005-12-04 - 2005-12-10,-26%
2005-12-11 - 2005-12-17,-33%
2005-12-18 - 2005-12-24,-7%
2005-12-25 - 2005-12-31,-55%
2006-01-01 - 2006-01-07,-55%
2006-01-08 - 2006-01-14,-45%
2006-01-15 - 2006-01-21,-36%
2006-01-22 - 2006-01-28,-59%
2006-01-29 - 2006-02-04,-59%
2006-02-05 - 2006-02-11,-59%
2006-02-12 - 2006-02-18,-44%
2006-02-19 - 2006-02-25,-48%
2006-02-26 - 2006-03-04,-18%
2006-03-05 - 2006-03-11,-20%
2006-03-12 - 2006-03-18,+0%
2006-03-19 - 2006-03-25,-40%
2006-03-26 - 2006-04-01,-40%
2006-04-02 - 2006-04-08,-55%
2006-04-09 - 2006-04-15,-51%
2006-04-16 - 2006-04-22,-47%
2006-04-23 - 2006-04-29,-32%
2006-04-30 - 2006-05-06,-52%
2006-05-07 - 2006-05-13,-45%
2006-05-14 - 2006-05-20,-53%
2006-05-21 - 2006-05-27,-57%
2006-05-28 - 2006-06-03,-27%
2006-06-04 - 2006-06-10,-46%
2006-06-11 - 2006-06-17,-49%
2006-06-18 - 2006-06-24,-48%
2006-06-25 - 2006-07-01,-53%
2006-07-02 - 2006-07-08,-57%
2006-07-09 - 2006-07-15,-53%
2006-07-16 - 2006-07-22,-34%
2006-07-23 - 2006-07-29,-47%
2006-07-30 - 2006-08-05,-62%
2006-08-06 - 2006-08-12,-37%
2006-08-13 - 2006-08-19,-52%
2006-08-20 - 2006-08-26,-61%
2006-08-27 - 2006-09-02,-48%
2006-09-03 - 2006-09-09,-43%
2006-09-10 - 2006-09-16,-25%
2006-09-17 - 2006-09-23,-46%
2006-09-24 - 2006-09-30,-52%
2006-10-01 - 2006-10-07,-32%
2006-10-08 - 2006-10-14,-48%
2006-10-15 - 2006-10-21,-60%
2006-10-22 - 2006-10-28,-53%
2006-10-29 - 2006-11-04,-33%
2006-11-05 - 2006-11-11,-34%
2006-11-12 - 2006-11-18,-44%
2006-11-19 - 2006-11-25,-58%
2006-11-26 - 2006-12-02,-55%
2006-12-03 - 2006-12-09,-20%
2006-12-10 - 2006-12-16,-30%
2006-12-17 - 2006-12-23,-56%
2006-12-24 - 2006-12-30,-56%
2006-12-31 - 2007-01-06,-56%
2007-01-07 - 2007-01-13,-40%
2007-01-14 - 2007-01-20,-48%
2007-01-21 - 2007-01-27,-59%
2007-01-28 - 2007-02-03,-56%
2007-02-04 - 2007-02-10,-63%
2007-02-11 - 2007-02-17,-64%
2007-02-18 - 2007-02-24,-68%
2007-02-25 - 2007-03-03,-20%
2007-03-04 - 2007-03-10,-58%
2007-03-11 - 2007-03-17,-52%
2007-03-18 - 2007-03-24,-52%
2007-03-25 - 2007-03-31,-49%
2007-04-01 - 2007-04-07,-48%
2007-04-08 - 2007-04-14,-68%
2007-04-15 - 2007-04-21,-28%
2007-04-22 - 2007-04-28,-59%
2007-04-29 - 2007-05-05,-49%
2007-05-06 - 2007-05-12,-57%
2007-05-13 - 2007-05-19,-51%
2007-05-20 - 2007-05-26,-52%
2007-05-27 - 2007-06-02,-30%
2007-06-03 - 2007-06-09,-59%
2007-06-10 - 2007-06-16,-53%
2007-06-17 - 2007-06-23,-65%
2007-06-24 - 2007-06-30,-52%
2007-07-01 - 2007-07-07,-53%
2007-07-08 - 2007-07-14,-57%
2007-07-15 - 2007-07-21,-37%
2007-07-22 - 2007-07-28,-40%
2007-07-29 - 2007-08-04,-48%
2007-08-05 - 2007-08-11,-60%
2007-08-12 - 2007-08-18,-64%
2007-08-19 - 2007-08-25,-44%
2007-08-26 - 2007-09-01,-71%
2007-09-02 - 2007-09-08,-65%
2007-09-09 - 2007-09-15,-55%
2007-09-16 - 2007-09-22,-43%
2007-09-23 - 2007-09-29,-72%
2007-09-30 - 2007-10-06,-49%
2007-10-07 - 2007-10-13,-56%
2007-10-14 - 2007-10-20,-36%
2007-10-21 - 2007-10-27,-53%
2007-10-28 - 2007-11-03,-53%
2007-11-04 - 2007-11-10,-43%
2007-11-11 - 2007-11-17,-68%
2007-11-18 - 2007-11-24,-41%
2007-11-25 - 2007-12-01,-48%
2007-12-02 - 2007-12-08,-30%
2007-12-09 - 2007-12-15,-43%
2007-12-16 - 2007-12-22,-57%
2007-12-23 - 2007-12-29,-74%
2007-12-30 - 2008-01-05,-47%
2008-01-06 - 2008-01-12,-57%
2008-01-13 - 2008-01-19,-57%
2008-01-20 - 2008-01-26,-54%
2008-01-27 - 2008-02-02,-68%
2008-02-03 - 2008-02-09,-52%
2008-02-10 - 2008-02-16,-58%
2008-02-17 - 2008-02-23,-56%
2008-02-24 - 2008-03-01,-41%
2008-03-02 - 2008-03-08,-50%
2008-03-09 - 2008-03-15,-47%
2008-03-16 - 2008-03-22,-58%
2008-03-23 - 2008-03-29,-56%
2008-03-30 - 2008-04-05,-63%
2008-04-06 - 2008-04-12,-57%
2008-04-13 - 2008-04-19,-48%
2008-04-20 - 2008-04-26,-35%
2008-04-27 - 2008-05-03,-47%
2008-05-04 - 2008-05-10,-48%
2008-05-11 - 2008-05-17,-57%
2008-05-18 - 2008-05-24,-39%
2008-05-25 - 2008-05-31,-31%
2008-06-01 - 2008-06-07,-32%
2008-06-08 - 2008-06-14,-38%
2008-06-15 - 2008-06-21,-27%
2008-06-22 - 2008-06-28,-32%
2008-06-29 - 2008-07-05,-26%
2008-07-06 - 2008-07-12,-45%
2008-07-13 - 2008-07-19,-40%
2008-07-20 - 2008-07-26,-37%
2008-07-27 - 2008-08-02,-50%
2008-08-03 - 2008-08-09,-46%
2008-08-10 - 2008-08-16,-63%
2008-08-17 - 2008-08-23,-63%
2008-08-24 - 2008-08-30,-60%
2008-08-31 - 2008-09-06,-51%
2008-09-07 - 2008-09-13,-56%
2008-09-14 - 2008-09-20,-59%
2008-09-21 - 2008-09-27,-56%
2008-09-28 - 2008-10-04,-45%
2008-10-05 - 2008-10-11,-50%
2008-10-12 - 2008-10-18,-56%
2008-10-19 - 2008-10-25,-42%
2008-10-26 - 2008-11-01,-52%
2008-11-02 - 2008-11-08,-39%
2008-11-09 - 2008-11-15,-53%
2008-11-16 - 2008-11-22,-40%
2008-11-23 - 2008-11-29,-55%
2008-11-30 - 2008-12-06,-62%
2008-12-07 - 2008-12-13,-47%
2008-12-14 - 2008-12-20,-38%
2008-12-21 - 2008-12-27,-63%
2008-12-28 - 2009-01-03,-56%
2009-01-04 - 2009-01-10,-40%
2009-01-11 - 2009-01-17,-67%
2009-01-18 - 2009-01-24,-38%
2009-01-25 - 2009-01-31,-70%
2009-02-01 - 2009-02-07,-55%
2009-02-08 - 2009-02-14,-28%
2009-02-15 - 2009-02-21,-56%
2009-02-22 - 2009-02-28,-42%
2009-03-01 - 2009-03-07,-30%
2009-03-08 - 2009-03-14,-52%
2009-03-15 - 2009-03-21,-41%
2009-03-22 - 2009-03-28,-55%
2009-03-29 - 2009-04-04,-41%
2009-04-05 - 2009-04-11,-41%
2009-04-12 - 2009-04-18,-39%
2009-04-19 - 2009-04-25,-59%
2009-04-26 - 2009-05-02,-56%
2009-05-03 - 2009-05-09,-49%
2009-05-10 - 2009-05-16,-48%
2009-05-17 - 2009-05-23,-29%
2009-05-24 - 2009-05-30,-56%
2009-05-31 - 2009-06-06,-59%
2009-06-07 - 2009-06-13,-42%
2009-06-14 - 2009-06-20,-58%
2009-06-21 - 2009-06-27,-44%
2009-06-28 - 2009-07-04,-54%
2009-07-05 - 2009-07-11,-57%
2009-07-12 - 2009-07-18,-55%
2009-07-19 - 2009-07-25,-52%
2009-07-26 - 2009-08-01,-48%
2009-08-02 - 2009-08-08,-51%
2009-08-09 - 2009-08-15,-57%
2009-08-16 - 2009-08-22,-61%
2009-08-23 - 2009-08-29,-61%
2009-08-30 - 2009-09-05,-58%
2009-09-06 - 2009-09-12,-53%
2009-09-13 - 2009-09-19,-62%
2009-09-20 - 2009-09-26,-36%
2009-09-27 - 2009-10-03,-46%
2009-10-04 - 2009-10-10,-43%
2009-10-11 - 2009-10-17,-48%
2009-10-18 - 2009-10-24,-33%
2009-10-25 - 2009-10-31,-24%
