Web Search Interest
Italy; 2004 - present

Interest over time
Week,Personal Aircraft
2004-01-04 - 2004-01-10,+0%
2004-01-11 - 2004-01-17,-13%
2004-01-18 - 2004-01-24,-14%
2004-01-25 - 2004-01-31,-19%
2004-02-01 - 2004-02-07,-13%
2004-02-08 - 2004-02-14,-13%
2004-02-15 - 2004-02-21,-6%
2004-02-22 - 2004-02-28,-3%
2004-02-29 - 2004-03-06,+1%
2004-03-07 - 2004-03-13,+9%
2004-03-14 - 2004-03-20,+9%
2004-03-21 - 2004-03-27,+9%
2004-03-28 - 2004-04-03,+5%
2004-04-04 - 2004-04-10,+8%
2004-04-11 - 2004-04-17,+13%
2004-04-18 - 2004-04-24,+3%
2004-04-25 - 2004-05-01,+13%
2004-05-02 - 2004-05-08,+10%
2004-05-09 - 2004-05-15,-4%
2004-05-16 - 2004-05-22,+9%
2004-05-23 - 2004-05-29,+9%
2004-05-30 - 2004-06-05,+4%
2004-06-06 - 2004-06-12,-1%
2004-06-13 - 2004-06-19,+10%
2004-06-20 - 2004-06-26,+5%
2004-06-27 - 2004-07-03,+24%
2004-07-04 - 2004-07-10,+14%
2004-07-11 - 2004-07-17,+12%
2004-07-18 - 2004-07-24,+22%
2004-07-25 - 2004-07-31,+17%
2004-08-01 - 2004-08-07,+28%
2004-08-08 - 2004-08-14,+22%
2004-08-15 - 2004-08-21,+10%
2004-08-22 - 2004-08-28,+14%
2004-08-29 - 2004-09-04,+1%
2004-09-05 - 2004-09-11,-3%
2004-09-12 - 2004-09-18,-9%
2004-09-19 - 2004-09-25,-18%
2004-09-26 - 2004-10-02,-12%
2004-10-03 - 2004-10-09,-13%
2004-10-10 - 2004-10-16,-14%
2004-10-17 - 2004-10-23,-24%
2004-10-24 - 2004-10-30,-18%
2004-10-31 - 2004-11-06,-24%
2004-11-07 - 2004-11-13,-26%
2004-11-14 - 2004-11-20,-8%
2004-11-21 - 2004-11-27,+17%
2004-11-28 - 2004-12-04,-44%
2004-12-05 - 2004-12-11,-51%
2004-12-12 - 2004-12-18,-56%
2004-12-19 - 2004-12-25,-49%
2004-12-26 - 2005-01-01,-55%
2005-01-02 - 2005-01-08,-41%
2005-01-09 - 2005-01-15,-53%
2005-01-16 - 2005-01-22,-49%
2005-01-23 - 2005-01-29,-53%
2005-01-30 - 2005-02-05,-51%
2005-02-06 - 2005-02-12,-56%
2005-02-13 - 2005-02-19,-49%
2005-02-20 - 2005-02-26,-51%
2005-02-27 - 2005-03-05,-49%
2005-03-06 - 2005-03-12,-50%
2005-03-13 - 2005-03-19,-45%
2005-03-20 - 2005-03-26,-50%
2005-03-27 - 2005-04-02,-51%
2005-04-03 - 2005-04-09,-59%
2005-04-10 - 2005-04-16,-54%
2005-04-17 - 2005-04-23,-50%
2005-04-24 - 2005-04-30,-35%
2005-05-01 - 2005-05-07,-35%
2005-05-08 - 2005-05-14,-42%
2005-05-15 - 2005-05-21,-41%
2005-05-22 - 2005-05-28,-51%
2005-05-29 - 2005-06-04,-46%
2005-06-05 - 2005-06-11,-38%
2005-06-12 - 2005-06-18,-45%
2005-06-19 - 2005-06-25,-40%
2005-06-26 - 2005-07-02,-38%
2005-07-03 - 2005-07-09,-31%
2005-07-10 - 2005-07-16,-45%
2005-07-17 - 2005-07-23,-37%
2005-07-24 - 2005-07-30,-36%
2005-07-31 - 2005-08-06,-37%
2005-08-07 - 2005-08-13,-19%
2005-08-14 - 2005-08-20,-35%
2005-08-21 - 2005-08-27,-40%
2005-08-28 - 2005-09-03,-46%
2005-09-04 - 2005-09-10,-47%
2005-09-11 - 2005-09-17,-47%
2005-09-18 - 2005-09-24,-53%
2005-09-25 - 2005-10-01,-53%
2005-10-02 - 2005-10-08,-53%
2005-10-09 - 2005-10-15,-49%
2005-10-16 - 2005-10-22,-56%
