Web Search Interest
United States; 2004 - present

Interest over time
Week,Vehicle Shows
2004-01-04 - 2004-01-10,+0%
2004-01-11 - 2004-01-17,-30%
2004-01-18 - 2004-01-24,-45%
2004-01-25 - 2004-01-31,-49%
2004-02-01 - 2004-02-07,-48%
2004-02-08 - 2004-02-14,-53%
2004-02-15 - 2004-02-21,-52%
2004-02-22 - 2004-02-28,-56%
2004-02-29 - 2004-03-06,-52%
2004-03-07 - 2004-03-13,-52%
2004-03-14 - 2004-03-20,-61%
2004-03-21 - 2004-03-27,-58%
2004-03-28 - 2004-04-03,-64%
2004-04-04 - 2004-04-10,-67%
2004-04-11 - 2004-04-17,-64%
2004-04-18 - 2004-04-24,-66%
2004-04-25 - 2004-05-01,-66%
2004-05-02 - 2004-05-08,-67%
2004-05-09 - 2004-05-15,-64%
2004-05-16 - 2004-05-22,-68%
2004-05-23 - 2004-05-29,-65%
2004-05-30 - 2004-06-05,-64%
2004-06-06 - 2004-06-12,-68%
2004-06-13 - 2004-06-19,-66%
2004-06-20 - 2004-06-26,-67%
2004-06-27 - 2004-07-03,-68%
2004-07-04 - 2004-07-10,-66%
2004-07-11 - 2004-07-17,-65%
2004-07-18 - 2004-07-24,-66%
2004-07-25 - 2004-07-31,-67%
2004-08-01 - 2004-08-07,-67%
2004-08-08 - 2004-08-14,-62%
2004-08-15 - 2004-08-21,-66%
2004-08-22 - 2004-08-28,-64%
2004-08-29 - 2004-09-04,-68%
2004-09-05 - 2004-09-11,-69%
2004-09-12 - 2004-09-18,-67%
2004-09-19 - 2004-09-25,-65%
2004-09-26 - 2004-10-02,-65%
2004-10-03 - 2004-10-09,-67%
2004-10-10 - 2004-10-16,-64%
2004-10-17 - 2004-10-23,-67%
2004-10-24 - 2004-10-30,-70%
2004-10-31 - 2004-11-06,-67%
2004-11-07 - 2004-11-13,-67%
2004-11-14 - 2004-11-20,-72%
2004-11-21 - 2004-11-27,-73%
2004-11-28 - 2004-12-04,-74%
2004-12-05 - 2004-12-11,-74%
2004-12-12 - 2004-12-18,-75%
2004-12-19 - 2004-12-25,-75%
2004-12-26 - 2005-01-01,-66%
2005-01-02 - 2005-01-08,-48%
2005-01-09 - 2005-01-15,-24%
2005-01-16 - 2005-01-22,-44%
2005-01-23 - 2005-01-29,-50%
2005-01-30 - 2005-02-05,-53%
2005-02-06 - 2005-02-12,-50%
2005-02-13 - 2005-02-19,-55%
2005-02-20 - 2005-02-26,-55%
2005-02-27 - 2005-03-05,-56%
2005-03-06 - 2005-03-12,-57%
2005-03-13 - 2005-03-19,-58%
2005-03-20 - 2005-03-26,-65%
2005-03-27 - 2005-04-02,-60%
2005-04-03 - 2005-04-09,-64%
2005-04-10 - 2005-04-16,-66%
2005-04-17 - 2005-04-23,-67%
2005-04-24 - 2005-04-30,-68%
2005-05-01 - 2005-05-07,-69%
2005-05-08 - 2005-05-14,-69%
2005-05-15 - 2005-05-21,-62%
2005-05-22 - 2005-05-28,-62%
2005-05-29 - 2005-06-04,-66%
2005-06-05 - 2005-06-11,-68%
2005-06-12 - 2005-06-18,-67%
2005-06-19 - 2005-06-25,-68%
2005-06-26 - 2005-07-02,-72%
2005-07-03 - 2005-07-09,-69%
2005-07-10 - 2005-07-16,-67%
2005-07-17 - 2005-07-23,-70%
2005-07-24 - 2005-07-30,-70%
2005-07-31 - 2005-08-06,-68%
2005-08-07 - 2005-08-13,-70%
2005-08-14 - 2005-08-20,-69%
2005-08-21 - 2005-08-27,-66%
2005-08-28 - 2005-09-03,-69%
2005-09-04 - 2005-09-10,-66%
2005-09-11 - 2005-09-17,-65%
2005-09-18 - 2005-09-24,-66%
2005-09-25 - 2005-10-01,-68%
