Web Search Interest
Germany; 2004 - present

Interest over time
Week,Children's Literature
2004-01-04 - 2004-01-10,+0%
2004-01-11 - 2004-01-17,-7%
2004-01-18 - 2004-01-24,-10%
2004-01-25 - 2004-01-31,-14%
2004-02-01 - 2004-02-07,-14%
2004-02-08 - 2004-02-14,-17%
2004-02-15 - 2004-02-21,-10%
2004-02-22 - 2004-02-28,-17%
2004-02-29 - 2004-03-06,+0%
2004-03-07 - 2004-03-13,-17%
2004-03-14 - 2004-03-20,-17%
2004-03-21 - 2004-03-27,-7%
2004-03-28 - 2004-04-03,-10%
2004-04-04 - 2004-04-10,-7%
2004-04-11 - 2004-04-17,-28%
2004-04-18 - 2004-04-24,-14%
2004-04-25 - 2004-05-01,-21%
2004-05-02 - 2004-05-08,-17%
2004-05-09 - 2004-05-15,-17%
2004-05-16 - 2004-05-22,-10%
2004-05-23 - 2004-05-29,+3%
2004-05-30 - 2004-06-05,+34%
2004-06-06 - 2004-06-12,+21%
2004-06-13 - 2004-06-19,+0%
2004-06-20 - 2004-06-26,-10%
2004-06-27 - 2004-07-03,-7%
2004-07-04 - 2004-07-10,-14%
2004-07-11 - 2004-07-17,-14%
2004-07-18 - 2004-07-24,-24%
2004-07-25 - 2004-07-31,-31%
2004-08-01 - 2004-08-07,-31%
2004-08-08 - 2004-08-14,-34%
2004-08-15 - 2004-08-21,-31%
2004-08-22 - 2004-08-28,-34%
2004-08-29 - 2004-09-04,-31%
2004-09-05 - 2004-09-11,-17%
2004-09-12 - 2004-09-18,-24%
2004-09-19 - 2004-09-25,-17%
2004-09-26 - 2004-10-02,-21%
2004-10-03 - 2004-10-09,-17%
2004-10-10 - 2004-10-16,-17%
2004-10-17 - 2004-10-23,-17%
2004-10-24 - 2004-10-30,-14%
2004-10-31 - 2004-11-06,-14%
2004-11-07 - 2004-11-13,-10%
2004-11-14 - 2004-11-20,-10%
2004-11-21 - 2004-11-27,+0%
2004-11-28 - 2004-12-04,+0%
2004-12-05 - 2004-12-11,+0%
2004-12-12 - 2004-12-18,+0%
2004-12-19 - 2004-12-25,+14%
2004-12-26 - 2005-01-01,-17%
2005-01-02 - 2005-01-08,-21%
2005-01-09 - 2005-01-15,-14%
2005-01-16 - 2005-01-22,-10%
2005-01-23 - 2005-01-29,-24%
2005-01-30 - 2005-02-05,-21%
2005-02-06 - 2005-02-12,-21%
2005-02-13 - 2005-02-19,-17%
2005-02-20 - 2005-02-26,-21%
2005-02-27 - 2005-03-05,-14%
2005-03-06 - 2005-03-12,-17%
2005-03-13 - 2005-03-19,-21%
2005-03-20 - 2005-03-26,-28%
2005-03-27 - 2005-04-02,-21%
2005-04-03 - 2005-04-09,-21%
2005-04-10 - 2005-04-16,-21%
2005-04-17 - 2005-04-23,-21%
2005-04-24 - 2005-04-30,-17%
2005-05-01 - 2005-05-07,-24%
2005-05-08 - 2005-05-14,-17%
2005-05-15 - 2005-05-21,-21%
2005-05-22 - 2005-05-28,-24%
2005-05-29 - 2005-06-04,-17%
2005-06-05 - 2005-06-11,-21%
2005-06-12 - 2005-06-18,-21%
2005-06-19 - 2005-06-25,-24%
2005-06-26 - 2005-07-02,-21%
2005-07-03 - 2005-07-09,-21%
2005-07-10 - 2005-07-16,+21%
2005-07-17 - 2005-07-23,+69%
2005-07-24 - 2005-07-30,+7%
2005-07-31 - 2005-08-06,-3%
2005-08-07 - 2005-08-13,-10%
2005-08-14 - 2005-08-20,-14%
2005-08-21 - 2005-08-27,-21%
2005-08-28 - 2005-09-03,-17%
2005-09-04 - 2005-09-10,-14%
2005-09-11 - 2005-09-17,+0%
2005-09-18 - 2005-09-24,-7%
2005-09-25 - 2005-10-01,+21%
2005-10-02 - 2005-10-08,+69%
2005-10-09 - 2005-10-15,+31%
2005-10-16 - 2005-10-22,+21%
2005-10-23 - 2005-10-29,+31%
2005-10-30 - 2005-11-05,+24%
2005-11-06 - 2005-11-12,+34%
2005-11-13 - 2005-11-19,+45%
2005-11-20 - 2005-11-26,+41%
2005-11-27 - 2005-12-03,+24%
2005-12-04 - 2005-12-10,+38%
2005-12-11 - 2005-12-17,+31%
2005-12-18 - 2005-12-24,+21%
2005-12-25 - 2005-12-31,+17%
2006-01-01 - 2006-01-07,+0%
2006-01-08 - 2006-01-14,-7%
2006-01-15 - 2006-01-21,-14%
2006-01-22 - 2006-01-28,-10%
2006-01-29 - 2006-02-04,-10%
2006-02-05 - 2006-02-11,-14%
2006-02-12 - 2006-02-18,-10%
2006-02-19 - 2006-02-25,-17%
2006-02-26 - 2006-03-04,-17%
2006-03-05 - 2006-03-11,-17%
2006-03-12 - 2006-03-18,-14%
2006-03-19 - 2006-03-25,-17%
2006-03-26 - 2006-04-01,-14%
2006-04-02 - 2006-04-08,-14%
2006-04-09 - 2006-04-15,-24%
2006-04-16 - 2006-04-22,-28%
2006-04-23 - 2006-04-29,-24%
2006-04-30 - 2006-05-06,-24%
2006-05-07 - 2006-05-13,-28%
2006-05-14 - 2006-05-20,-28%
2006-05-21 - 2006-05-27,-28%
2006-05-28 - 2006-06-03,-31%
2006-06-04 - 2006-06-10,-34%
2006-06-11 - 2006-06-17,-34%
2006-06-18 - 2006-06-24,-28%
2006-06-25 - 2006-07-01,-28%
2006-07-02 - 2006-07-08,-38%
2006-07-09 - 2006-07-15,-34%
2006-07-16 - 2006-07-22,-41%
2006-07-23 - 2006-07-29,-34%
2006-07-30 - 2006-08-05,-34%
2006-08-06 - 2006-08-12,-34%
2006-08-13 - 2006-08-19,-31%
2006-08-20 - 2006-08-26,-28%
2006-08-27 - 2006-09-02,-28%
2006-09-03 - 2006-09-09,-31%
2006-09-10 - 2006-09-16,-24%
2006-09-17 - 2006-09-23,-24%
2006-09-24 - 2006-09-30,-24%
2006-10-01 - 2006-10-07,-17%
2006-10-08 - 2006-10-14,-21%
2006-10-15 - 2006-10-21,-14%
2006-10-22 - 2006-10-28,-14%
2006-10-29 - 2006-11-04,-17%
2006-11-05 - 2006-11-11,-21%
2006-11-12 - 2006-11-18,-10%
2006-11-19 - 2006-11-25,+17%
