Web Search Interest
Portugal; 2004 - present

Interest over time
Week,Fan Fiction
2004-01-04 - 2004-01-10,+0%
2004-01-11 - 2004-01-17,+17%
2004-01-18 - 2004-01-24,+14%
2004-01-25 - 2004-01-31,+7%
2004-02-01 - 2004-02-07,+38%
2004-02-08 - 2004-02-14,+55%
2004-02-15 - 2004-02-21,+41%
2004-02-22 - 2004-02-28,+90%
2004-02-29 - 2004-03-06,+10%
2004-03-07 - 2004-03-13,+31%
2004-03-14 - 2004-03-20,+41%
2004-03-21 - 2004-03-27,+34%
2004-03-28 - 2004-04-03,+41%
2004-04-04 - 2004-04-10,+62%
2004-04-11 - 2004-04-17,+141%
2004-04-18 - 2004-04-24,+41%
2004-04-25 - 2004-05-01,+38%
2004-05-02 - 2004-05-08,+10%
2004-05-09 - 2004-05-15,+38%
2004-05-16 - 2004-05-22,+69%
2004-05-23 - 2004-05-29,+55%
2004-05-30 - 2004-06-05,+34%
2004-06-06 - 2004-06-12,+45%
2004-06-13 - 2004-06-19,+62%
2004-06-20 - 2004-06-26,+145%
2004-06-27 - 2004-07-03,+76%
2004-07-04 - 2004-07-10,+59%
2004-07-11 - 2004-07-17,+31%
2004-07-18 - 2004-07-24,+21%
2004-07-25 - 2004-07-31,+86%
2004-08-01 - 2004-08-07,+17%
2004-08-08 - 2004-08-14,+17%
2004-08-15 - 2004-08-21,+7%
2004-08-22 - 2004-08-28,+52%
2004-08-29 - 2004-09-04,+34%
2004-09-05 - 2004-09-11,+55%
2004-09-12 - 2004-09-18,+107%
2004-09-19 - 2004-09-25,+34%
2004-09-26 - 2004-10-02,+152%
2004-10-03 - 2004-10-09,+83%
2004-10-10 - 2004-10-16,+28%
2004-10-17 - 2004-10-23,+100%
2004-10-24 - 2004-10-30,+28%
2004-10-31 - 2004-11-06,+52%
2004-11-07 - 2004-11-13,+69%
2004-11-14 - 2004-11-20,+41%
2004-11-21 - 2004-11-27,+7%
2004-11-28 - 2004-12-04,-14%
2004-12-05 - 2004-12-11,+66%
2004-12-12 - 2004-12-18,+21%
2004-12-19 - 2004-12-25,+52%
2004-12-26 - 2005-01-01,+97%
2005-01-02 - 2005-01-08,+103%
2005-01-09 - 2005-01-15,+24%
2005-01-16 - 2005-01-22,+76%
2005-01-23 - 2005-01-29,+24%
2005-01-30 - 2005-02-05,+24%
2005-02-06 - 2005-02-12,+76%
2005-02-13 - 2005-02-19,+48%
2005-02-20 - 2005-02-26,+38%
2005-02-27 - 2005-03-05,+45%
2005-03-06 - 2005-03-12,+52%
2005-03-13 - 2005-03-19,+14%
2005-03-20 - 2005-03-26,+69%
2005-03-27 - 2005-04-02,+31%
2005-04-03 - 2005-04-09,+38%
2005-04-10 - 2005-04-16,+7%
2005-04-17 - 2005-04-23,+21%
2005-04-24 - 2005-04-30,+28%
2005-05-01 - 2005-05-07,+14%
2005-05-08 - 2005-05-14,+28%
2005-05-15 - 2005-05-21,+17%
2005-05-22 - 2005-05-28,+3%
2005-05-29 - 2005-06-04,+3%
2005-06-05 - 2005-06-11,+45%
2005-06-12 - 2005-06-18,+21%
2005-06-19 - 2005-06-25,+17%
2005-06-26 - 2005-07-02,+31%
2005-07-03 - 2005-07-09,+31%
2005-07-10 - 2005-07-16,+86%
2005-07-17 - 2005-07-23,+69%
2005-07-24 - 2005-07-30,+41%
2005-07-31 - 2005-08-06,+76%
2005-08-07 - 2005-08-13,+103%
2005-08-14 - 2005-08-20,+79%
2005-08-21 - 2005-08-27,+141%
2005-08-28 - 2005-09-03,+45%
2005-09-04 - 2005-09-10,+66%
2005-09-11 - 2005-09-17,+55%
2005-09-18 - 2005-09-24,+55%
2005-09-25 - 2005-10-01,+62%
