Web Search Interest
Portugal; 2004 - present

Interest over time
Week,Aerospace & Defense
2004-01-04 - 2004-01-10,+0%
2004-01-11 - 2004-01-17,-20%
2004-01-18 - 2004-01-24,-17%
2004-01-25 - 2004-01-31,-2%
2004-02-01 - 2004-02-07,-33%
2004-02-08 - 2004-02-14,-47%
2004-02-15 - 2004-02-21,-44%
2004-02-22 - 2004-02-28,-53%
2004-02-29 - 2004-03-06,-35%
2004-03-07 - 2004-03-13,-41%
2004-03-14 - 2004-03-20,-53%
2004-03-21 - 2004-03-27,-70%
2004-03-28 - 2004-04-03,-50%
2004-04-04 - 2004-04-10,-65%
2004-04-11 - 2004-04-17,-65%
2004-04-18 - 2004-04-24,-52%
2004-04-25 - 2004-05-01,-45%
2004-05-02 - 2004-05-08,-59%
2004-05-09 - 2004-05-15,-41%
2004-05-16 - 2004-05-22,-56%
2004-05-23 - 2004-05-29,-65%
2004-05-30 - 2004-06-05,-55%
2004-06-06 - 2004-06-12,-41%
2004-06-13 - 2004-06-19,-39%
2004-06-20 - 2004-06-26,-9%
2004-06-27 - 2004-07-03,-44%
2004-07-04 - 2004-07-10,-50%
2004-07-11 - 2004-07-17,-38%
2004-07-18 - 2004-07-24,-56%
2004-07-25 - 2004-07-31,-59%
2004-08-01 - 2004-08-07,-59%
2004-08-08 - 2004-08-14,-61%
2004-08-15 - 2004-08-21,-65%
2004-08-22 - 2004-08-28,-62%
2004-08-29 - 2004-09-04,-65%
2004-09-05 - 2004-09-11,-56%
2004-09-12 - 2004-09-18,-67%
2004-09-19 - 2004-09-25,-62%
2004-09-26 - 2004-10-02,-64%
2004-10-03 - 2004-10-09,-52%
2004-10-10 - 2004-10-16,-53%
2004-10-17 - 2004-10-23,-53%
2004-10-24 - 2004-10-30,-55%
2004-10-31 - 2004-11-06,-58%
2004-11-07 - 2004-11-13,-53%
2004-11-14 - 2004-11-20,-48%
2004-11-21 - 2004-11-27,-65%
2004-11-28 - 2004-12-04,-53%
2004-12-05 - 2004-12-11,-56%
2004-12-12 - 2004-12-18,-61%
2004-12-19 - 2004-12-25,-61%
2004-12-26 - 2005-01-01,-47%
