Web Search Interest
Spain; 2004 - present

Interest over time
Week,Pharmaceuticals & Biotech
2004-01-04 - 2004-01-10,+0%
2004-01-11 - 2004-01-17,+29%
2004-01-18 - 2004-01-24,+24%
2004-01-25 - 2004-01-31,+40%
2004-02-01 - 2004-02-07,+18%
2004-02-08 - 2004-02-14,+29%
2004-02-15 - 2004-02-21,+22%
2004-02-22 - 2004-02-28,+38%
2004-02-29 - 2004-03-06,+47%
2004-03-07 - 2004-03-13,+12%
2004-03-14 - 2004-03-20,+19%
2004-03-21 - 2004-03-27,+24%
2004-03-28 - 2004-04-03,+24%
2004-04-04 - 2004-04-10,-7%
2004-04-11 - 2004-04-17,+18%
2004-04-18 - 2004-04-24,+32%
2004-04-25 - 2004-05-01,+32%
2004-05-02 - 2004-05-08,+21%
2004-05-09 - 2004-05-15,+18%
2004-05-16 - 2004-05-22,+19%
2004-05-23 - 2004-05-29,+24%
2004-05-30 - 2004-06-05,+6%
2004-06-06 - 2004-06-12,+7%
2004-06-13 - 2004-06-19,+15%
2004-06-20 - 2004-06-26,+10%
2004-06-27 - 2004-07-03,+12%
2004-07-04 - 2004-07-10,+13%
2004-07-11 - 2004-07-17,+15%
2004-07-18 - 2004-07-24,-3%
2004-07-25 - 2004-07-31,-3%
2004-08-01 - 2004-08-07,-35%
2004-08-08 - 2004-08-14,-26%
2004-08-15 - 2004-08-21,-22%
2004-08-22 - 2004-08-28,-25%
2004-08-29 - 2004-09-04,-3%
2004-09-05 - 2004-09-11,+21%
2004-09-12 - 2004-09-18,+15%
2004-09-19 - 2004-09-25,+22%
2004-09-26 - 2004-10-02,+25%
2004-10-03 - 2004-10-09,+37%
2004-10-10 - 2004-10-16,+25%
2004-10-17 - 2004-10-23,+22%
2004-10-24 - 2004-10-30,+28%
2004-10-31 - 2004-11-06,+6%
2004-11-07 - 2004-11-13,+7%
2004-11-14 - 2004-11-20,+13%
2004-11-21 - 2004-11-27,+12%
2004-11-28 - 2004-12-04,+15%
2004-12-05 - 2004-12-11,-26%
2004-12-12 - 2004-12-18,-6%
2004-12-19 - 2004-12-25,-19%
2004-12-26 - 2005-01-01,-32%
2005-01-02 - 2005-01-08,-15%
2005-01-09 - 2005-01-15,+6%
2005-01-16 - 2005-01-22,+6%
2005-01-23 - 2005-01-29,+16%
2005-01-30 - 2005-02-05,+7%
2005-02-06 - 2005-02-12,+16%
2005-02-13 - 2005-02-19,+16%
2005-02-20 - 2005-02-26,+26%
2005-02-27 - 2005-03-05,+16%
2005-03-06 - 2005-03-12,+12%
2005-03-13 - 2005-03-19,+9%
2005-03-20 - 2005-03-26,-21%
2005-03-27 - 2005-04-02,-6%
2005-04-03 - 2005-04-09,-4%
2005-04-10 - 2005-04-16,+12%
2005-04-17 - 2005-04-23,+13%
2005-04-24 - 2005-04-30,-1%
2005-05-01 - 2005-05-07,+1%
2005-05-08 - 2005-05-14,+6%
2005-05-15 - 2005-05-21,-4%
2005-05-22 - 2005-05-28,+0%
2005-05-29 - 2005-06-04,-9%
2005-06-05 - 2005-06-11,-1%
2005-06-12 - 2005-06-18,-3%
2005-06-19 - 2005-06-25,-3%
2005-06-26 - 2005-07-02,-16%
2005-07-03 - 2005-07-09,-9%
2005-07-10 - 2005-07-16,-6%
2005-07-17 - 2005-07-23,-9%
2005-07-24 - 2005-07-30,-22%
2005-07-31 - 2005-08-06,-32%
2005-08-07 - 2005-08-13,-43%
2005-08-14 - 2005-08-20,-43%
2005-08-21 - 2005-08-27,-32%
2005-08-28 - 2005-09-03,-18%
2005-09-04 - 2005-09-10,-18%
2005-09-11 - 2005-09-17,-7%
2005-09-18 - 2005-09-24,-3%
2005-09-25 - 2005-10-01,-10%
2005-10-02 - 2005-10-08,-3%
2005-10-09 - 2005-10-15,-7%
2005-10-16 - 2005-10-22,+1%
2005-10-23 - 2005-10-29,-3%
2005-10-30 - 2005-11-05,-15%
2005-11-06 - 2005-11-12,-4%
2005-11-13 - 2005-11-19,-6%
2005-11-20 - 2005-11-26,-13%
2005-11-27 - 2005-12-03,+0%
2005-12-04 - 2005-12-10,-29%
2005-12-11 - 2005-12-17,-3%
2005-12-18 - 2005-12-24,-19%
2005-12-25 - 2005-12-31,-35%
2006-01-01 - 2006-01-07,-28%
2006-01-08 - 2006-01-14,+6%
2006-01-15 - 2006-01-21,+1%
2006-01-22 - 2006-01-28,+0%
2006-01-29 - 2006-02-04,-9%
2006-02-05 - 2006-02-11,+3%
2006-02-12 - 2006-02-18,-7%
2006-02-19 - 2006-02-25,-9%
2006-02-26 - 2006-03-04,-3%
2006-03-05 - 2006-03-11,-9%
2006-03-12 - 2006-03-18,-3%
2006-03-19 - 2006-03-25,-10%
2006-03-26 - 2006-04-01,-10%
2006-04-02 - 2006-04-08,-12%
2006-04-09 - 2006-04-15,-32%
2006-04-16 - 2006-04-22,-18%
2006-04-23 - 2006-04-29,-22%
2006-04-30 - 2006-05-06,-16%
2006-05-07 - 2006-05-13,-12%
2006-05-14 - 2006-05-20,-19%
2006-05-21 - 2006-05-27,+1%
2006-05-28 - 2006-06-03,-10%
2006-06-04 - 2006-06-10,-22%
2006-06-11 - 2006-06-17,-24%
2006-06-18 - 2006-06-24,-16%
2006-06-25 - 2006-07-01,-24%
2006-07-02 - 2006-07-08,-25%
2006-07-09 - 2006-07-15,-21%
2006-07-16 - 2006-07-22,-25%
2006-07-23 - 2006-07-29,-25%
2006-07-30 - 2006-08-05,-41%
2006-08-06 - 2006-08-12,-40%
2006-08-13 - 2006-08-19,-47%
2006-08-20 - 2006-08-26,-28%
2006-08-27 - 2006-09-02,-32%
2006-09-03 - 2006-09-09,-24%
2006-09-10 - 2006-09-16,-22%
2006-09-17 - 2006-09-23,-13%
2006-09-24 - 2006-09-30,-19%
2006-10-01 - 2006-10-07,-10%
2006-10-08 - 2006-10-14,-34%
2006-10-15 - 2006-10-21,-18%
2006-10-22 - 2006-10-28,-15%
2006-10-29 - 2006-11-04,-22%
2006-11-05 - 2006-11-11,-19%
2006-11-12 - 2006-11-18,-18%
2006-11-19 - 2006-11-25,-21%
2006-11-26 - 2006-12-02,-25%
2006-12-03 - 2006-12-09,-40%
2006-12-10 - 2006-12-16,-25%
2006-12-17 - 2006-12-23,-34%
2006-12-24 - 2006-12-30,-51%
2006-12-31 - 2007-01-06,-41%
2007-01-07 - 2007-01-13,-21%
2007-01-14 - 2007-01-20,-12%
2007-01-21 - 2007-01-27,-16%
2007-01-28 - 2007-02-03,-18%
2007-02-04 - 2007-02-10,-18%
2007-02-11 - 2007-02-17,-16%
2007-02-18 - 2007-02-24,-10%
2007-02-25 - 2007-03-03,-18%
2007-03-04 - 2007-03-10,-21%
2007-03-11 - 2007-03-17,-26%
2007-03-18 - 2007-03-24,-21%
2007-03-25 - 2007-03-31,-13%
2007-04-01 - 2007-04-07,-47%
2007-04-08 - 2007-04-14,-28%
2007-04-15 - 2007-04-21,-28%
2007-04-22 - 2007-04-28,-32%
2007-04-29 - 2007-05-05,-32%
2007-05-06 - 2007-05-12,-24%
2007-05-13 - 2007-05-19,-25%
2007-05-20 - 2007-05-26,-26%
2007-05-27 - 2007-06-02,-31%
2007-06-03 - 2007-06-09,-26%
2007-06-10 - 2007-06-16,-19%
2007-06-17 - 2007-06-23,-25%
2007-06-24 - 2007-06-30,-29%
2007-07-01 - 2007-07-07,-29%
2007-07-08 - 2007-07-14,-24%
2007-07-15 - 2007-07-21,-16%
2007-07-22 - 2007-07-28,-34%
2007-07-29 - 2007-08-04,-44%
2007-08-05 - 2007-08-11,-51%
2007-08-12 - 2007-08-18,-59%
2007-08-19 - 2007-08-25,-50%
2007-08-26 - 2007-09-01,-41%
2007-09-02 - 2007-09-08,-34%
2007-09-09 - 2007-09-15,-35%
2007-09-16 - 2007-09-22,-24%
2007-09-23 - 2007-09-29,-32%
2007-09-30 - 2007-10-06,-29%
2007-10-07 - 2007-10-13,-32%
2007-10-14 - 2007-10-20,-31%
2007-10-21 - 2007-10-27,-28%
2007-10-28 - 2007-11-03,-37%
2007-11-04 - 2007-11-10,-29%
2007-11-11 - 2007-11-17,-28%
2007-11-18 - 2007-11-24,-25%
2007-11-25 - 2007-12-01,-31%
2007-12-02 - 2007-12-08,-32%
2007-12-09 - 2007-12-15,-32%
2007-12-16 - 2007-12-22,-43%
2007-12-23 - 2007-12-29,-60%
2007-12-30 - 2008-01-05,-50%
2008-01-06 - 2008-01-12,-31%
2008-01-13 - 2008-01-19,-28%
2008-01-20 - 2008-01-26,-32%
2008-01-27 - 2008-02-02,-31%
2008-02-03 - 2008-02-09,-31%
2008-02-10 - 2008-02-16,-29%
2008-02-17 - 2008-02-23,-26%
2008-02-24 - 2008-03-01,-25%
2008-03-02 - 2008-03-08,-28%
2008-03-09 - 2008-03-15,-28%
2008-03-16 - 2008-03-22,-46%
2008-03-23 - 2008-03-29,-35%
2008-03-30 - 2008-04-05,-26%
2008-04-06 - 2008-04-12,-25%
2008-04-13 - 2008-04-19,-25%
2008-04-20 - 2008-04-26,-28%
2008-04-27 - 2008-05-03,-38%
2008-05-04 - 2008-05-10,-29%
2008-05-11 - 2008-05-17,-35%
2008-05-18 - 2008-05-24,-26%
2008-05-25 - 2008-05-31,-32%
2008-06-01 - 2008-06-07,-35%
2008-06-08 - 2008-06-14,-34%
2008-06-15 - 2008-06-21,-35%
2008-06-22 - 2008-06-28,-40%
2008-06-29 - 2008-07-05,-37%
2008-07-06 - 2008-07-12,-37%
2008-07-13 - 2008-07-19,-35%
2008-07-20 - 2008-07-26,-40%
2008-07-27 - 2008-08-02,-44%
2008-08-03 - 2008-08-09,-46%
2008-08-10 - 2008-08-16,-59%
2008-08-17 - 2008-08-23,-57%
2008-08-24 - 2008-08-30,-47%
2008-08-31 - 2008-09-06,-38%
2008-09-07 - 2008-09-13,-41%
2008-09-14 - 2008-09-20,-29%
2008-09-21 - 2008-09-27,-35%
2008-09-28 - 2008-10-04,-35%
2008-10-05 - 2008-10-11,-32%
2008-10-12 - 2008-10-18,-32%
2008-10-19 - 2008-10-25,-31%
2008-10-26 - 2008-11-01,-34%
2008-11-02 - 2008-11-08,-28%
2008-11-09 - 2008-11-15,-32%
2008-11-16 - 2008-11-22,-29%
2008-11-23 - 2008-11-29,-34%
2008-11-30 - 2008-12-06,-35%
2008-12-07 - 2008-12-13,-40%
2008-12-14 - 2008-12-20,-44%
2008-12-21 - 2008-12-27,-62%
2008-12-28 - 2009-01-03,-63%
2009-01-04 - 2009-01-10,-46%
2009-01-11 - 2009-01-17,-31%
2009-01-18 - 2009-01-24,-31%
2009-01-25 - 2009-01-31,-25%
2009-02-01 - 2009-02-07,-28%
2009-02-08 - 2009-02-14,-28%
2009-02-15 - 2009-02-21,-28%
2009-02-22 - 2009-02-28,-25%
2009-03-01 - 2009-03-07,-31%
2009-03-08 - 2009-03-14,-25%
2009-03-15 - 2009-03-21,-34%
2009-03-22 - 2009-03-28,-29%
2009-03-29 - 2009-04-04,-37%
2009-04-05 - 2009-04-11,-50%
2009-04-12 - 2009-04-18,-32%
2009-04-19 - 2009-04-25,-32%
2009-04-26 - 2009-05-02,-37%
2009-05-03 - 2009-05-09,-34%
2009-05-10 - 2009-05-16,-34%
2009-05-17 - 2009-05-23,-32%
2009-05-24 - 2009-05-30,-34%
2009-05-31 - 2009-06-06,-35%
2009-06-07 - 2009-06-13,-41%
2009-06-14 - 2009-06-20,-37%
2009-06-21 - 2009-06-27,-40%
2009-06-28 - 2009-07-04,-40%
2009-07-05 - 2009-07-11,-40%
2009-07-12 - 2009-07-18,-38%
2009-07-19 - 2009-07-25,-40%
2009-07-26 - 2009-08-01,-46%
2009-08-02 - 2009-08-08,-51%
2009-08-09 - 2009-08-15,-53%
2009-08-16 - 2009-08-22,-51%
2009-08-23 - 2009-08-29,-50%
2009-08-30 - 2009-09-05,-41%
2009-09-06 - 2009-09-12,-37%
2009-09-13 - 2009-09-19,-37%
2009-09-20 - 2009-09-26,-34%
2009-09-27 - 2009-10-03,-34%
2009-10-04 - 2009-10-10,-32%
2009-10-11 - 2009-10-17,-43%
2009-10-18 - 2009-10-24,-37%
2009-10-25 - 2009-10-31,-40%
2009-11-01 - 2009-11-07,-38%
2009-11-08 - 2009-11-14,-40%
2009-11-15 - 2009-11-21,-37%
2009-11-22 - 2009-11-28,-37%
2009-11-29 - 2009-12-05,-41%
2009-12-06 - 2009-12-12,-49%
2009-12-13 - 2009-12-19,-44%
2009-12-20 - 2009-12-26,-57%
2009-12-27 - 2010-01-02,-63%
2010-01-03 - 2010-01-09,-53%
2010-01-10 - 2010-01-16,-40%
2010-01-17 - 2010-01-23,-40%
2010-01-24 - 2010-01-30,-41%
2010-01-31 - 2010-02-06,-35%
2010-02-07 - 2010-02-13,-32%
2010-02-14 - 2010-02-20,-38%
2010-02-21 - 2010-02-27,-38%
2010-02-28 - 2010-03-06,-35%
2010-03-07 - 2010-03-13,-37%
2010-03-14 - 2010-03-20,-38%
2010-03-21 - 2010-03-27,-35%
2010-03-28 - 2010-04-03,-50%
2010-04-04 - 2010-04-10,-46%
2010-04-11 - 2010-04-17,-38%
2010-04-18 - 2010-04-24,-38%
2010-04-25 - 2010-05-01,-41%
2010-05-02 - 2010-05-08,-38%
2010-05-09 - 2010-05-15,-35%
2010-05-16 - 2010-05-22,-35%
2010-05-23 - 2010-05-29,-41%
2010-05-30 - 2010-06-05,-44%
2010-06-06 - 2010-06-12,-41%
2010-06-13 - 2010-06-19,-44%
2010-06-20 - 2010-06-26,-46%
2010-06-27 - 2010-07-03,-46%
2010-07-04 - 2010-07-10,-49%
2010-07-11 - 2010-07-17,-43%
2010-07-18 - 2010-07-24,-44%
2010-07-25 - 2010-07-31,-49%
2010-08-01 - 2010-08-07,-56%
