Web Search Interest
Hong Kong; 2004 - present

Interest over time
Week,Oral & Dental Care
2004-01-04 - 2004-01-10,+0%
2004-01-11 - 2004-01-17,+19%
2004-01-18 - 2004-01-24,+32%
2004-01-25 - 2004-01-31,+106%
2004-02-01 - 2004-02-07,+84%
2004-02-08 - 2004-02-14,+58%
2004-02-15 - 2004-02-21,+74%
2004-02-22 - 2004-02-28,+45%
2004-02-29 - 2004-03-06,+94%
2004-03-07 - 2004-03-13,+71%
2004-03-14 - 2004-03-20,+71%
2004-03-21 - 2004-03-27,+32%
2004-03-28 - 2004-04-03,+81%
2004-04-04 - 2004-04-10,+32%
2004-04-11 - 2004-04-17,+103%
2004-04-18 - 2004-04-24,+35%
2004-04-25 - 2004-05-01,+71%
2004-05-02 - 2004-05-08,+123%
2004-05-09 - 2004-05-15,+87%
2004-05-16 - 2004-05-22,+97%
2004-05-23 - 2004-05-29,+16%
2004-05-30 - 2004-06-05,+81%
2004-06-06 - 2004-06-12,+100%
2004-06-13 - 2004-06-19,+110%
2004-06-20 - 2004-06-26,+61%
2004-06-27 - 2004-07-03,+106%
2004-07-04 - 2004-07-10,+52%
2004-07-11 - 2004-07-17,+39%
2004-07-18 - 2004-07-24,+123%
2004-07-25 - 2004-07-31,+39%
2004-08-01 - 2004-08-07,+81%
2004-08-08 - 2004-08-14,+16%
2004-08-15 - 2004-08-21,+42%
2004-08-22 - 2004-08-28,+68%
2004-08-29 - 2004-09-04,+65%
2004-09-05 - 2004-09-11,+113%
2004-09-12 - 2004-09-18,+158%
2004-09-19 - 2004-09-25,+84%
2004-09-26 - 2004-10-02,+29%
2004-10-03 - 2004-10-09,+84%
2004-10-10 - 2004-10-16,+74%
2004-10-17 - 2004-10-23,+77%
2004-10-24 - 2004-10-30,+61%
2004-10-31 - 2004-11-06,+139%
2004-11-07 - 2004-11-13,+68%
2004-11-14 - 2004-11-20,+6%
2004-11-21 - 2004-11-27,+71%
2004-11-28 - 2004-12-04,-6%
2004-12-05 - 2004-12-11,+39%
2004-12-12 - 2004-12-18,+13%
2004-12-19 - 2004-12-25,+48%
2004-12-26 - 2005-01-01,+68%
2005-01-02 - 2005-01-08,+113%
2005-01-09 - 2005-01-15,+90%
2005-01-16 - 2005-01-22,+55%
2005-01-23 - 2005-01-29,+113%
2005-01-30 - 2005-02-05,+145%
2005-02-06 - 2005-02-12,+97%
2005-02-13 - 2005-02-19,+113%
2005-02-20 - 2005-02-26,+113%
2005-02-27 - 2005-03-05,+55%
2005-03-06 - 2005-03-12,+39%
2005-03-13 - 2005-03-19,+87%
2005-03-20 - 2005-03-26,+71%
2005-03-27 - 2005-04-02,+87%
2005-04-03 - 2005-04-09,+71%
2005-04-10 - 2005-04-16,+58%
2005-04-17 - 2005-04-23,+94%
2005-04-24 - 2005-04-30,+29%
2005-05-01 - 2005-05-07,+123%
2005-05-08 - 2005-05-14,+61%
2005-05-15 - 2005-05-21,+39%
2005-05-22 - 2005-05-28,+71%
2005-05-29 - 2005-06-04,+58%
2005-06-05 - 2005-06-11,+94%
2005-06-12 - 2005-06-18,+81%
2005-06-19 - 2005-06-25,+26%
2005-06-26 - 2005-07-02,+145%
2005-07-03 - 2005-07-09,+152%
2005-07-10 - 2005-07-16,+81%
2005-07-17 - 2005-07-23,+90%
2005-07-24 - 2005-07-30,+100%
2005-07-31 - 2005-08-06,+103%
2005-08-07 - 2005-08-13,+110%
2005-08-14 - 2005-08-20,+55%
2005-08-21 - 2005-08-27,+94%
2005-08-28 - 2005-09-03,+126%
2005-09-04 - 2005-09-10,+90%
2005-09-11 - 2005-09-17,+71%
2005-09-18 - 2005-09-24,+155%
2005-09-25 - 2005-10-01,+110%
2005-10-02 - 2005-10-08,+84%
2005-10-09 - 2005-10-15,+87%
2005-10-16 - 2005-10-22,+103%
2005-10-23 - 2005-10-29,+68%
2005-10-30 - 2005-11-05,+45%
2005-11-06 - 2005-11-12,+48%
2005-11-13 - 2005-11-19,+135%
2005-11-20 - 2005-11-26,+65%
2005-11-27 - 2005-12-03,+119%
2005-12-04 - 2005-12-10,+126%
2005-12-11 - 2005-12-17,+6%
2005-12-18 - 2005-12-24,+32%
2005-12-25 - 2005-12-31,+71%
2006-01-01 - 2006-01-07,+87%
2006-01-08 - 2006-01-14,+135%
2006-01-15 - 2006-01-21,+84%
2006-01-22 - 2006-01-28,+90%
2006-01-29 - 2006-02-04,+77%
2006-02-05 - 2006-02-11,+55%
2006-02-12 - 2006-02-18,+97%
2006-02-19 - 2006-02-25,+126%
2006-02-26 - 2006-03-04,+100%
2006-03-05 - 2006-03-11,+113%
2006-03-12 - 2006-03-18,+61%
2006-03-19 - 2006-03-25,+132%
2006-03-26 - 2006-04-01,+94%
2006-04-02 - 2006-04-08,+61%
2006-04-09 - 2006-04-15,+68%
2006-04-16 - 2006-04-22,+103%
2006-04-23 - 2006-04-29,+97%
2006-04-30 - 2006-05-06,+106%
2006-05-07 - 2006-05-13,+110%
2006-05-14 - 2006-05-20,+116%
2006-05-21 - 2006-05-27,+119%
2006-05-28 - 2006-06-03,+139%
2006-06-04 - 2006-06-10,+90%
2006-06-11 - 2006-06-17,+100%
2006-06-18 - 2006-06-24,+35%
2006-06-25 - 2006-07-01,+61%
2006-07-02 - 2006-07-08,+113%
2006-07-09 - 2006-07-15,+90%
2006-07-16 - 2006-07-22,+119%
2006-07-23 - 2006-07-29,+113%
2006-07-30 - 2006-08-05,+45%
2006-08-06 - 2006-08-12,+58%
2006-08-13 - 2006-08-19,+74%
2006-08-20 - 2006-08-26,+126%
2006-08-27 - 2006-09-02,+42%
2006-09-03 - 2006-09-09,+74%
2006-09-10 - 2006-09-16,+97%
2006-09-17 - 2006-09-23,+106%
2006-09-24 - 2006-09-30,+68%
2006-10-01 - 2006-10-07,+74%
2006-10-08 - 2006-10-14,+74%
2006-10-15 - 2006-10-21,+123%
2006-10-22 - 2006-10-28,+106%
2006-10-29 - 2006-11-04,+45%
2006-11-05 - 2006-11-11,+16%
2006-11-12 - 2006-11-18,+58%
2006-11-19 - 2006-11-25,+77%
2006-11-26 - 2006-12-02,+65%
2006-12-03 - 2006-12-09,+74%
2006-12-10 - 2006-12-16,+45%
2006-12-17 - 2006-12-23,+65%
2006-12-24 - 2006-12-30,+71%
