Web Search Interest
Hong Kong; 2004 - present

Interest over time
Week,Cycling
2004-01-04 - 2004-01-10,+0%
2004-01-11 - 2004-01-17,+42%
2004-01-18 - 2004-01-24,+0%
2004-01-25 - 2004-01-31,+53%
2004-02-01 - 2004-02-07,+55%
2004-02-08 - 2004-02-14,+39%
2004-02-15 - 2004-02-21,+5%
2004-02-22 - 2004-02-28,+39%
2004-02-29 - 2004-03-06,+18%
2004-03-07 - 2004-03-13,+66%
2004-03-14 - 2004-03-20,+55%
2004-03-21 - 2004-03-27,+53%
2004-03-28 - 2004-04-03,+79%
2004-04-04 - 2004-04-10,+37%
2004-04-11 - 2004-04-17,+21%
2004-04-18 - 2004-04-24,+42%
2004-04-25 - 2004-05-01,+47%
2004-05-02 - 2004-05-08,+42%
2004-05-09 - 2004-05-15,+55%
2004-05-16 - 2004-05-22,+34%
2004-05-23 - 2004-05-29,+61%
2004-05-30 - 2004-06-05,+61%
2004-06-06 - 2004-06-12,+5%
2004-06-13 - 2004-06-19,+45%
2004-06-20 - 2004-06-26,+39%
2004-06-27 - 2004-07-03,+32%
2004-07-04 - 2004-07-10,+97%
2004-07-11 - 2004-07-17,+45%
2004-07-18 - 2004-07-24,+105%
2004-07-25 - 2004-07-31,+76%
2004-08-01 - 2004-08-07,+68%
2004-08-08 - 2004-08-14,+89%
2004-08-15 - 2004-08-21,+45%
2004-08-22 - 2004-08-28,+26%
2004-08-29 - 2004-09-04,+39%
2004-09-05 - 2004-09-11,+61%
2004-09-12 - 2004-09-18,+11%
2004-09-19 - 2004-09-25,+66%
2004-09-26 - 2004-10-02,+42%
2004-10-03 - 2004-10-09,+16%
2004-10-10 - 2004-10-16,+108%
2004-10-17 - 2004-10-23,+63%
2004-10-24 - 2004-10-30,+89%
2004-10-31 - 2004-11-06,+29%
2004-11-07 - 2004-11-13,+34%
2004-11-14 - 2004-11-20,+26%
2004-11-21 - 2004-11-27,+61%
2004-11-28 - 2004-12-04,+47%
2004-12-05 - 2004-12-11,+29%
2004-12-12 - 2004-12-18,+50%
2004-12-19 - 2004-12-25,+29%
2004-12-26 - 2005-01-01,-8%
2005-01-02 - 2005-01-08,+61%
2005-01-09 - 2005-01-15,+42%
2005-01-16 - 2005-01-22,+11%
2005-01-23 - 2005-01-29,+63%
2005-01-30 - 2005-02-05,+18%
2005-02-06 - 2005-02-12,+26%
2005-02-13 - 2005-02-19,+37%
2005-02-20 - 2005-02-26,+26%
2005-02-27 - 2005-03-05,+34%
2005-03-06 - 2005-03-12,+37%
2005-03-13 - 2005-03-19,+29%
2005-03-20 - 2005-03-26,+16%
2005-03-27 - 2005-04-02,+42%
2005-04-03 - 2005-04-09,+26%
2005-04-10 - 2005-04-16,+45%
2005-04-17 - 2005-04-23,+50%
2005-04-24 - 2005-04-30,+13%
2005-05-01 - 2005-05-07,+58%
2005-05-08 - 2005-05-14,+63%
2005-05-15 - 2005-05-21,+76%
