Web Search Interest
France; 2004 - present

Interest over time
Week,Swimming Pools & Spas
2004-01-04 - 2004-01-10,+0%
2004-01-11 - 2004-01-17,+12%
2004-01-18 - 2004-01-24,+8%
2004-01-25 - 2004-01-31,+8%
2004-02-01 - 2004-02-07,+19%
2004-02-08 - 2004-02-14,+23%
2004-02-15 - 2004-02-21,+27%
2004-02-22 - 2004-02-28,+23%
2004-02-29 - 2004-03-06,+19%
2004-03-07 - 2004-03-13,+38%
2004-03-14 - 2004-03-20,+35%
2004-03-21 - 2004-03-27,+27%
2004-03-28 - 2004-04-03,+38%
2004-04-04 - 2004-04-10,+35%
2004-04-11 - 2004-04-17,+42%
2004-04-18 - 2004-04-24,+81%
2004-04-25 - 2004-05-01,+77%
2004-05-02 - 2004-05-08,+65%
2004-05-09 - 2004-05-15,+50%
2004-05-16 - 2004-05-22,+112%
2004-05-23 - 2004-05-29,+85%
2004-05-30 - 2004-06-05,+69%
2004-06-06 - 2004-06-12,+138%
2004-06-13 - 2004-06-19,+81%
2004-06-20 - 2004-06-26,+58%
2004-06-27 - 2004-07-03,+85%
2004-07-04 - 2004-07-10,+65%
2004-07-11 - 2004-07-17,+77%
2004-07-18 - 2004-07-24,+100%
2004-07-25 - 2004-07-31,+119%
2004-08-01 - 2004-08-07,+162%
2004-08-08 - 2004-08-14,+100%
2004-08-15 - 2004-08-21,+92%
2004-08-22 - 2004-08-28,+69%
2004-08-29 - 2004-09-04,+85%
2004-09-05 - 2004-09-11,+92%
2004-09-12 - 2004-09-18,+54%
2004-09-19 - 2004-09-25,+35%
2004-09-26 - 2004-10-02,+23%
2004-10-03 - 2004-10-09,+19%
2004-10-10 - 2004-10-16,+12%
2004-10-17 - 2004-10-23,+4%
2004-10-24 - 2004-10-30,+15%
2004-10-31 - 2004-11-06,+8%
2004-11-07 - 2004-11-13,+8%
2004-11-14 - 2004-11-20,+0%
2004-11-21 - 2004-11-27,-8%
2004-11-28 - 2004-12-04,-8%
2004-12-05 - 2004-12-11,-8%
2004-12-12 - 2004-12-18,-19%
2004-12-19 - 2004-12-25,-12%
2004-12-26 - 2005-01-01,+0%
2005-01-02 - 2005-01-08,+0%
2005-01-09 - 2005-01-15,+8%
2005-01-16 - 2005-01-22,+12%
2005-01-23 - 2005-01-29,+4%
2005-01-30 - 2005-02-05,+4%
2005-02-06 - 2005-02-12,+15%
2005-02-13 - 2005-02-19,+15%
2005-02-20 - 2005-02-26,+31%
2005-02-27 - 2005-03-05,+19%
2005-03-06 - 2005-03-12,+19%
2005-03-13 - 2005-03-19,+46%
2005-03-20 - 2005-03-26,+42%
2005-03-27 - 2005-04-02,+42%
2005-04-03 - 2005-04-09,+42%
2005-04-10 - 2005-04-16,+46%
2005-04-17 - 2005-04-23,+50%
2005-04-24 - 2005-04-30,+69%
2005-05-01 - 2005-05-07,+77%
2005-05-08 - 2005-05-14,+54%
2005-05-15 - 2005-05-21,+58%
2005-05-22 - 2005-05-28,+88%
2005-05-29 - 2005-06-04,+85%
2005-06-05 - 2005-06-11,+69%
2005-06-12 - 2005-06-18,+85%
2005-06-19 - 2005-06-25,+258%
2005-06-26 - 2005-07-02,+169%
2005-07-03 - 2005-07-09,+104%
2005-07-10 - 2005-07-16,+158%
2005-07-17 - 2005-07-23,+135%
2005-07-24 - 2005-07-30,+104%
2005-07-31 - 2005-08-06,+108%
2005-08-07 - 2005-08-13,+104%
2005-08-14 - 2005-08-20,+88%
2005-08-21 - 2005-08-27,+69%
2005-08-28 - 2005-09-03,+92%
2005-09-04 - 2005-09-10,+85%
2005-09-11 - 2005-09-17,+50%
2005-09-18 - 2005-09-24,+42%
2005-09-25 - 2005-10-01,+35%
2005-10-02 - 2005-10-08,+19%
2005-10-09 - 2005-10-15,+31%
2005-10-16 - 2005-10-22,+19%
2005-10-23 - 2005-10-29,+27%
2005-10-30 - 2005-11-05,+15%
2005-11-06 - 2005-11-12,+15%
2005-11-13 - 2005-11-19,+12%
2005-11-20 - 2005-11-26,+0%
2005-11-27 - 2005-12-03,-4%
2005-12-04 - 2005-12-10,-8%
2005-12-11 - 2005-12-17,-8%
2005-12-18 - 2005-12-24,-4%
2005-12-25 - 2005-12-31,+4%
2006-01-01 - 2006-01-07,+8%
