Web Search Interest
Germany; 2004 - present

Interest over time
Week,Yard & Patio
2004-01-04 - 2004-01-10,+0%
2004-01-11 - 2004-01-17,+16%
2004-01-18 - 2004-01-24,+19%
2004-01-25 - 2004-01-31,+16%
2004-02-01 - 2004-02-07,+19%
2004-02-08 - 2004-02-14,+23%
2004-02-15 - 2004-02-21,+42%
2004-02-22 - 2004-02-28,+48%
2004-02-29 - 2004-03-06,+45%
2004-03-07 - 2004-03-13,+65%
2004-03-14 - 2004-03-20,+103%
2004-03-21 - 2004-03-27,+113%
2004-03-28 - 2004-04-03,+145%
2004-04-04 - 2004-04-10,+132%
2004-04-11 - 2004-04-17,+203%
2004-04-18 - 2004-04-24,+174%
2004-04-25 - 2004-05-01,+194%
2004-05-02 - 2004-05-08,+165%
2004-05-09 - 2004-05-15,+132%
2004-05-16 - 2004-05-22,+174%
2004-05-23 - 2004-05-29,+148%
2004-05-30 - 2004-06-05,+158%
2004-06-06 - 2004-06-12,+158%
2004-06-13 - 2004-06-19,+126%
2004-06-20 - 2004-06-26,+103%
2004-06-27 - 2004-07-03,+119%
2004-07-04 - 2004-07-10,+94%
2004-07-11 - 2004-07-17,+100%
2004-07-18 - 2004-07-24,+106%
2004-07-25 - 2004-07-31,+110%
2004-08-01 - 2004-08-07,+152%
2004-08-08 - 2004-08-14,+116%
2004-08-15 - 2004-08-21,+100%
2004-08-22 - 2004-08-28,+77%
2004-08-29 - 2004-09-04,+71%
2004-09-05 - 2004-09-11,+81%
2004-09-12 - 2004-09-18,+52%
2004-09-19 - 2004-09-25,+52%
2004-09-26 - 2004-10-02,+39%
2004-10-03 - 2004-10-09,+39%
2004-10-10 - 2004-10-16,+35%
2004-10-17 - 2004-10-23,+32%
2004-10-24 - 2004-10-30,+29%
2004-10-31 - 2004-11-06,+23%
2004-11-07 - 2004-11-13,+13%
2004-11-14 - 2004-11-20,+23%
2004-11-21 - 2004-11-27,+10%
2004-11-28 - 2004-12-04,+10%
2004-12-05 - 2004-12-11,+13%
2004-12-12 - 2004-12-18,-3%
2004-12-19 - 2004-12-25,-3%
2004-12-26 - 2005-01-01,+3%
2005-01-02 - 2005-01-08,+6%
2005-01-09 - 2005-01-15,+19%
2005-01-16 - 2005-01-22,+19%
2005-01-23 - 2005-01-29,+23%
2005-01-30 - 2005-02-05,+23%
2005-02-06 - 2005-02-12,+32%
2005-02-13 - 2005-02-19,+32%
2005-02-20 - 2005-02-26,+35%
2005-02-27 - 2005-03-05,+39%
2005-03-06 - 2005-03-12,+45%
2005-03-13 - 2005-03-19,+87%
2005-03-20 - 2005-03-26,+148%
2005-03-27 - 2005-04-02,+165%
2005-04-03 - 2005-04-09,+171%
2005-04-10 - 2005-04-16,+152%
2005-04-17 - 2005-04-23,+158%
2005-04-24 - 2005-04-30,+161%
2005-05-01 - 2005-05-07,+187%
2005-05-08 - 2005-05-14,+148%
2005-05-15 - 2005-05-21,+155%
2005-05-22 - 2005-05-28,+168%
2005-05-29 - 2005-06-04,+165%
2005-06-05 - 2005-06-11,+129%
2005-06-12 - 2005-06-18,+139%
2005-06-19 - 2005-06-25,+158%
2005-06-26 - 2005-07-02,+129%
2005-07-03 - 2005-07-09,+97%
2005-07-10 - 2005-07-16,+119%
2005-07-17 - 2005-07-23,+116%
2005-07-24 - 2005-07-30,+90%
2005-07-31 - 2005-08-06,+103%
2005-08-07 - 2005-08-13,+94%
2005-08-14 - 2005-08-20,+84%
2005-08-21 - 2005-08-27,+77%
2005-08-28 - 2005-09-03,+81%
2005-09-04 - 2005-09-10,+65%
2005-09-11 - 2005-09-17,+55%
2005-09-18 - 2005-09-24,+52%
2005-09-25 - 2005-10-01,+45%
2005-10-02 - 2005-10-08,+42%
2005-10-09 - 2005-10-15,+45%
2005-10-16 - 2005-10-22,+39%
2005-10-23 - 2005-10-29,+29%
2005-10-30 - 2005-11-05,+32%
2005-11-06 - 2005-11-12,+35%
2005-11-13 - 2005-11-19,+13%
2005-11-20 - 2005-11-26,+16%
2005-11-27 - 2005-12-03,+13%
2005-12-04 - 2005-12-10,+3%
2005-12-11 - 2005-12-17,+6%
2005-12-18 - 2005-12-24,-6%
2005-12-25 - 2005-12-31,+0%
2006-01-01 - 2006-01-07,+6%
2006-01-08 - 2006-01-14,+13%
2006-01-15 - 2006-01-21,+16%
2006-01-22 - 2006-01-28,+16%
2006-01-29 - 2006-02-04,+19%
2006-02-05 - 2006-02-11,+26%
2006-02-12 - 2006-02-18,+26%
2006-02-19 - 2006-02-25,+39%
2006-02-26 - 2006-03-04,+45%
2006-03-05 - 2006-03-11,+45%
2006-03-12 - 2006-03-18,+58%
2006-03-19 - 2006-03-25,+90%
2006-03-26 - 2006-04-01,+103%
2006-04-02 - 2006-04-08,+110%
2006-04-09 - 2006-04-15,+110%
2006-04-16 - 2006-04-22,+155%
2006-04-23 - 2006-04-29,+161%
2006-04-30 - 2006-05-06,+184%
2006-05-07 - 2006-05-13,+194%
2006-05-14 - 2006-05-20,+142%
2006-05-21 - 2006-05-27,+116%
2006-05-28 - 2006-06-03,+100%
2006-06-04 - 2006-06-10,+119%
2006-06-11 - 2006-06-17,+145%
2006-06-18 - 2006-06-24,+119%
2006-06-25 - 2006-07-01,+116%
2006-07-02 - 2006-07-08,+123%
2006-07-09 - 2006-07-15,+116%
2006-07-16 - 2006-07-22,+126%
2006-07-23 - 2006-07-29,+123%
2006-07-30 - 2006-08-05,+97%
2006-08-06 - 2006-08-12,+87%
2006-08-13 - 2006-08-19,+84%
2006-08-20 - 2006-08-26,+81%
2006-08-27 - 2006-09-02,+61%
2006-09-03 - 2006-09-09,+61%
2006-09-10 - 2006-09-16,+52%
2006-09-17 - 2006-09-23,+55%
2006-09-24 - 2006-09-30,+45%
2006-10-01 - 2006-10-07,+42%
2006-10-08 - 2006-10-14,+29%
2006-10-15 - 2006-10-21,+35%
2006-10-22 - 2006-10-28,+32%
2006-10-29 - 2006-11-04,+26%
2006-11-05 - 2006-11-11,+13%
2006-11-12 - 2006-11-18,+16%
2006-11-19 - 2006-11-25,+6%
2006-11-26 - 2006-12-02,+6%
2006-12-03 - 2006-12-09,+0%
2006-12-10 - 2006-12-16,-3%
2006-12-17 - 2006-12-23,-10%
2006-12-24 - 2006-12-30,-10%
2006-12-31 - 2007-01-06,+3%
2007-01-07 - 2007-01-13,+13%
2007-01-14 - 2007-01-20,+13%
2007-01-21 - 2007-01-27,+19%
2007-01-28 - 2007-02-03,+16%
2007-02-04 - 2007-02-10,+16%
2007-02-11 - 2007-02-17,+23%
2007-02-18 - 2007-02-24,+48%
2007-02-25 - 2007-03-03,+48%
2007-03-04 - 2007-03-10,+74%
2007-03-11 - 2007-03-17,+126%
2007-03-18 - 2007-03-24,+77%
2007-03-25 - 2007-03-31,+129%
2007-04-01 - 2007-04-07,+155%
2007-04-08 - 2007-04-14,+194%
2007-04-15 - 2007-04-21,+203%
2007-04-22 - 2007-04-28,+197%
2007-04-29 - 2007-05-05,+187%
2007-05-06 - 2007-05-12,+126%
2007-05-13 - 2007-05-19,+123%
2007-05-20 - 2007-05-26,+148%
2007-05-27 - 2007-06-02,+119%
2007-06-03 - 2007-06-09,+129%
2007-06-10 - 2007-06-16,+135%
2007-06-17 - 2007-06-23,+113%
2007-06-24 - 2007-06-30,+94%
2007-07-01 - 2007-07-07,+87%
2007-07-08 - 2007-07-14,+94%
2007-07-15 - 2007-07-21,+123%
2007-07-22 - 2007-07-28,+94%
2007-07-29 - 2007-08-04,+84%
2007-08-05 - 2007-08-11,+94%
2007-08-12 - 2007-08-18,+81%
2007-08-19 - 2007-08-25,+77%
2007-08-26 - 2007-09-01,+68%
2007-09-02 - 2007-09-08,+48%
2007-09-09 - 2007-09-15,+39%
2007-09-16 - 2007-09-22,+42%
2007-09-23 - 2007-09-29,+32%
2007-09-30 - 2007-10-06,+26%
2007-10-07 - 2007-10-13,+23%
2007-10-14 - 2007-10-20,+23%
2007-10-21 - 2007-10-27,+19%
2007-10-28 - 2007-11-03,+16%
2007-11-04 - 2007-11-10,+10%
2007-11-11 - 2007-11-17,+10%
2007-11-18 - 2007-11-24,+10%
2007-11-25 - 2007-12-01,+3%
2007-12-02 - 2007-12-08,-3%
2007-12-09 - 2007-12-15,-3%
2007-12-16 - 2007-12-22,-10%
2007-12-23 - 2007-12-29,-19%
2007-12-30 - 2008-01-05,-6%
2008-01-06 - 2008-01-12,+10%
2008-01-13 - 2008-01-19,+6%
2008-01-20 - 2008-01-26,+13%
2008-01-27 - 2008-02-02,+13%
2008-02-03 - 2008-02-09,+19%
2008-02-10 - 2008-02-16,+39%
2008-02-17 - 2008-02-23,+42%
2008-02-24 - 2008-03-01,+61%
2008-03-02 - 2008-03-08,+55%
2008-03-09 - 2008-03-15,+74%
2008-03-16 - 2008-03-22,+68%
2008-03-23 - 2008-03-29,+74%
2008-03-30 - 2008-04-05,+97%
2008-04-06 - 2008-04-12,+97%
2008-04-13 - 2008-04-19,+116%
2008-04-20 - 2008-04-26,+148%
2008-04-27 - 2008-05-03,+165%
2008-05-04 - 2008-05-10,+200%
2008-05-11 - 2008-05-17,+184%
2008-05-18 - 2008-05-24,+139%
2008-05-25 - 2008-05-31,+132%
2008-06-01 - 2008-06-07,+129%
2008-06-08 - 2008-06-14,+113%
2008-06-15 - 2008-06-21,+90%
2008-06-22 - 2008-06-28,+100%
2008-06-29 - 2008-07-05,+103%
2008-07-06 - 2008-07-12,+90%
2008-07-13 - 2008-07-19,+87%
2008-07-20 - 2008-07-26,+81%
2008-07-27 - 2008-08-02,+94%
2008-08-03 - 2008-08-09,+87%
2008-08-10 - 2008-08-16,+71%
2008-08-17 - 2008-08-23,+61%
2008-08-24 - 2008-08-30,+55%
2008-08-31 - 2008-09-06,+52%
2008-09-07 - 2008-09-13,+45%
2008-09-14 - 2008-09-20,+32%
2008-09-21 - 2008-09-27,+26%
2008-09-28 - 2008-10-04,+16%
2008-10-05 - 2008-10-11,+16%
2008-10-12 - 2008-10-18,+13%
2008-10-19 - 2008-10-25,+13%
2008-10-26 - 2008-11-01,+6%
2008-11-02 - 2008-11-08,+3%
2008-11-09 - 2008-11-15,+3%
2008-11-16 - 2008-11-22,+3%
2008-11-23 - 2008-11-29,+0%
2008-11-30 - 2008-12-06,-6%
2008-12-07 - 2008-12-13,-3%
2008-12-14 - 2008-12-20,-10%
2008-12-21 - 2008-12-27,-19%
2008-12-28 - 2009-01-03,-10%
2009-01-04 - 2009-01-10,-3%
2009-01-11 - 2009-01-17,+0%
2009-01-18 - 2009-01-24,+6%
2009-01-25 - 2009-01-31,+10%
2009-02-01 - 2009-02-07,+13%
2009-02-08 - 2009-02-14,+13%
2009-02-15 - 2009-02-21,+16%
2009-02-22 - 2009-02-28,+23%
2009-03-01 - 2009-03-07,+48%
2009-03-08 - 2009-03-14,+55%
2009-03-15 - 2009-03-21,+77%
2009-03-22 - 2009-03-28,+74%
2009-03-29 - 2009-04-04,+119%
2009-04-05 - 2009-04-11,+155%
2009-04-12 - 2009-04-18,+177%
2009-04-19 - 2009-04-25,+161%
2009-04-26 - 2009-05-02,+148%
