Web Search Interest
Hong Kong; 2004 - present

Interest over time
Week,HVAC & Climate Control
2004-01-04 - 2004-01-10,+0%
2004-01-11 - 2004-01-17,-44%
2004-01-18 - 2004-01-24,-11%
2004-01-25 - 2004-01-31,+35%
2004-02-01 - 2004-02-07,-31%
2004-02-08 - 2004-02-14,+7%
2004-02-15 - 2004-02-21,+15%
2004-02-22 - 2004-02-28,-11%
2004-02-29 - 2004-03-06,-4%
2004-03-07 - 2004-03-13,+4%
2004-03-14 - 2004-03-20,-35%
2004-03-21 - 2004-03-27,-22%
2004-03-28 - 2004-04-03,+13%
2004-04-04 - 2004-04-10,+13%
2004-04-11 - 2004-04-17,-16%
2004-04-18 - 2004-04-24,+0%
2004-04-25 - 2004-05-01,-7%
2004-05-02 - 2004-05-08,-5%
2004-05-09 - 2004-05-15,-16%
2004-05-16 - 2004-05-22,-7%
2004-05-23 - 2004-05-29,+11%
2004-05-30 - 2004-06-05,-7%
2004-06-06 - 2004-06-12,-25%
2004-06-13 - 2004-06-19,-36%
2004-06-20 - 2004-06-26,-18%
2004-06-27 - 2004-07-03,-13%
2004-07-04 - 2004-07-10,-5%
2004-07-11 - 2004-07-17,-24%
2004-07-18 - 2004-07-24,+27%
2004-07-25 - 2004-07-31,-22%
2004-08-01 - 2004-08-07,-4%
2004-08-08 - 2004-08-14,+20%
2004-08-15 - 2004-08-21,-13%
2004-08-22 - 2004-08-28,-15%
2004-08-29 - 2004-09-04,-25%
2004-09-05 - 2004-09-11,-20%
2004-09-12 - 2004-09-18,-2%
2004-09-19 - 2004-09-25,-33%
2004-09-26 - 2004-10-02,-31%
2004-10-03 - 2004-10-09,-2%
2004-10-10 - 2004-10-16,-20%
2004-10-17 - 2004-10-23,-5%
2004-10-24 - 2004-10-30,-11%
2004-10-31 - 2004-11-06,-22%
2004-11-07 - 2004-11-13,-9%
2004-11-14 - 2004-11-20,-5%
2004-11-21 - 2004-11-27,-11%
2004-11-28 - 2004-12-04,-18%
2004-12-05 - 2004-12-11,-16%
2004-12-12 - 2004-12-18,-11%
2004-12-19 - 2004-12-25,-18%
2004-12-26 - 2005-01-01,-29%
2005-01-02 - 2005-01-08,-49%
2005-01-09 - 2005-01-15,-16%
2005-01-16 - 2005-01-22,+2%
2005-01-23 - 2005-01-29,-25%
2005-01-30 - 2005-02-05,-15%
2005-02-06 - 2005-02-12,-40%
2005-02-13 - 2005-02-19,-31%
2005-02-20 - 2005-02-26,+35%
2005-02-27 - 2005-03-05,-24%
2005-03-06 - 2005-03-12,+7%
2005-03-13 - 2005-03-19,-13%
2005-03-20 - 2005-03-26,+35%
2005-03-27 - 2005-04-02,-25%
2005-04-03 - 2005-04-09,-40%
2005-04-10 - 2005-04-16,+27%
2005-04-17 - 2005-04-23,-24%
2005-04-24 - 2005-04-30,+4%
2005-05-01 - 2005-05-07,+5%
2005-05-08 - 2005-05-14,+22%
2005-05-15 - 2005-05-21,+9%
2005-05-22 - 2005-05-28,-29%
2005-05-29 - 2005-06-04,+0%
2005-06-05 - 2005-06-11,-24%
2005-06-12 - 2005-06-18,+4%
2005-06-19 - 2005-06-25,-9%
2005-06-26 - 2005-07-02,+11%
2005-07-03 - 2005-07-09,+2%
2005-07-10 - 2005-07-16,+82%
2005-07-17 - 2005-07-23,+7%
2005-07-24 - 2005-07-30,-13%
2005-07-31 - 2005-08-06,+5%
2005-08-07 - 2005-08-13,-2%
2005-08-14 - 2005-08-20,-27%
2005-08-21 - 2005-08-27,-13%
2005-08-28 - 2005-09-03,-40%
2005-09-04 - 2005-09-10,-5%
2005-09-11 - 2005-09-17,-18%
2005-09-18 - 2005-09-24,-24%
2005-09-25 - 2005-10-01,+15%
2005-10-02 - 2005-10-08,-20%
2005-10-09 - 2005-10-15,-13%
2005-10-16 - 2005-10-22,-16%
2005-10-23 - 2005-10-29,-16%
2005-10-30 - 2005-11-05,-24%
2005-11-06 - 2005-11-12,+20%
2005-11-13 - 2005-11-19,+5%
2005-11-20 - 2005-11-26,-22%
2005-11-27 - 2005-12-03,-16%
2005-12-04 - 2005-12-10,-5%
2005-12-11 - 2005-12-17,-16%
2005-12-18 - 2005-12-24,-31%
2005-12-25 - 2005-12-31,-35%
2006-01-01 - 2006-01-07,-35%
2006-01-08 - 2006-01-14,+0%
2006-01-15 - 2006-01-21,-27%
2006-01-22 - 2006-01-28,-35%
2006-01-29 - 2006-02-04,-38%
2006-02-05 - 2006-02-11,-9%
2006-02-12 - 2006-02-18,-13%
2006-02-19 - 2006-02-25,-16%
2006-02-26 - 2006-03-04,-16%
2006-03-05 - 2006-03-11,-9%
2006-03-12 - 2006-03-18,-13%
2006-03-19 - 2006-03-25,+0%
2006-03-26 - 2006-04-01,+13%
2006-04-02 - 2006-04-08,+5%
2006-04-09 - 2006-04-15,-11%
2006-04-16 - 2006-04-22,-11%
2006-04-23 - 2006-04-29,-20%
2006-04-30 - 2006-05-06,-27%
2006-05-07 - 2006-05-13,+2%
2006-05-14 - 2006-05-20,-5%
2006-05-21 - 2006-05-27,-22%
2006-05-28 - 2006-06-03,+0%
2006-06-04 - 2006-06-10,+4%
2006-06-11 - 2006-06-17,-13%
2006-06-18 - 2006-06-24,-15%
2006-06-25 - 2006-07-01,+0%
2006-07-02 - 2006-07-08,+2%
2006-07-09 - 2006-07-15,+5%
2006-07-16 - 2006-07-22,-2%
2006-07-23 - 2006-07-29,+13%
2006-07-30 - 2006-08-05,-7%
2006-08-06 - 2006-08-12,-15%
2006-08-13 - 2006-08-19,-33%
2006-08-20 - 2006-08-26,-13%
2006-08-27 - 2006-09-02,-29%
2006-09-03 - 2006-09-09,-27%
2006-09-10 - 2006-09-16,-58%
2006-09-17 - 2006-09-23,-25%
2006-09-24 - 2006-09-30,-24%
2006-10-01 - 2006-10-07,-25%
2006-10-08 - 2006-10-14,-7%
2006-10-15 - 2006-10-21,-15%
2006-10-22 - 2006-10-28,-22%
2006-10-29 - 2006-11-04,-40%
2006-11-05 - 2006-11-11,-25%
2006-11-12 - 2006-11-18,-27%
2006-11-19 - 2006-11-25,-27%
2006-11-26 - 2006-12-02,-18%
2006-12-03 - 2006-12-09,-36%
2006-12-10 - 2006-12-16,-31%
2006-12-17 - 2006-12-23,-22%
2006-12-24 - 2006-12-30,-47%
2006-12-31 - 2007-01-06,-51%
2007-01-07 - 2007-01-13,-25%
2007-01-14 - 2007-01-20,-33%
2007-01-21 - 2007-01-27,-40%
2007-01-28 - 2007-02-03,-40%
2007-02-04 - 2007-02-10,-27%
2007-02-11 - 2007-02-17,-16%
2007-02-18 - 2007-02-24,-29%
2007-02-25 - 2007-03-03,-40%
2007-03-04 - 2007-03-10,-29%
2007-03-11 - 2007-03-17,-22%
2007-03-18 - 2007-03-24,-35%
2007-03-25 - 2007-03-31,-16%
2007-04-01 - 2007-04-07,-18%
2007-04-08 - 2007-04-14,-20%
2007-04-15 - 2007-04-21,-20%
2007-04-22 - 2007-04-28,-2%
2007-04-29 - 2007-05-05,-15%
2007-05-06 - 2007-05-12,-24%
2007-05-13 - 2007-05-19,-33%
