Web Search Interest
France; 2004 - present

Interest over time
Week,Teleconferencing
2004-01-04 - 2004-01-10,+0%
2004-01-11 - 2004-01-17,-7%
2004-01-18 - 2004-01-24,-23%
2004-01-25 - 2004-01-31,-10%
2004-02-01 - 2004-02-07,-12%
2004-02-08 - 2004-02-14,-3%
2004-02-15 - 2004-02-21,-11%
2004-02-22 - 2004-02-28,-16%
2004-02-29 - 2004-03-06,-5%
2004-03-07 - 2004-03-13,-17%
2004-03-14 - 2004-03-20,-27%
2004-03-21 - 2004-03-27,-27%
2004-03-28 - 2004-04-03,-27%
2004-04-04 - 2004-04-10,-28%
2004-04-11 - 2004-04-17,-30%
2004-04-18 - 2004-04-24,-22%
2004-04-25 - 2004-05-01,-24%
2004-05-02 - 2004-05-08,-32%
2004-05-09 - 2004-05-15,-28%
2004-05-16 - 2004-05-22,-37%
2004-05-23 - 2004-05-29,-28%
2004-05-30 - 2004-06-05,-29%
2004-06-06 - 2004-06-12,-24%
2004-06-13 - 2004-06-19,-46%
2004-06-20 - 2004-06-26,-29%
2004-06-27 - 2004-07-03,-25%
2004-07-04 - 2004-07-10,-35%
2004-07-11 - 2004-07-17,-33%
2004-07-18 - 2004-07-24,-30%
2004-07-25 - 2004-07-31,-33%
2004-08-01 - 2004-08-07,-35%
2004-08-08 - 2004-08-14,-30%
2004-08-15 - 2004-08-21,-33%
2004-08-22 - 2004-08-28,-40%
2004-08-29 - 2004-09-04,-29%
2004-09-05 - 2004-09-11,-26%
2004-09-12 - 2004-09-18,-37%
2004-09-19 - 2004-09-25,-33%
2004-09-26 - 2004-10-02,-31%
2004-10-03 - 2004-10-09,-33%
2004-10-10 - 2004-10-16,-37%
2004-10-17 - 2004-10-23,-33%
2004-10-24 - 2004-10-30,-30%
2004-10-31 - 2004-11-06,-28%
2004-11-07 - 2004-11-13,-35%
2004-11-14 - 2004-11-20,-34%
2004-11-21 - 2004-11-27,-37%
2004-11-28 - 2004-12-04,-38%
2004-12-05 - 2004-12-11,-42%
2004-12-12 - 2004-12-18,-41%
2004-12-19 - 2004-12-25,-42%
2004-12-26 - 2005-01-01,-33%
2005-01-02 - 2005-01-08,-39%
2005-01-09 - 2005-01-15,-30%
2005-01-16 - 2005-01-22,-41%
2005-01-23 - 2005-01-29,-44%
2005-01-30 - 2005-02-05,-35%
2005-02-06 - 2005-02-12,-42%
2005-02-13 - 2005-02-19,-34%
2005-02-20 - 2005-02-26,-43%
2005-02-27 - 2005-03-05,-44%
2005-03-06 - 2005-03-12,-44%
2005-03-13 - 2005-03-19,-46%
2005-03-20 - 2005-03-26,-48%
2005-03-27 - 2005-04-02,-49%
2005-04-03 - 2005-04-09,-50%
2005-04-10 - 2005-04-16,-42%
2005-04-17 - 2005-04-23,-46%
2005-04-24 - 2005-04-30,-44%
2005-05-01 - 2005-05-07,-54%
2005-05-08 - 2005-05-14,-54%
2005-05-15 - 2005-05-21,-54%
2005-05-22 - 2005-05-28,-51%
2005-05-29 - 2005-06-04,-49%
2005-06-05 - 2005-06-11,-49%
2005-06-12 - 2005-06-18,-53%
2005-06-19 - 2005-06-25,-46%
2005-06-26 - 2005-07-02,-50%
2005-07-03 - 2005-07-09,-53%
2005-07-10 - 2005-07-16,-56%
2005-07-17 - 2005-07-23,-48%
2005-07-24 - 2005-07-30,-52%
2005-07-31 - 2005-08-06,-57%
2005-08-07 - 2005-08-13,-55%
2005-08-14 - 2005-08-20,-60%
2005-08-21 - 2005-08-27,-52%
2005-08-28 - 2005-09-03,-52%
2005-09-04 - 2005-09-10,-48%
2005-09-11 - 2005-09-17,-52%
2005-09-18 - 2005-09-24,-50%
2005-09-25 - 2005-10-01,-47%
2005-10-02 - 2005-10-08,-45%
2005-10-09 - 2005-10-15,-43%
2005-10-16 - 2005-10-22,-47%
2005-10-23 - 2005-10-29,-47%
2005-10-30 - 2005-11-05,-52%
2005-11-06 - 2005-11-12,-55%
2005-11-13 - 2005-11-19,-54%
2005-11-20 - 2005-11-26,-48%
2005-11-27 - 2005-12-03,-50%
2005-12-04 - 2005-12-10,-51%
2005-12-11 - 2005-12-17,-55%
2005-12-18 - 2005-12-24,-60%
2005-12-25 - 2005-12-31,-57%
2006-01-01 - 2006-01-07,-53%
2006-01-08 - 2006-01-14,-53%
2006-01-15 - 2006-01-21,-57%
2006-01-22 - 2006-01-28,-58%
2006-01-29 - 2006-02-04,-57%
2006-02-05 - 2006-02-11,-57%
2006-02-12 - 2006-02-18,-53%
2006-02-19 - 2006-02-25,-54%
2006-02-26 - 2006-03-04,-56%
2006-03-05 - 2006-03-11,-60%
2006-03-12 - 2006-03-18,-53%
2006-03-19 - 2006-03-25,-57%
2006-03-26 - 2006-04-01,-58%
2006-04-02 - 2006-04-08,-58%
2006-04-09 - 2006-04-15,-63%
2006-04-16 - 2006-04-22,-64%
2006-04-23 - 2006-04-29,-64%
2006-04-30 - 2006-05-06,-61%
2006-05-07 - 2006-05-13,-62%
2006-05-14 - 2006-05-20,-60%
2006-05-21 - 2006-05-27,-63%
2006-05-28 - 2006-06-03,-59%
2006-06-04 - 2006-06-10,-65%
2006-06-11 - 2006-06-17,-60%
2006-06-18 - 2006-06-24,-57%
2006-06-25 - 2006-07-01,-58%
2006-07-02 - 2006-07-08,-67%
2006-07-09 - 2006-07-15,-67%
2006-07-16 - 2006-07-22,-66%
2006-07-23 - 2006-07-29,-70%
2006-07-30 - 2006-08-05,-66%
2006-08-06 - 2006-08-12,-71%
2006-08-13 - 2006-08-19,-69%
2006-08-20 - 2006-08-26,-64%
2006-08-27 - 2006-09-02,-67%
2006-09-03 - 2006-09-09,-65%
2006-09-10 - 2006-09-16,-62%
2006-09-17 - 2006-09-23,-65%
2006-09-24 - 2006-09-30,-64%
2006-10-01 - 2006-10-07,-65%
2006-10-08 - 2006-10-14,-63%
2006-10-15 - 2006-10-21,-66%
2006-10-22 - 2006-10-28,-63%
2006-10-29 - 2006-11-04,-70%
2006-11-05 - 2006-11-11,-66%
2006-11-12 - 2006-11-18,-68%
2006-11-19 - 2006-11-25,-63%
