Web Search Interest
Portugal; 2004 - present

Interest over time
Week,Teleconferencing
2004-01-04 - 2004-01-10,+0%
2004-01-11 - 2004-01-17,-39%
2004-01-18 - 2004-01-24,+19%
2004-01-25 - 2004-01-31,-39%
2004-02-01 - 2004-02-07,-20%
2004-02-08 - 2004-02-14,+0%
2004-02-15 - 2004-02-21,-21%
2004-02-22 - 2004-02-28,-7%
2004-02-29 - 2004-03-06,+2%
2004-03-07 - 2004-03-13,+11%
2004-03-14 - 2004-03-20,-38%
2004-03-21 - 2004-03-27,+17%
2004-03-28 - 2004-04-03,-26%
2004-04-04 - 2004-04-10,-19%
2004-04-11 - 2004-04-17,-35%
2004-04-18 - 2004-04-24,-35%
2004-04-25 - 2004-05-01,-46%
2004-05-02 - 2004-05-08,-42%
2004-05-09 - 2004-05-15,-39%
2004-05-16 - 2004-05-22,-49%
2004-05-23 - 2004-05-29,-44%
2004-05-30 - 2004-06-05,-43%
2004-06-06 - 2004-06-12,-10%
2004-06-13 - 2004-06-19,-40%
2004-06-20 - 2004-06-26,-20%
2004-06-27 - 2004-07-03,-19%
2004-07-04 - 2004-07-10,-6%
2004-07-11 - 2004-07-17,-24%
2004-07-18 - 2004-07-24,-45%
2004-07-25 - 2004-07-31,-46%
2004-08-01 - 2004-08-07,-23%
2004-08-08 - 2004-08-14,-33%
2004-08-15 - 2004-08-21,-33%
2004-08-22 - 2004-08-28,-55%
2004-08-29 - 2004-09-04,-42%
2004-09-05 - 2004-09-11,-49%
2004-09-12 - 2004-09-18,-26%
2004-09-19 - 2004-09-25,-46%
2004-09-26 - 2004-10-02,-57%
2004-10-03 - 2004-10-09,-18%
2004-10-10 - 2004-10-16,-26%
2004-10-17 - 2004-10-23,-44%
2004-10-24 - 2004-10-30,-11%
2004-10-31 - 2004-11-06,-52%
2004-11-07 - 2004-11-13,-40%
2004-11-14 - 2004-11-20,-29%
2004-11-21 - 2004-11-27,-44%
2004-11-28 - 2004-12-04,-43%
2004-12-05 - 2004-12-11,-48%
2004-12-12 - 2004-12-18,-50%
2004-12-19 - 2004-12-25,-46%
2004-12-26 - 2005-01-01,-43%
2005-01-02 - 2005-01-08,-40%
2005-01-09 - 2005-01-15,-38%
2005-01-16 - 2005-01-22,-39%
2005-01-23 - 2005-01-29,-51%
2005-01-30 - 2005-02-05,-69%
2005-02-06 - 2005-02-12,-21%
2005-02-13 - 2005-02-19,-42%
2005-02-20 - 2005-02-26,-35%
2005-02-27 - 2005-03-05,-43%
2005-03-06 - 2005-03-12,-57%
2005-03-13 - 2005-03-19,-45%
2005-03-20 - 2005-03-26,-49%
2005-03-27 - 2005-04-02,-43%
2005-04-03 - 2005-04-09,-68%
2005-04-10 - 2005-04-16,-45%
2005-04-17 - 2005-04-23,-61%
2005-04-24 - 2005-04-30,-51%
2005-05-01 - 2005-05-07,-55%
2005-05-08 - 2005-05-14,-36%
2005-05-15 - 2005-05-21,-62%
2005-05-22 - 2005-05-28,-48%
2005-05-29 - 2005-06-04,-61%
2005-06-05 - 2005-06-11,-54%
2005-06-12 - 2005-06-18,-55%
2005-06-19 - 2005-06-25,-39%
