Web Search Interest
Spain; 2004 - present

Interest over time
Week,Web Apps & Online Tools
2004-01-04 - 2004-01-10,+0%
2004-01-11 - 2004-01-17,+20%
2004-01-18 - 2004-01-24,+35%
2004-01-25 - 2004-01-31,+5%
2004-02-01 - 2004-02-07,+40%
2004-02-08 - 2004-02-14,+15%
2004-02-15 - 2004-02-21,+25%
2004-02-22 - 2004-02-28,+45%
2004-02-29 - 2004-03-06,+10%
2004-03-07 - 2004-03-13,+20%
2004-03-14 - 2004-03-20,+15%
2004-03-21 - 2004-03-27,+25%
2004-03-28 - 2004-04-03,+50%
2004-04-04 - 2004-04-10,+70%
2004-04-11 - 2004-04-17,+20%
2004-04-18 - 2004-04-24,+20%
2004-04-25 - 2004-05-01,+40%
2004-05-02 - 2004-05-08,+30%
2004-05-09 - 2004-05-15,+10%
2004-05-16 - 2004-05-22,+35%
2004-05-23 - 2004-05-29,+20%
2004-05-30 - 2004-06-05,+10%
2004-06-06 - 2004-06-12,+25%
2004-06-13 - 2004-06-19,+50%
2004-06-20 - 2004-06-26,+60%
2004-06-27 - 2004-07-03,+45%
2004-07-04 - 2004-07-10,+50%
2004-07-11 - 2004-07-17,+30%
2004-07-18 - 2004-07-24,+55%
2004-07-25 - 2004-07-31,+70%
2004-08-01 - 2004-08-07,+95%
2004-08-08 - 2004-08-14,+75%
2004-08-15 - 2004-08-21,+45%
2004-08-22 - 2004-08-28,+30%
2004-08-29 - 2004-09-04,+5%
2004-09-05 - 2004-09-11,+35%
2004-09-12 - 2004-09-18,+25%
2004-09-19 - 2004-09-25,+30%
2004-09-26 - 2004-10-02,+35%
2004-10-03 - 2004-10-09,+40%
2004-10-10 - 2004-10-16,+25%
2004-10-17 - 2004-10-23,+85%
2004-10-24 - 2004-10-30,+45%
2004-10-31 - 2004-11-06,+50%
2004-11-07 - 2004-11-13,+70%
2004-11-14 - 2004-11-20,+70%
2004-11-21 - 2004-11-27,+50%
2004-11-28 - 2004-12-04,+70%
2004-12-05 - 2004-12-11,+80%
2004-12-12 - 2004-12-18,+50%
2004-12-19 - 2004-12-25,+55%
2004-12-26 - 2005-01-01,+65%
