Web Search Interest
France; 2004 - present

Interest over time
Week,Weather
2004-01-04 - 2004-01-10,+0%
2004-01-11 - 2004-01-17,+30%
2004-01-18 - 2004-01-24,+26%
2004-01-25 - 2004-01-31,+89%
2004-02-01 - 2004-02-07,+15%
2004-02-08 - 2004-02-14,+0%
2004-02-15 - 2004-02-21,+26%
2004-02-22 - 2004-02-28,+67%
2004-02-29 - 2004-03-06,+4%
2004-03-07 - 2004-03-13,+26%
2004-03-14 - 2004-03-20,+15%
2004-03-21 - 2004-03-27,+7%
2004-03-28 - 2004-04-03,+19%
2004-04-04 - 2004-04-10,+37%
2004-04-11 - 2004-04-17,+44%
2004-04-18 - 2004-04-24,+15%
2004-04-25 - 2004-05-01,+41%
2004-05-02 - 2004-05-08,+30%
2004-05-09 - 2004-05-15,+11%
2004-05-16 - 2004-05-22,+63%
2004-05-23 - 2004-05-29,+56%
2004-05-30 - 2004-06-05,+26%
2004-06-06 - 2004-06-12,+48%
2004-06-13 - 2004-06-19,+85%
2004-06-20 - 2004-06-26,+52%
2004-06-27 - 2004-07-03,+30%
2004-07-04 - 2004-07-10,+93%
2004-07-11 - 2004-07-17,+67%
2004-07-18 - 2004-07-24,+44%
2004-07-25 - 2004-07-31,+4%
2004-08-01 - 2004-08-07,+67%
2004-08-08 - 2004-08-14,+67%
2004-08-15 - 2004-08-21,+67%
2004-08-22 - 2004-08-28,+19%
2004-08-29 - 2004-09-04,-22%
2004-09-05 - 2004-09-11,+11%
2004-09-12 - 2004-09-18,-7%
2004-09-19 - 2004-09-25,-15%
2004-09-26 - 2004-10-02,-33%
2004-10-03 - 2004-10-09,-22%
2004-10-10 - 2004-10-16,-19%
2004-10-17 - 2004-10-23,-22%
2004-10-24 - 2004-10-30,-7%
2004-10-31 - 2004-11-06,-37%
2004-11-07 - 2004-11-13,-26%
2004-11-14 - 2004-11-20,-37%
2004-11-21 - 2004-11-27,-37%
2004-11-28 - 2004-12-04,-19%
2004-12-05 - 2004-12-11,-26%
2004-12-12 - 2004-12-18,+15%
2004-12-19 - 2004-12-25,+48%
2004-12-26 - 2005-01-01,+52%
2005-01-02 - 2005-01-08,-15%
2005-01-09 - 2005-01-15,-11%
2005-01-16 - 2005-01-22,+22%
2005-01-23 - 2005-01-29,+104%
2005-01-30 - 2005-02-05,+11%
2005-02-06 - 2005-02-12,+7%
2005-02-13 - 2005-02-19,+63%
2005-02-20 - 2005-02-26,+111%
2005-02-27 - 2005-03-05,+144%
2005-03-06 - 2005-03-12,+22%
2005-03-13 - 2005-03-19,+0%
2005-03-20 - 2005-03-26,+67%
2005-03-27 - 2005-04-02,+7%
2005-04-03 - 2005-04-09,+48%
2005-04-10 - 2005-04-16,+48%
2005-04-17 - 2005-04-23,+52%
2005-04-24 - 2005-04-30,+22%
2005-05-01 - 2005-05-07,+85%
2005-05-08 - 2005-05-14,+52%
2005-05-15 - 2005-05-21,+48%
2005-05-22 - 2005-05-28,+41%
2005-05-29 - 2005-06-04,+70%
2005-06-05 - 2005-06-11,+37%
2005-06-12 - 2005-06-18,+44%
2005-06-19 - 2005-06-25,+133%
2005-06-26 - 2005-07-02,+126%
2005-07-03 - 2005-07-09,+85%
2005-07-10 - 2005-07-16,+48%
2005-07-17 - 2005-07-23,+67%
2005-07-24 - 2005-07-30,+93%
2005-07-31 - 2005-08-06,+70%
2005-08-07 - 2005-08-13,+70%
2005-08-14 - 2005-08-20,+74%
2005-08-21 - 2005-08-27,+63%
2005-08-28 - 2005-09-03,+26%
2005-09-04 - 2005-09-10,+96%
2005-09-11 - 2005-09-17,+41%
2005-09-18 - 2005-09-24,+11%
2005-09-25 - 2005-10-01,+15%
