Web Search Interest
Germany; 2004 - present

Interest over time
Week,Weather
2004-01-04 - 2004-01-10,+0%
2004-01-11 - 2004-01-17,+11%
2004-01-18 - 2004-01-24,+7%
2004-01-25 - 2004-01-31,+41%
2004-02-01 - 2004-02-07,-7%
2004-02-08 - 2004-02-14,-7%
2004-02-15 - 2004-02-21,-7%
2004-02-22 - 2004-02-28,+4%
2004-02-29 - 2004-03-06,-7%
2004-03-07 - 2004-03-13,-7%
2004-03-14 - 2004-03-20,-4%
2004-03-21 - 2004-03-27,+0%
2004-03-28 - 2004-04-03,+7%
2004-04-04 - 2004-04-10,+26%
2004-04-11 - 2004-04-17,-7%
2004-04-18 - 2004-04-24,+0%
2004-04-25 - 2004-05-01,+22%
2004-05-02 - 2004-05-08,+19%
2004-05-09 - 2004-05-15,+22%
2004-05-16 - 2004-05-22,+41%
2004-05-23 - 2004-05-29,+33%
2004-05-30 - 2004-06-05,+44%
2004-06-06 - 2004-06-12,+70%
2004-06-13 - 2004-06-19,+48%
2004-06-20 - 2004-06-26,+48%
2004-06-27 - 2004-07-03,+37%
2004-07-04 - 2004-07-10,+74%
2004-07-11 - 2004-07-17,+70%
2004-07-18 - 2004-07-24,+100%
2004-07-25 - 2004-07-31,+33%
2004-08-01 - 2004-08-07,+33%
2004-08-08 - 2004-08-14,+96%
2004-08-15 - 2004-08-21,+56%
2004-08-22 - 2004-08-28,+41%
2004-08-29 - 2004-09-04,+19%
2004-09-05 - 2004-09-11,+15%
2004-09-12 - 2004-09-18,+4%
2004-09-19 - 2004-09-25,+15%
2004-09-26 - 2004-10-02,-4%
2004-10-03 - 2004-10-09,-4%
2004-10-10 - 2004-10-16,-4%
2004-10-17 - 2004-10-23,-15%
2004-10-24 - 2004-10-30,-15%
2004-10-31 - 2004-11-06,-26%
2004-11-07 - 2004-11-13,-11%
2004-11-14 - 2004-11-20,-7%
2004-11-21 - 2004-11-27,-19%
2004-11-28 - 2004-12-04,-26%
2004-12-05 - 2004-12-11,-26%
2004-12-12 - 2004-12-18,-7%
2004-12-19 - 2004-12-25,+33%
2004-12-26 - 2005-01-01,+37%
2005-01-02 - 2005-01-08,-4%
2005-01-09 - 2005-01-15,-11%
2005-01-16 - 2005-01-22,+11%
2005-01-23 - 2005-01-29,+37%
2005-01-30 - 2005-02-05,+15%
2005-02-06 - 2005-02-12,+0%
2005-02-13 - 2005-02-19,+26%
2005-02-20 - 2005-02-26,+37%
2005-02-27 - 2005-03-05,+44%
2005-03-06 - 2005-03-12,+22%
2005-03-13 - 2005-03-19,+22%
2005-03-20 - 2005-03-26,+37%
2005-03-27 - 2005-04-02,-4%
2005-04-03 - 2005-04-09,+7%
2005-04-10 - 2005-04-16,+4%
2005-04-17 - 2005-04-23,+11%
2005-04-24 - 2005-04-30,+26%
2005-05-01 - 2005-05-07,+81%
2005-05-08 - 2005-05-14,+67%
2005-05-15 - 2005-05-21,+52%
2005-05-22 - 2005-05-28,+44%
2005-05-29 - 2005-06-04,+63%
2005-06-05 - 2005-06-11,+44%
2005-06-12 - 2005-06-18,+44%
2005-06-19 - 2005-06-25,+100%
2005-06-26 - 2005-07-02,+85%
2005-07-03 - 2005-07-09,+104%
2005-07-10 - 2005-07-16,+70%
2005-07-17 - 2005-07-23,+78%
2005-07-24 - 2005-07-30,+111%
2005-07-31 - 2005-08-06,+74%
2005-08-07 - 2005-08-13,+81%
2005-08-14 - 2005-08-20,+70%
2005-08-21 - 2005-08-27,+78%
2005-08-28 - 2005-09-03,+41%
2005-09-04 - 2005-09-10,+48%
2005-09-11 - 2005-09-17,+26%
2005-09-18 - 2005-09-24,+11%
2005-09-25 - 2005-10-01,+26%
2005-10-02 - 2005-10-08,-7%
2005-10-09 - 2005-10-15,-11%
2005-10-16 - 2005-10-22,-4%
2005-10-23 - 2005-10-29,-4%
2005-10-30 - 2005-11-05,-19%
2005-11-06 - 2005-11-12,-26%
2005-11-13 - 2005-11-19,-7%
2005-11-20 - 2005-11-26,+30%
2005-11-27 - 2005-12-03,+11%
2005-12-04 - 2005-12-10,-19%
2005-12-11 - 2005-12-17,+15%
2005-12-18 - 2005-12-24,+4%
2005-12-25 - 2005-12-31,+74%
2006-01-01 - 2006-01-07,-4%
2006-01-08 - 2006-01-14,-11%
2006-01-15 - 2006-01-21,+19%
2006-01-22 - 2006-01-28,+33%
2006-01-29 - 2006-02-04,+0%
2006-02-05 - 2006-02-11,+19%
2006-02-12 - 2006-02-18,+0%
2006-02-19 - 2006-02-25,+0%
2006-02-26 - 2006-03-04,+33%
2006-03-05 - 2006-03-11,+48%
2006-03-12 - 2006-03-18,+19%
2006-03-19 - 2006-03-25,+11%
2006-03-26 - 2006-04-01,+15%
2006-04-02 - 2006-04-08,+26%
2006-04-09 - 2006-04-15,+48%
2006-04-16 - 2006-04-22,+15%
2006-04-23 - 2006-04-29,+48%
2006-04-30 - 2006-05-06,+30%
2006-05-07 - 2006-05-13,+44%
2006-05-14 - 2006-05-20,+67%
2006-05-21 - 2006-05-27,+107%
2006-05-28 - 2006-06-03,+107%
2006-06-04 - 2006-06-10,+33%
2006-06-11 - 2006-06-17,+115%
2006-06-18 - 2006-06-24,+67%
2006-06-25 - 2006-07-01,+59%
2006-07-02 - 2006-07-08,+89%
2006-07-09 - 2006-07-15,+52%
2006-07-16 - 2006-07-22,+104%
2006-07-23 - 2006-07-29,+167%
2006-07-30 - 2006-08-05,+119%
2006-08-06 - 2006-08-12,+93%
2006-08-13 - 2006-08-19,+89%
2006-08-20 - 2006-08-26,+59%
2006-08-27 - 2006-09-02,+56%
2006-09-03 - 2006-09-09,+37%
2006-09-10 - 2006-09-16,+30%
2006-09-17 - 2006-09-23,+15%
2006-09-24 - 2006-09-30,+30%
2006-10-01 - 2006-10-07,+19%
2006-10-08 - 2006-10-14,-4%
2006-10-15 - 2006-10-21,-4%
2006-10-22 - 2006-10-28,+0%
2006-10-29 - 2006-11-04,+15%
2006-11-05 - 2006-11-11,-15%
2006-11-12 - 2006-11-18,-19%
2006-11-19 - 2006-11-25,-19%
2006-11-26 - 2006-12-02,-19%
2006-12-03 - 2006-12-09,+0%
2006-12-10 - 2006-12-16,-7%
2006-12-17 - 2006-12-23,-4%
2006-12-24 - 2006-12-30,+22%
2006-12-31 - 2007-01-06,+11%
2007-01-07 - 2007-01-13,+15%
2007-01-14 - 2007-01-20,+233%
2007-01-21 - 2007-01-27,+89%
2007-01-28 - 2007-02-03,+4%
2007-02-04 - 2007-02-10,+22%
2007-02-11 - 2007-02-17,+7%
2007-02-18 - 2007-02-24,+0%
2007-02-25 - 2007-03-03,+7%
2007-03-04 - 2007-03-10,+4%
2007-03-11 - 2007-03-17,+22%
2007-03-18 - 2007-03-24,+52%
2007-03-25 - 2007-03-31,+26%
2007-04-01 - 2007-04-07,+41%
2007-04-08 - 2007-04-14,+11%
2007-04-15 - 2007-04-21,+41%
2007-04-22 - 2007-04-28,+48%
2007-04-29 - 2007-05-05,+59%
