Web Search Interest
Portugal; 2004 - present

Interest over time
Week,Sports News
2004-01-04 - 2004-01-10,+0%
2004-01-11 - 2004-01-17,+46%
2004-01-18 - 2004-01-24,+8%
2004-01-25 - 2004-01-31,+185%
2004-02-01 - 2004-02-07,+54%
2004-02-08 - 2004-02-14,+0%
2004-02-15 - 2004-02-21,+38%
2004-02-22 - 2004-02-28,+46%
2004-02-29 - 2004-03-06,+38%
2004-03-07 - 2004-03-13,+154%
2004-03-14 - 2004-03-20,+23%
2004-03-21 - 2004-03-27,+92%
2004-03-28 - 2004-04-03,+46%
2004-04-04 - 2004-04-10,+54%
2004-04-11 - 2004-04-17,+31%
2004-04-18 - 2004-04-24,+54%
2004-04-25 - 2004-05-01,+23%
2004-05-02 - 2004-05-08,+69%
2004-05-09 - 2004-05-15,+23%
2004-05-16 - 2004-05-22,+108%
2004-05-23 - 2004-05-29,+162%
2004-05-30 - 2004-06-05,+108%
2004-06-06 - 2004-06-12,+100%
2004-06-13 - 2004-06-19,+185%
2004-06-20 - 2004-06-26,+438%
2004-06-27 - 2004-07-03,+369%
2004-07-04 - 2004-07-10,+431%
2004-07-11 - 2004-07-17,+223%
2004-07-18 - 2004-07-24,+162%
2004-07-25 - 2004-07-31,+208%
2004-08-01 - 2004-08-07,+154%
2004-08-08 - 2004-08-14,+162%
2004-08-15 - 2004-08-21,+115%
2004-08-22 - 2004-08-28,+146%
2004-08-29 - 2004-09-04,+131%
2004-09-05 - 2004-09-11,+115%
2004-09-12 - 2004-09-18,+115%
2004-09-19 - 2004-09-25,+123%
2004-09-26 - 2004-10-02,+85%
2004-10-03 - 2004-10-09,+92%
2004-10-10 - 2004-10-16,+100%
2004-10-17 - 2004-10-23,+108%
2004-10-24 - 2004-10-30,+100%
2004-10-31 - 2004-11-06,+77%
2004-11-07 - 2004-11-13,+62%
2004-11-14 - 2004-11-20,+92%
2004-11-21 - 2004-11-27,+100%
2004-11-28 - 2004-12-04,+69%
2004-12-05 - 2004-12-11,+92%
2004-12-12 - 2004-12-18,+115%
2004-12-19 - 2004-12-25,+115%
2004-12-26 - 2005-01-01,+108%
2005-01-02 - 2005-01-08,+92%
2005-01-09 - 2005-01-15,+162%
2005-01-16 - 2005-01-22,+154%
2005-01-23 - 2005-01-29,+192%
2005-01-30 - 2005-02-05,+169%
2005-02-06 - 2005-02-12,+138%
2005-02-13 - 2005-02-19,+115%
2005-02-20 - 2005-02-26,+115%
2005-02-27 - 2005-03-05,+131%
2005-03-06 - 2005-03-12,+131%
2005-03-13 - 2005-03-19,+131%
2005-03-20 - 2005-03-26,+123%
2005-03-27 - 2005-04-02,+92%
2005-04-03 - 2005-04-09,+162%
2005-04-10 - 2005-04-16,+123%
2005-04-17 - 2005-04-23,+108%
2005-04-24 - 2005-04-30,+162%
2005-05-01 - 2005-05-07,+123%
2005-05-08 - 2005-05-14,+138%
2005-05-15 - 2005-05-21,+108%
2005-05-22 - 2005-05-28,+192%
2005-05-29 - 2005-06-04,+146%
2005-06-05 - 2005-06-11,+192%
2005-06-12 - 2005-06-18,+246%
2005-06-19 - 2005-06-25,+208%
2005-06-26 - 2005-07-02,+200%
2005-07-03 - 2005-07-09,+200%
2005-07-10 - 2005-07-16,+208%
2005-07-17 - 2005-07-23,+200%
2005-07-24 - 2005-07-30,+192%
2005-07-31 - 2005-08-06,+185%
2005-08-07 - 2005-08-13,+238%
2005-08-14 - 2005-08-20,+223%
2005-08-21 - 2005-08-27,+215%
2005-08-28 - 2005-09-03,+277%
2005-09-04 - 2005-09-10,+208%
2005-09-11 - 2005-09-17,+200%
2005-09-18 - 2005-09-24,+138%
2005-09-25 - 2005-10-01,+162%
2005-10-02 - 2005-10-08,+154%
2005-10-09 - 2005-10-15,+138%
2005-10-16 - 2005-10-22,+238%
2005-10-23 - 2005-10-29,+154%
2005-10-30 - 2005-11-05,+92%
2005-11-06 - 2005-11-12,+123%
2005-11-13 - 2005-11-19,+108%
2005-11-20 - 2005-11-26,+115%
2005-11-27 - 2005-12-03,+131%
2005-12-04 - 2005-12-10,+169%
2005-12-11 - 2005-12-17,+162%
2005-12-18 - 2005-12-24,+154%
2005-12-25 - 2005-12-31,+192%
2006-01-01 - 2006-01-07,+200%
2006-01-08 - 2006-01-14,+192%
2006-01-15 - 2006-01-21,+177%
2006-01-22 - 2006-01-28,+154%
2006-01-29 - 2006-02-04,+177%
2006-02-05 - 2006-02-11,+169%
2006-02-12 - 2006-02-18,+138%
2006-02-19 - 2006-02-25,+154%
2006-02-26 - 2006-03-04,+177%
2006-03-05 - 2006-03-11,+208%
2006-03-12 - 2006-03-18,+146%
2006-03-19 - 2006-03-25,+154%
2006-03-26 - 2006-04-01,+138%
2006-04-02 - 2006-04-08,+146%
2006-04-09 - 2006-04-15,+138%
2006-04-16 - 2006-04-22,+108%
2006-04-23 - 2006-04-29,+146%
2006-04-30 - 2006-05-06,+154%
2006-05-07 - 2006-05-13,+185%
2006-05-14 - 2006-05-20,+208%
2006-05-21 - 2006-05-27,+208%
