Web Search Interest,
Portugal; 2004 - present,
,
Interest over time,
Week,Virtual Worlds
2004-01-04 - 2004-01-10,0%
2004-01-11 - 2004-01-17,-22%
2004-01-18 - 2004-01-24,-33%
2004-01-25 - 2004-01-31,-11%
2004-02-01 - 2004-02-07,0%
2004-02-08 - 2004-02-14,-11%
2004-02-15 - 2004-02-21,0%
2004-02-22 - 2004-02-28,-11%
2004-02-29 - 2004-03-06,0%
2004-03-07 - 2004-03-13,-22%
2004-03-14 - 2004-03-20,-22%
2004-03-21 - 2004-03-27,-44%
2004-03-28 - 2004-04-03,-44%
2004-04-04 - 2004-04-10,11%
2004-04-11 - 2004-04-17,11%
2004-04-18 - 2004-04-24,22%
2004-04-25 - 2004-05-01,-11%
2004-05-02 - 2004-05-08,-11%
2004-05-09 - 2004-05-15,-11%
2004-05-16 - 2004-05-22,-11%
2004-05-23 - 2004-05-29,11%
2004-05-30 - 2004-06-05,-33%
2004-06-06 - 2004-06-12,11%
2004-06-13 - 2004-06-19,-11%
2004-06-20 - 2004-06-26,-22%
2004-06-27 - 2004-07-03,11%
2004-07-04 - 2004-07-10,22%
2004-07-11 - 2004-07-17,22%
2004-07-18 - 2004-07-24,33%
2004-07-25 - 2004-07-31,-33%
2004-08-01 - 2004-08-07,-11%
2004-08-08 - 2004-08-14,0%
2004-08-15 - 2004-08-21,33%
2004-08-22 - 2004-08-28,0%
2004-08-29 - 2004-09-04,33%
2004-09-05 - 2004-09-11,0%
2004-09-12 - 2004-09-18,-11%
2004-09-19 - 2004-09-25,-11%
2004-09-26 - 2004-10-02,22%
2004-10-03 - 2004-10-09,-22%
2004-10-10 - 2004-10-16,-33%
2004-10-17 - 2004-10-23,-44%
2004-10-24 - 2004-10-30,-22%
2004-10-31 - 2004-11-06,33%
2004-11-07 - 2004-11-13,-22%
2004-11-14 - 2004-11-20,-56%
2004-11-21 - 2004-11-27,-22%
2004-11-28 - 2004-12-04,-33%
2004-12-05 - 2004-12-11,0%
2004-12-12 - 2004-12-18,-33%
2004-12-19 - 2004-12-25,-11%
2004-12-26 - 2005-01-01,0%
2005-01-02 - 2005-01-08,-11%
2005-01-09 - 2005-01-15,-11%
2005-01-16 - 2005-01-22,-22%
2005-01-23 - 2005-01-29,-11%
2005-01-30 - 2005-02-05,-44%
2005-02-06 - 2005-02-12,-22%
2005-02-13 - 2005-02-19,-33%
