Web Search Interest
Italy; 2004 - present

Interest over time
Week,Social Issues & Advocacy
2004-01-04 - 2004-01-10,+0%
2004-01-11 - 2004-01-17,+5%
2004-01-18 - 2004-01-24,+6%
2004-01-25 - 2004-01-31,+4%
2004-02-01 - 2004-02-07,+3%
2004-02-08 - 2004-02-14,+1%
2004-02-15 - 2004-02-21,+1%
2004-02-22 - 2004-02-28,-5%
2004-02-29 - 2004-03-06,+10%
2004-03-07 - 2004-03-13,+1%
2004-03-14 - 2004-03-20,-1%
2004-03-21 - 2004-03-27,+10%
2004-03-28 - 2004-04-03,+0%
2004-04-04 - 2004-04-10,-16%
2004-04-11 - 2004-04-17,-9%
2004-04-18 - 2004-04-24,+0%
2004-04-25 - 2004-05-01,-1%
2004-05-02 - 2004-05-08,-5%
2004-05-09 - 2004-05-15,-3%
2004-05-16 - 2004-05-22,+5%
2004-05-23 - 2004-05-29,-4%
2004-05-30 - 2004-06-05,-10%
2004-06-06 - 2004-06-12,-5%
2004-06-13 - 2004-06-19,-8%
2004-06-20 - 2004-06-26,-6%
2004-06-27 - 2004-07-03,-6%
2004-07-04 - 2004-07-10,+6%
2004-07-11 - 2004-07-17,-13%
2004-07-18 - 2004-07-24,-14%
2004-07-25 - 2004-07-31,-19%
2004-08-01 - 2004-08-07,-25%
2004-08-08 - 2004-08-14,-30%
2004-08-15 - 2004-08-21,-34%
2004-08-22 - 2004-08-28,-29%
2004-08-29 - 2004-09-04,-22%
2004-09-05 - 2004-09-11,-10%
2004-09-12 - 2004-09-18,-14%
2004-09-19 - 2004-09-25,-11%
2004-09-26 - 2004-10-02,-9%
2004-10-03 - 2004-10-09,-6%
2004-10-10 - 2004-10-16,-6%
2004-10-17 - 2004-10-23,+1%
2004-10-24 - 2004-10-30,-8%
2004-10-31 - 2004-11-06,-16%
2004-11-07 - 2004-11-13,-9%
2004-11-14 - 2004-11-20,+0%
2004-11-21 - 2004-11-27,+5%
2004-11-28 - 2004-12-04,+20%
2004-12-05 - 2004-12-11,-13%
2004-12-12 - 2004-12-18,-9%
2004-12-19 - 2004-12-25,-20%
2004-12-26 - 2005-01-01,-9%
2005-01-02 - 2005-01-08,-10%
2005-01-09 - 2005-01-15,+4%
2005-01-16 - 2005-01-22,-3%
2005-01-23 - 2005-01-29,-5%
2005-01-30 - 2005-02-05,-1%
2005-02-06 - 2005-02-12,+0%
2005-02-13 - 2005-02-19,-3%
2005-02-20 - 2005-02-26,-4%
2005-02-27 - 2005-03-05,-4%
2005-03-06 - 2005-03-12,+27%
2005-03-13 - 2005-03-19,-3%
2005-03-20 - 2005-03-26,-15%
2005-03-27 - 2005-04-02,-18%
2005-04-03 - 2005-04-09,-14%
2005-04-10 - 2005-04-16,-8%
2005-04-17 - 2005-04-23,-5%
2005-04-24 - 2005-04-30,-18%
2005-05-01 - 2005-05-07,-8%
2005-05-08 - 2005-05-14,+10%
2005-05-15 - 2005-05-21,+13%
2005-05-22 - 2005-05-28,+1%
2005-05-29 - 2005-06-04,+5%
2005-06-05 - 2005-06-11,-8%
2005-06-12 - 2005-06-18,-14%
2005-06-19 - 2005-06-25,-5%
2005-06-26 - 2005-07-02,-20%
2005-07-03 - 2005-07-09,-18%
2005-07-10 - 2005-07-16,-13%
2005-07-17 - 2005-07-23,-23%
2005-07-24 - 2005-07-30,-23%
2005-07-31 - 2005-08-06,-32%
2005-08-07 - 2005-08-13,-37%
2005-08-14 - 2005-08-20,-41%
2005-08-21 - 2005-08-27,-33%
2005-08-28 - 2005-09-03,-25%
2005-09-04 - 2005-09-10,-22%
2005-09-11 - 2005-09-17,-24%
2005-09-18 - 2005-09-24,-13%
2005-09-25 - 2005-10-01,-15%
2005-10-02 - 2005-10-08,-11%
2005-10-09 - 2005-10-15,-10%
2005-10-16 - 2005-10-22,-11%
2005-10-23 - 2005-10-29,-18%
2005-10-30 - 2005-11-05,-23%
2005-11-06 - 2005-11-12,-15%
2005-11-13 - 2005-11-19,-10%
2005-11-20 - 2005-11-26,+13%
2005-11-27 - 2005-12-03,-10%
2005-12-04 - 2005-12-10,-15%
2005-12-11 - 2005-12-17,-6%
2005-12-18 - 2005-12-24,-19%
2005-12-25 - 2005-12-31,-30%
2006-01-01 - 2006-01-07,-27%
2006-01-08 - 2006-01-14,-1%
2006-01-15 - 2006-01-21,+6%
2006-01-22 - 2006-01-28,-6%
2006-01-29 - 2006-02-04,-14%
