Web Search Interest
Hong Kong; 2004 - present

Interest over time
Week,Geographic Reference
2004-01-04 - 2004-01-10,+0%
2004-01-11 - 2004-01-17,+11%
2004-01-18 - 2004-01-24,+19%
2004-01-25 - 2004-01-31,+6%
2004-02-01 - 2004-02-07,+25%
2004-02-08 - 2004-02-14,+14%
2004-02-15 - 2004-02-21,+17%
2004-02-22 - 2004-02-28,+22%
2004-02-29 - 2004-03-06,+19%
2004-03-07 - 2004-03-13,+19%
2004-03-14 - 2004-03-20,+28%
2004-03-21 - 2004-03-27,+14%
2004-03-28 - 2004-04-03,+22%
2004-04-04 - 2004-04-10,+28%
2004-04-11 - 2004-04-17,+11%
2004-04-18 - 2004-04-24,+28%
2004-04-25 - 2004-05-01,+11%
2004-05-02 - 2004-05-08,+17%
2004-05-09 - 2004-05-15,+22%
2004-05-16 - 2004-05-22,+25%
2004-05-23 - 2004-05-29,+25%
2004-05-30 - 2004-06-05,+39%
2004-06-06 - 2004-06-12,+33%
2004-06-13 - 2004-06-19,+25%
2004-06-20 - 2004-06-26,+36%
2004-06-27 - 2004-07-03,+36%
2004-07-04 - 2004-07-10,+31%
2004-07-11 - 2004-07-17,+11%
2004-07-18 - 2004-07-24,+19%
2004-07-25 - 2004-07-31,+14%
2004-08-01 - 2004-08-07,+0%
2004-08-08 - 2004-08-14,+31%
2004-08-15 - 2004-08-21,+19%
2004-08-22 - 2004-08-28,+36%
2004-08-29 - 2004-09-04,+33%
2004-09-05 - 2004-09-11,+31%
2004-09-12 - 2004-09-18,+50%
2004-09-19 - 2004-09-25,+25%
2004-09-26 - 2004-10-02,+25%
2004-10-03 - 2004-10-09,+25%
2004-10-10 - 2004-10-16,+19%
2004-10-17 - 2004-10-23,+36%
2004-10-24 - 2004-10-30,+19%
2004-10-31 - 2004-11-06,+19%
2004-11-07 - 2004-11-13,+22%
2004-11-14 - 2004-11-20,+25%
2004-11-21 - 2004-11-27,+25%
2004-11-28 - 2004-12-04,+19%
2004-12-05 - 2004-12-11,+25%
2004-12-12 - 2004-12-18,+19%
2004-12-19 - 2004-12-25,+17%
2004-12-26 - 2005-01-01,+56%
2005-01-02 - 2005-01-08,+33%
2005-01-09 - 2005-01-15,+33%
2005-01-16 - 2005-01-22,+50%
2005-01-23 - 2005-01-29,+19%
2005-01-30 - 2005-02-05,+19%
2005-02-06 - 2005-02-12,+17%
2005-02-13 - 2005-02-19,+39%
2005-02-20 - 2005-02-26,+33%
2005-02-27 - 2005-03-05,+33%
2005-03-06 - 2005-03-12,+56%
2005-03-13 - 2005-03-19,+50%
2005-03-20 - 2005-03-26,+44%
2005-03-27 - 2005-04-02,+39%
2005-04-03 - 2005-04-09,+39%
2005-04-10 - 2005-04-16,+50%
2005-04-17 - 2005-04-23,+42%
2005-04-24 - 2005-04-30,+22%
2005-05-01 - 2005-05-07,+31%
2005-05-08 - 2005-05-14,+53%
2005-05-15 - 2005-05-21,+33%
2005-05-22 - 2005-05-28,+28%
2005-05-29 - 2005-06-04,+33%
2005-06-05 - 2005-06-11,+44%
2005-06-12 - 2005-06-18,+33%
2005-06-19 - 2005-06-25,+83%
2005-06-26 - 2005-07-02,+133%
2005-07-03 - 2005-07-09,+175%
2005-07-10 - 2005-07-16,+156%
2005-07-17 - 2005-07-23,+139%
2005-07-24 - 2005-07-30,+125%
2005-07-31 - 2005-08-06,+150%
2005-08-07 - 2005-08-13,+158%
2005-08-14 - 2005-08-20,+161%
2005-08-21 - 2005-08-27,+131%
2005-08-28 - 2005-09-03,+142%
2005-09-04 - 2005-09-10,+139%
2005-09-11 - 2005-09-17,+125%
2005-09-18 - 2005-09-24,+178%
2005-09-25 - 2005-10-01,+136%
2005-10-02 - 2005-10-08,+139%
2005-10-09 - 2005-10-15,+114%
2005-10-16 - 2005-10-22,+106%
2005-10-23 - 2005-10-29,+83%
2005-10-30 - 2005-11-05,+81%
2005-11-06 - 2005-11-12,+83%
2005-11-13 - 2005-11-19,+86%
2005-11-20 - 2005-11-26,+94%
2005-11-27 - 2005-12-03,+72%
2005-12-04 - 2005-12-10,+94%
2005-12-11 - 2005-12-17,+72%
2005-12-18 - 2005-12-24,+72%
2005-12-25 - 2005-12-31,+81%
2006-01-01 - 2006-01-07,+100%
2006-01-08 - 2006-01-14,+106%
2006-01-15 - 2006-01-21,+75%
2006-01-22 - 2006-01-28,+97%
2006-01-29 - 2006-02-04,+78%
2006-02-05 - 2006-02-11,+89%
2006-02-12 - 2006-02-18,+89%
2006-02-19 - 2006-02-25,+86%
2006-02-26 - 2006-03-04,+78%
2006-03-05 - 2006-03-11,+89%
2006-03-12 - 2006-03-18,+94%
2006-03-19 - 2006-03-25,+92%
2006-03-26 - 2006-04-01,+78%
2006-04-02 - 2006-04-08,+81%
2006-04-09 - 2006-04-15,+86%
2006-04-16 - 2006-04-22,+72%
2006-04-23 - 2006-04-29,+69%
2006-04-30 - 2006-05-06,+56%
2006-05-07 - 2006-05-13,+89%
2006-05-14 - 2006-05-20,+86%
2006-05-21 - 2006-05-27,+67%
2006-05-28 - 2006-06-03,+81%
2006-06-04 - 2006-06-10,+64%
2006-06-11 - 2006-06-17,+103%
2006-06-18 - 2006-06-24,+86%
2006-06-25 - 2006-07-01,+81%
2006-07-02 - 2006-07-08,+92%
2006-07-09 - 2006-07-15,+75%
2006-07-16 - 2006-07-22,+97%
2006-07-23 - 2006-07-29,+86%
2006-07-30 - 2006-08-05,+89%
2006-08-06 - 2006-08-12,+78%
2006-08-13 - 2006-08-19,+83%
2006-08-20 - 2006-08-26,+83%
2006-08-27 - 2006-09-02,+81%
2006-09-03 - 2006-09-09,+75%
2006-09-10 - 2006-09-16,+83%
2006-09-17 - 2006-09-23,+75%
2006-09-24 - 2006-09-30,+86%
2006-10-01 - 2006-10-07,+61%
2006-10-08 - 2006-10-14,+78%
2006-10-15 - 2006-10-21,+56%
2006-10-22 - 2006-10-28,+72%
2006-10-29 - 2006-11-04,+53%
2006-11-05 - 2006-11-11,+61%
2006-11-12 - 2006-11-18,+78%
2006-11-19 - 2006-11-25,+50%
2006-11-26 - 2006-12-02,+64%
2006-12-03 - 2006-12-09,+64%
2006-12-10 - 2006-12-16,+53%
2006-12-17 - 2006-12-23,+50%
2006-12-24 - 2006-12-30,+36%
2006-12-31 - 2007-01-06,+53%
2007-01-07 - 2007-01-13,+58%
2007-01-14 - 2007-01-20,+69%
2007-01-21 - 2007-01-27,+69%
2007-01-28 - 2007-02-03,+64%
2007-02-04 - 2007-02-10,+67%
2007-02-11 - 2007-02-17,+69%
2007-02-18 - 2007-02-24,+58%
2007-02-25 - 2007-03-03,+69%
2007-03-04 - 2007-03-10,+69%
2007-03-11 - 2007-03-17,+72%
2007-03-18 - 2007-03-24,+67%
2007-03-25 - 2007-03-31,+67%
2007-04-01 - 2007-04-07,+67%
2007-04-08 - 2007-04-14,+83%
2007-04-15 - 2007-04-21,+61%
2007-04-22 - 2007-04-28,+67%
