Web Search Interest
Portugal; 2004 - present

Interest over time
Week,Chemistry
2004-01-04 - 2004-01-10,+0%
2004-01-11 - 2004-01-17,+30%
2004-01-18 - 2004-01-24,+9%
2004-01-25 - 2004-01-31,+26%
2004-02-01 - 2004-02-07,-1%
2004-02-08 - 2004-02-14,+9%
2004-02-15 - 2004-02-21,+1%
2004-02-22 - 2004-02-28,+22%
2004-02-29 - 2004-03-06,+14%
2004-03-07 - 2004-03-13,+0%
2004-03-14 - 2004-03-20,+30%
2004-03-21 - 2004-03-27,+20%
2004-03-28 - 2004-04-03,+12%
2004-04-04 - 2004-04-10,-54%
2004-04-11 - 2004-04-17,-1%
2004-04-18 - 2004-04-24,+11%
2004-04-25 - 2004-05-01,+35%
2004-05-02 - 2004-05-08,+7%
2004-05-09 - 2004-05-15,+24%
2004-05-16 - 2004-05-22,+30%
2004-05-23 - 2004-05-29,+22%
2004-05-30 - 2004-06-05,+9%
2004-06-06 - 2004-06-12,+5%
2004-06-13 - 2004-06-19,-11%
2004-06-20 - 2004-06-26,-46%
2004-06-27 - 2004-07-03,-55%
2004-07-04 - 2004-07-10,-62%
2004-07-11 - 2004-07-17,-45%
2004-07-18 - 2004-07-24,-47%
2004-07-25 - 2004-07-31,-57%
2004-08-01 - 2004-08-07,-74%
2004-08-08 - 2004-08-14,-74%
2004-08-15 - 2004-08-21,-77%
2004-08-22 - 2004-08-28,-70%
2004-08-29 - 2004-09-04,-73%
2004-09-05 - 2004-09-11,-65%
2004-09-12 - 2004-09-18,-55%
2004-09-19 - 2004-09-25,-36%
2004-09-26 - 2004-10-02,-28%
2004-10-03 - 2004-10-09,-20%
2004-10-10 - 2004-10-16,-4%
2004-10-17 - 2004-10-23,-3%
2004-10-24 - 2004-10-30,-4%
2004-10-31 - 2004-11-06,-12%
2004-11-07 - 2004-11-13,-12%
2004-11-14 - 2004-11-20,+4%
2004-11-21 - 2004-11-27,-7%
2004-11-28 - 2004-12-04,+5%
2004-12-05 - 2004-12-11,-7%
2004-12-12 - 2004-12-18,-16%
2004-12-19 - 2004-12-25,-58%
2004-12-26 - 2005-01-01,-47%
2005-01-02 - 2005-01-08,+1%
2005-01-09 - 2005-01-15,-15%
2005-01-16 - 2005-01-22,-9%
2005-01-23 - 2005-01-29,-12%
2005-01-30 - 2005-02-05,-22%
2005-02-06 - 2005-02-12,-19%
2005-02-13 - 2005-02-19,-9%
2005-02-20 - 2005-02-26,-4%
2005-02-27 - 2005-03-05,-3%
2005-03-06 - 2005-03-12,+1%
2005-03-13 - 2005-03-19,-24%
2005-03-20 - 2005-03-26,-41%
2005-03-27 - 2005-04-02,-39%
2005-04-03 - 2005-04-09,-27%
2005-04-10 - 2005-04-16,-19%
2005-04-17 - 2005-04-23,-23%
2005-04-24 - 2005-04-30,-20%
2005-05-01 - 2005-05-07,-38%
2005-05-08 - 2005-05-14,-20%
2005-05-15 - 2005-05-21,-28%
2005-05-22 - 2005-05-28,-38%
2005-05-29 - 2005-06-04,-36%
2005-06-05 - 2005-06-11,-32%
2005-06-12 - 2005-06-18,-41%
2005-06-19 - 2005-06-25,-49%
2005-06-26 - 2005-07-02,-57%
2005-07-03 - 2005-07-09,-61%
2005-07-10 - 2005-07-16,-55%
2005-07-17 - 2005-07-23,-61%
2005-07-24 - 2005-07-30,-57%
2005-07-31 - 2005-08-06,-78%
2005-08-07 - 2005-08-13,-82%
2005-08-14 - 2005-08-20,-84%
2005-08-21 - 2005-08-27,-73%
2005-08-28 - 2005-09-03,-74%
2005-09-04 - 2005-09-10,-70%
2005-09-11 - 2005-09-17,-59%
2005-09-18 - 2005-09-24,-36%
2005-09-25 - 2005-10-01,-31%
