Web Search Interest
France; 2004 - present

Interest over time
Week,Auctions
2004-01-04 - 2004-01-10,+0%
2004-01-11 - 2004-01-17,+0%
2004-01-18 - 2004-01-24,+13%
2004-01-25 - 2004-01-31,+6%
2004-02-01 - 2004-02-07,+0%
2004-02-08 - 2004-02-14,+6%
2004-02-15 - 2004-02-21,+13%
2004-02-22 - 2004-02-28,+6%
2004-02-29 - 2004-03-06,+25%
2004-03-07 - 2004-03-13,+25%
2004-03-14 - 2004-03-20,+19%
2004-03-21 - 2004-03-27,+25%
2004-03-28 - 2004-04-03,+19%
2004-04-04 - 2004-04-10,+25%
2004-04-11 - 2004-04-17,+25%
2004-04-18 - 2004-04-24,+31%
2004-04-25 - 2004-05-01,+31%
2004-05-02 - 2004-05-08,+19%
2004-05-09 - 2004-05-15,+31%
2004-05-16 - 2004-05-22,+38%
2004-05-23 - 2004-05-29,+38%
2004-05-30 - 2004-06-05,+31%
2004-06-06 - 2004-06-12,+38%
2004-06-13 - 2004-06-19,+31%
2004-06-20 - 2004-06-26,+50%
2004-06-27 - 2004-07-03,+38%
2004-07-04 - 2004-07-10,+44%
2004-07-11 - 2004-07-17,+50%
2004-07-18 - 2004-07-24,+50%
2004-07-25 - 2004-07-31,+56%
2004-08-01 - 2004-08-07,+44%
2004-08-08 - 2004-08-14,+56%
2004-08-15 - 2004-08-21,+63%
2004-08-22 - 2004-08-28,+56%
2004-08-29 - 2004-09-04,+63%
2004-09-05 - 2004-09-11,+69%
2004-09-12 - 2004-09-18,+69%
2004-09-19 - 2004-09-25,+69%
2004-09-26 - 2004-10-02,+75%
2004-10-03 - 2004-10-09,+75%
2004-10-10 - 2004-10-16,+81%
2004-10-17 - 2004-10-23,+75%
2004-10-24 - 2004-10-30,+81%
2004-10-31 - 2004-11-06,+88%
2004-11-07 - 2004-11-13,+100%
2004-11-14 - 2004-11-20,+250%
2004-11-21 - 2004-11-27,+169%
2004-11-28 - 2004-12-04,+156%
2004-12-05 - 2004-12-11,+163%
2004-12-12 - 2004-12-18,+150%
2004-12-19 - 2004-12-25,+144%
2004-12-26 - 2005-01-01,+150%
2005-01-02 - 2005-01-08,+131%
2005-01-09 - 2005-01-15,+150%
2005-01-16 - 2005-01-22,+138%
2005-01-23 - 2005-01-29,+150%
2005-01-30 - 2005-02-05,+150%
2005-02-06 - 2005-02-12,+138%
2005-02-13 - 2005-02-19,+163%
2005-02-20 - 2005-02-26,+163%
2005-02-27 - 2005-03-05,+169%
2005-03-06 - 2005-03-12,+175%
2005-03-13 - 2005-03-19,+150%
2005-03-20 - 2005-03-26,+156%
2005-03-27 - 2005-04-02,+181%
2005-04-03 - 2005-04-09,+175%
2005-04-10 - 2005-04-16,+169%
2005-04-17 - 2005-04-23,+181%
2005-04-24 - 2005-04-30,+181%
2005-05-01 - 2005-05-07,+200%
2005-05-08 - 2005-05-14,+200%
2005-05-15 - 2005-05-21,+194%
2005-05-22 - 2005-05-28,+194%
2005-05-29 - 2005-06-04,+188%
2005-06-05 - 2005-06-11,+200%
2005-06-12 - 2005-06-18,+194%
2005-06-19 - 2005-06-25,+188%
2005-06-26 - 2005-07-02,+181%
2005-07-03 - 2005-07-09,+156%
2005-07-10 - 2005-07-16,+181%
2005-07-17 - 2005-07-23,+175%
2005-07-24 - 2005-07-30,+169%
2005-07-31 - 2005-08-06,+194%
2005-08-07 - 2005-08-13,+200%
2005-08-14 - 2005-08-20,+206%
2005-08-21 - 2005-08-27,+213%
2005-08-28 - 2005-09-03,+200%
2005-09-04 - 2005-09-10,+213%
2005-09-11 - 2005-09-17,+231%
2005-09-18 - 2005-09-24,+231%
2005-09-25 - 2005-10-01,+225%
2005-10-02 - 2005-10-08,+219%
2005-10-09 - 2005-10-15,+244%
2005-10-16 - 2005-10-22,+250%
2005-10-23 - 2005-10-29,+256%
2005-10-30 - 2005-11-05,+244%
2005-11-06 - 2005-11-12,+244%
2005-11-13 - 2005-11-19,+238%
2005-11-20 - 2005-11-26,+244%
2005-11-27 - 2005-12-03,+250%
2005-12-04 - 2005-12-10,+263%
2005-12-11 - 2005-12-17,+269%
2005-12-18 - 2005-12-24,+256%
2005-12-25 - 2005-12-31,+281%
2006-01-01 - 2006-01-07,+269%
2006-01-08 - 2006-01-14,+256%
2006-01-15 - 2006-01-21,+250%
2006-01-22 - 2006-01-28,+256%
2006-01-29 - 2006-02-04,+263%
2006-02-05 - 2006-02-11,+256%
2006-02-12 - 2006-02-18,+288%
2006-02-19 - 2006-02-25,+306%
2006-02-26 - 2006-03-04,+300%
2006-03-05 - 2006-03-11,+300%
2006-03-12 - 2006-03-18,+306%
2006-03-19 - 2006-03-25,+288%
2006-03-26 - 2006-04-01,+300%
2006-04-02 - 2006-04-08,+281%
2006-04-09 - 2006-04-15,+288%
2006-04-16 - 2006-04-22,+300%
2006-04-23 - 2006-04-29,+294%
2006-04-30 - 2006-05-06,+313%
2006-05-07 - 2006-05-13,+313%
2006-05-14 - 2006-05-20,+294%
2006-05-21 - 2006-05-27,+294%
2006-05-28 - 2006-06-03,+288%
2006-06-04 - 2006-06-10,+306%
2006-06-11 - 2006-06-17,+275%
2006-06-18 - 2006-06-24,+275%
2006-06-25 - 2006-07-01,+269%
2006-07-02 - 2006-07-08,+244%
2006-07-09 - 2006-07-15,+256%
2006-07-16 - 2006-07-22,+281%
2006-07-23 - 2006-07-29,+263%
2006-07-30 - 2006-08-05,+275%
2006-08-06 - 2006-08-12,+300%
2006-08-13 - 2006-08-19,+413%
2006-08-20 - 2006-08-26,+369%
2006-08-27 - 2006-09-02,+350%
2006-09-03 - 2006-09-09,+344%
2006-09-10 - 2006-09-16,+344%
2006-09-17 - 2006-09-23,+356%
2006-09-24 - 2006-09-30,+363%
2006-10-01 - 2006-10-07,+350%
2006-10-08 - 2006-10-14,+363%
2006-10-15 - 2006-10-21,+375%
2006-10-22 - 2006-10-28,+344%
2006-10-29 - 2006-11-04,+388%
2006-11-05 - 2006-11-11,+388%
2006-11-12 - 2006-11-18,+419%
2006-11-19 - 2006-11-25,+400%
2006-11-26 - 2006-12-02,+419%
2006-12-03 - 2006-12-09,+444%
2006-12-10 - 2006-12-16,+444%
2006-12-17 - 2006-12-23,+406%
2006-12-24 - 2006-12-30,+494%
2006-12-31 - 2007-01-06,+413%
2007-01-07 - 2007-01-13,+413%
2007-01-14 - 2007-01-20,+444%
2007-01-21 - 2007-01-27,+419%
2007-01-28 - 2007-02-03,+413%
2007-02-04 - 2007-02-10,+431%
2007-02-11 - 2007-02-17,+406%
2007-02-18 - 2007-02-24,+413%
2007-02-25 - 2007-03-03,+431%
2007-03-04 - 2007-03-10,+438%
2007-03-11 - 2007-03-17,+431%
2007-03-18 - 2007-03-24,+413%
2007-03-25 - 2007-03-31,+456%
2007-04-01 - 2007-04-07,+431%
2007-04-08 - 2007-04-14,+469%
2007-04-15 - 2007-04-21,+463%
2007-04-22 - 2007-04-28,+431%
2007-04-29 - 2007-05-05,+419%
2007-05-06 - 2007-05-12,+438%
2007-05-13 - 2007-05-19,+450%
2007-05-20 - 2007-05-26,+425%
2007-05-27 - 2007-06-02,+431%
2007-06-03 - 2007-06-09,+444%
2007-06-10 - 2007-06-16,+406%
2007-06-17 - 2007-06-23,+419%
2007-06-24 - 2007-06-30,+406%
2007-07-01 - 2007-07-07,+388%
2007-07-08 - 2007-07-14,+388%
2007-07-15 - 2007-07-21,+394%
2007-07-22 - 2007-07-28,+375%
2007-07-29 - 2007-08-04,+363%
2007-08-05 - 2007-08-11,+356%
2007-08-12 - 2007-08-18,+375%
2007-08-19 - 2007-08-25,+375%
2007-08-26 - 2007-09-01,+394%
2007-09-02 - 2007-09-08,+369%
2007-09-09 - 2007-09-15,+394%
2007-09-16 - 2007-09-22,+388%
2007-09-23 - 2007-09-29,+400%
2007-09-30 - 2007-10-06,+388%
2007-10-07 - 2007-10-13,+394%
2007-10-14 - 2007-10-20,+381%
2007-10-21 - 2007-10-27,+375%
2007-10-28 - 2007-11-03,+450%
2007-11-04 - 2007-11-10,+450%
2007-11-11 - 2007-11-17,+481%
2007-11-18 - 2007-11-24,+519%
2007-11-25 - 2007-12-01,+513%
2007-12-02 - 2007-12-08,+525%
2007-12-09 - 2007-12-15,+519%
2007-12-16 - 2007-12-22,+481%
2007-12-23 - 2007-12-29,+513%
2007-12-30 - 2008-01-05,+481%
2008-01-06 - 2008-01-12,+438%
2008-01-13 - 2008-01-19,+456%
2008-01-20 - 2008-01-26,+444%
2008-01-27 - 2008-02-02,+463%
2008-02-03 - 2008-02-09,+463%
2008-02-10 - 2008-02-16,+438%
2008-02-17 - 2008-02-23,+463%
2008-02-24 - 2008-03-01,+456%
2008-03-02 - 2008-03-08,+438%
2008-03-09 - 2008-03-15,+450%
2008-03-16 - 2008-03-22,+450%
2008-03-23 - 2008-03-29,+475%
2008-03-30 - 2008-04-05,+450%
2008-04-06 - 2008-04-12,+450%
2008-04-13 - 2008-04-19,+488%
2008-04-20 - 2008-04-26,+450%
2008-04-27 - 2008-05-03,+456%
2008-05-04 - 2008-05-10,+444%
2008-05-11 - 2008-05-17,+431%
2008-05-18 - 2008-05-24,+438%
2008-05-25 - 2008-05-31,+406%
2008-06-01 - 2008-06-07,+406%
2008-06-08 - 2008-06-14,+394%
2008-06-15 - 2008-06-21,+375%
2008-06-22 - 2008-06-28,+363%
2008-06-29 - 2008-07-05,+338%
2008-07-06 - 2008-07-12,+338%
2008-07-13 - 2008-07-19,+363%
2008-07-20 - 2008-07-26,+344%
2008-07-27 - 2008-08-02,+331%
2008-08-03 - 2008-08-09,+338%
2008-08-10 - 2008-08-16,+338%
2008-08-17 - 2008-08-23,+338%
2008-08-24 - 2008-08-30,+350%
2008-08-31 - 2008-09-06,+325%
2008-09-07 - 2008-09-13,+338%
2008-09-14 - 2008-09-20,+350%
2008-09-21 - 2008-09-27,+325%
2008-09-28 - 2008-10-04,+331%
2008-10-05 - 2008-10-11,+338%
2008-10-12 - 2008-10-18,+344%
2008-10-19 - 2008-10-25,+338%
2008-10-26 - 2008-11-01,+331%
2008-11-02 - 2008-11-08,+331%
2008-11-09 - 2008-11-15,+381%
2008-11-16 - 2008-11-22,+363%
2008-11-23 - 2008-11-29,+350%
2008-11-30 - 2008-12-06,+350%
2008-12-07 - 2008-12-13,+356%
2008-12-14 - 2008-12-20,+319%
2008-12-21 - 2008-12-27,+331%
2008-12-28 - 2009-01-03,+344%
2009-01-04 - 2009-01-10,+275%
2009-01-11 - 2009-01-17,+294%
2009-01-18 - 2009-01-24,+275%
2009-01-25 - 2009-01-31,+281%
2009-02-01 - 2009-02-07,+281%
2009-02-08 - 2009-02-14,+294%
2009-02-15 - 2009-02-21,+294%
2009-02-22 - 2009-02-28,+300%
2009-03-01 - 2009-03-07,+281%
2009-03-08 - 2009-03-14,+275%
2009-03-15 - 2009-03-21,+275%
2009-03-22 - 2009-03-28,+269%
2009-03-29 - 2009-04-04,+256%
2009-04-05 - 2009-04-11,+256%
2009-04-12 - 2009-04-18,+263%
2009-04-19 - 2009-04-25,+250%
2009-04-26 - 2009-05-02,+250%
2009-05-03 - 2009-05-09,+244%
2009-05-10 - 2009-05-16,+256%
2009-05-17 - 2009-05-23,+244%
2009-05-24 - 2009-05-30,+225%
2009-05-31 - 2009-06-06,+231%
2009-06-07 - 2009-06-13,+231%
2009-06-14 - 2009-06-20,+219%
2009-06-21 - 2009-06-27,+206%
2009-06-28 - 2009-07-04,+194%
2009-07-05 - 2009-07-11,+188%
2009-07-12 - 2009-07-18,+206%
2009-07-19 - 2009-07-25,+188%
2009-07-26 - 2009-08-01,+194%
2009-08-02 - 2009-08-08,+194%
2009-08-09 - 2009-08-15,+194%
2009-08-16 - 2009-08-22,+181%
2009-08-23 - 2009-08-29,+181%
2009-08-30 - 2009-09-05,+175%
2009-09-06 - 2009-09-12,+188%
2009-09-13 - 2009-09-19,+188%
2009-09-20 - 2009-09-26,+181%
2009-09-27 - 2009-10-03,+150%
2009-10-04 - 2009-10-10,+150%
2009-10-11 - 2009-10-17,+169%
2009-10-18 - 2009-10-24,+169%
2009-10-25 - 2009-10-31,+169%
