Web Search Interest
Italy; 2004 - present

Interest over time
Week,Auctions
2004-01-04 - 2004-01-10,+0%
2004-01-11 - 2004-01-17,+0%
2004-01-18 - 2004-01-24,+0%
2004-01-25 - 2004-01-31,+13%
2004-02-01 - 2004-02-07,-7%
2004-02-08 - 2004-02-14,+0%
2004-02-15 - 2004-02-21,+7%
2004-02-22 - 2004-02-28,+0%
2004-02-29 - 2004-03-06,+0%
2004-03-07 - 2004-03-13,+20%
2004-03-14 - 2004-03-20,+7%
2004-03-21 - 2004-03-27,+7%
2004-03-28 - 2004-04-03,+13%
2004-04-04 - 2004-04-10,+13%
2004-04-11 - 2004-04-17,+13%
2004-04-18 - 2004-04-24,+20%
2004-04-25 - 2004-05-01,+27%
2004-05-02 - 2004-05-08,+13%
2004-05-09 - 2004-05-15,+20%
2004-05-16 - 2004-05-22,+27%
2004-05-23 - 2004-05-29,+27%
2004-05-30 - 2004-06-05,+33%
2004-06-06 - 2004-06-12,+20%
2004-06-13 - 2004-06-19,+13%
2004-06-20 - 2004-06-26,+33%
2004-06-27 - 2004-07-03,+27%
2004-07-04 - 2004-07-10,+20%
2004-07-11 - 2004-07-17,+33%
2004-07-18 - 2004-07-24,+33%
2004-07-25 - 2004-07-31,+33%
2004-08-01 - 2004-08-07,+40%
2004-08-08 - 2004-08-14,+40%
2004-08-15 - 2004-08-21,+80%
2004-08-22 - 2004-08-28,+53%
2004-08-29 - 2004-09-04,+60%
2004-09-05 - 2004-09-11,+60%
2004-09-12 - 2004-09-18,+47%
2004-09-19 - 2004-09-25,+67%
2004-09-26 - 2004-10-02,+73%
2004-10-03 - 2004-10-09,+87%
2004-10-10 - 2004-10-16,+87%
2004-10-17 - 2004-10-23,+100%
2004-10-24 - 2004-10-30,+87%
2004-10-31 - 2004-11-06,+93%
2004-11-07 - 2004-11-13,+93%
2004-11-14 - 2004-11-20,+113%
2004-11-21 - 2004-11-27,+100%
2004-11-28 - 2004-12-04,+127%
2004-12-05 - 2004-12-11,+133%
2004-12-12 - 2004-12-18,+127%
2004-12-19 - 2004-12-25,+140%
2004-12-26 - 2005-01-01,+133%
2005-01-02 - 2005-01-08,+153%
2005-01-09 - 2005-01-15,+133%
2005-01-16 - 2005-01-22,+153%
2005-01-23 - 2005-01-29,+140%
2005-01-30 - 2005-02-05,+153%
2005-02-06 - 2005-02-12,+160%
2005-02-13 - 2005-02-19,+167%
2005-02-20 - 2005-02-26,+173%
2005-02-27 - 2005-03-05,+187%
2005-03-06 - 2005-03-12,+187%
2005-03-13 - 2005-03-19,+187%
2005-03-20 - 2005-03-26,+173%
2005-03-27 - 2005-04-02,+207%
2005-04-03 - 2005-04-09,+193%
2005-04-10 - 2005-04-16,+187%
2005-04-17 - 2005-04-23,+193%
2005-04-24 - 2005-04-30,+227%
2005-05-01 - 2005-05-07,+200%
2005-05-08 - 2005-05-14,+220%
2005-05-15 - 2005-05-21,+213%
2005-05-22 - 2005-05-28,+207%
2005-05-29 - 2005-06-04,+233%
2005-06-05 - 2005-06-11,+207%
2005-06-12 - 2005-06-18,+207%
2005-06-19 - 2005-06-25,+220%
2005-06-26 - 2005-07-02,+200%
2005-07-03 - 2005-07-09,+200%
2005-07-10 - 2005-07-16,+213%
2005-07-17 - 2005-07-23,+213%
2005-07-24 - 2005-07-30,+207%
2005-07-31 - 2005-08-06,+187%
2005-08-07 - 2005-08-13,+220%
2005-08-14 - 2005-08-20,+247%
2005-08-21 - 2005-08-27,+253%
2005-08-28 - 2005-09-03,+240%
2005-09-04 - 2005-09-10,+233%
2005-09-11 - 2005-09-17,+227%
2005-09-18 - 2005-09-24,+253%
2005-09-25 - 2005-10-01,+247%
2005-10-02 - 2005-10-08,+260%
2005-10-09 - 2005-10-15,+253%
2005-10-16 - 2005-10-22,+267%
2005-10-23 - 2005-10-29,+267%
2005-10-30 - 2005-11-05,+280%
2005-11-06 - 2005-11-12,+280%
2005-11-13 - 2005-11-19,+280%
2005-11-20 - 2005-11-26,+273%
2005-11-27 - 2005-12-03,+287%
2005-12-04 - 2005-12-10,+300%
2005-12-11 - 2005-12-17,+300%
2005-12-18 - 2005-12-24,+307%
2005-12-25 - 2005-12-31,+300%
2006-01-01 - 2006-01-07,+293%
2006-01-08 - 2006-01-14,+287%
2006-01-15 - 2006-01-21,+273%
2006-01-22 - 2006-01-28,+280%
2006-01-29 - 2006-02-04,+300%
2006-02-05 - 2006-02-11,+300%
2006-02-12 - 2006-02-18,+287%
2006-02-19 - 2006-02-25,+307%
2006-02-26 - 2006-03-04,+320%
2006-03-05 - 2006-03-11,+320%
2006-03-12 - 2006-03-18,+300%
2006-03-19 - 2006-03-25,+320%
2006-03-26 - 2006-04-01,+320%
2006-04-02 - 2006-04-08,+320%
2006-04-09 - 2006-04-15,+313%
2006-04-16 - 2006-04-22,+327%
2006-04-23 - 2006-04-29,+333%
2006-04-30 - 2006-05-06,+347%
2006-05-07 - 2006-05-13,+333%
2006-05-14 - 2006-05-20,+307%
2006-05-21 - 2006-05-27,+333%
2006-05-28 - 2006-06-03,+307%
2006-06-04 - 2006-06-10,+320%
2006-06-11 - 2006-06-17,+313%
2006-06-18 - 2006-06-24,+293%
2006-06-25 - 2006-07-01,+333%
2006-07-02 - 2006-07-08,+327%
2006-07-09 - 2006-07-15,+307%
2006-07-16 - 2006-07-22,+347%
2006-07-23 - 2006-07-29,+340%
2006-07-30 - 2006-08-05,+340%
2006-08-06 - 2006-08-12,+387%
2006-08-13 - 2006-08-19,+413%
2006-08-20 - 2006-08-26,+407%
2006-08-27 - 2006-09-02,+367%
2006-09-03 - 2006-09-09,+360%
2006-09-10 - 2006-09-16,+360%
2006-09-17 - 2006-09-23,+387%
2006-09-24 - 2006-09-30,+413%
2006-10-01 - 2006-10-07,+407%
2006-10-08 - 2006-10-14,+433%
2006-10-15 - 2006-10-21,+480%
2006-10-22 - 2006-10-28,+420%
2006-10-29 - 2006-11-04,+487%
2006-11-05 - 2006-11-11,+460%
2006-11-12 - 2006-11-18,+460%
2006-11-19 - 2006-11-25,+480%
2006-11-26 - 2006-12-02,+467%
2006-12-03 - 2006-12-09,+520%
2006-12-10 - 2006-12-16,+487%
2006-12-17 - 2006-12-23,+453%
2006-12-24 - 2006-12-30,+480%
2006-12-31 - 2007-01-06,+467%
2007-01-07 - 2007-01-13,+440%
2007-01-14 - 2007-01-20,+453%
2007-01-21 - 2007-01-27,+440%
2007-01-28 - 2007-02-03,+473%
2007-02-04 - 2007-02-10,+453%
2007-02-11 - 2007-02-17,+460%
2007-02-18 - 2007-02-24,+453%
2007-02-25 - 2007-03-03,+453%
2007-03-04 - 2007-03-10,+453%
2007-03-11 - 2007-03-17,+460%
2007-03-18 - 2007-03-24,+453%
2007-03-25 - 2007-03-31,+500%
2007-04-01 - 2007-04-07,+507%
2007-04-08 - 2007-04-14,+527%
2007-04-15 - 2007-04-21,+473%
2007-04-22 - 2007-04-28,+480%
2007-04-29 - 2007-05-05,+500%
2007-05-06 - 2007-05-12,+480%
2007-05-13 - 2007-05-19,+487%
2007-05-20 - 2007-05-26,+467%
2007-05-27 - 2007-06-02,+433%
2007-06-03 - 2007-06-09,+453%
2007-06-10 - 2007-06-16,+447%
2007-06-17 - 2007-06-23,+427%
2007-06-24 - 2007-06-30,+433%
2007-07-01 - 2007-07-07,+427%
2007-07-08 - 2007-07-14,+447%
2007-07-15 - 2007-07-21,+440%
2007-07-22 - 2007-07-28,+420%
2007-07-29 - 2007-08-04,+407%
2007-08-05 - 2007-08-11,+407%
2007-08-12 - 2007-08-18,+473%
2007-08-19 - 2007-08-25,+433%
2007-08-26 - 2007-09-01,+427%
2007-09-02 - 2007-09-08,+393%
2007-09-09 - 2007-09-15,+447%
2007-09-16 - 2007-09-22,+413%
2007-09-23 - 2007-09-29,+427%
2007-09-30 - 2007-10-06,+413%
2007-10-07 - 2007-10-13,+440%
2007-10-14 - 2007-10-20,+440%
2007-10-21 - 2007-10-27,+433%
2007-10-28 - 2007-11-03,+473%
2007-11-04 - 2007-11-10,+467%
2007-11-11 - 2007-11-17,+493%
2007-11-18 - 2007-11-24,+527%
2007-11-25 - 2007-12-01,+547%
2007-12-02 - 2007-12-08,+560%
2007-12-09 - 2007-12-15,+567%
2007-12-16 - 2007-12-22,+540%
2007-12-23 - 2007-12-29,+567%
2007-12-30 - 2008-01-05,+560%
2008-01-06 - 2008-01-12,+513%
2008-01-13 - 2008-01-19,+507%
2008-01-20 - 2008-01-26,+493%
2008-01-27 - 2008-02-02,+493%
2008-02-03 - 2008-02-09,+520%
2008-02-10 - 2008-02-16,+500%
2008-02-17 - 2008-02-23,+520%
2008-02-24 - 2008-03-01,+493%
2008-03-02 - 2008-03-08,+500%
2008-03-09 - 2008-03-15,+493%
2008-03-16 - 2008-03-22,+493%
2008-03-23 - 2008-03-29,+500%
2008-03-30 - 2008-04-05,+473%
2008-04-06 - 2008-04-12,+480%
2008-04-13 - 2008-04-19,+453%
2008-04-20 - 2008-04-26,+453%
2008-04-27 - 2008-05-03,+480%
2008-05-04 - 2008-05-10,+460%
2008-05-11 - 2008-05-17,+467%
2008-05-18 - 2008-05-24,+460%
2008-05-25 - 2008-05-31,+427%
2008-06-01 - 2008-06-07,+453%
2008-06-08 - 2008-06-14,+427%
2008-06-15 - 2008-06-21,+413%
2008-06-22 - 2008-06-28,+413%
2008-06-29 - 2008-07-05,+400%
2008-07-06 - 2008-07-12,+407%
2008-07-13 - 2008-07-19,+407%
2008-07-20 - 2008-07-26,+427%
2008-07-27 - 2008-08-02,+407%
2008-08-03 - 2008-08-09,+407%
2008-08-10 - 2008-08-16,+407%
2008-08-17 - 2008-08-23,+440%
2008-08-24 - 2008-08-30,+427%
2008-08-31 - 2008-09-06,+407%
2008-09-07 - 2008-09-13,+413%
2008-09-14 - 2008-09-20,+420%
2008-09-21 - 2008-09-27,+420%
2008-09-28 - 2008-10-04,+420%
2008-10-05 - 2008-10-11,+413%
2008-10-12 - 2008-10-18,+413%
2008-10-19 - 2008-10-25,+400%
2008-10-26 - 2008-11-01,+400%
2008-11-02 - 2008-11-08,+407%
2008-11-09 - 2008-11-15,+413%
2008-11-16 - 2008-11-22,+413%
2008-11-23 - 2008-11-29,+413%
2008-11-30 - 2008-12-06,+413%
2008-12-07 - 2008-12-13,+433%
2008-12-14 - 2008-12-20,+433%
2008-12-21 - 2008-12-27,+407%
2008-12-28 - 2009-01-03,+413%
2009-01-04 - 2009-01-10,+380%
2009-01-11 - 2009-01-17,+380%
2009-01-18 - 2009-01-24,+353%
2009-01-25 - 2009-01-31,+360%
2009-02-01 - 2009-02-07,+340%
2009-02-08 - 2009-02-14,+347%
2009-02-15 - 2009-02-21,+333%
2009-02-22 - 2009-02-28,+333%
2009-03-01 - 2009-03-07,+340%
2009-03-08 - 2009-03-14,+340%
2009-03-15 - 2009-03-21,+340%
2009-03-22 - 2009-03-28,+327%
2009-03-29 - 2009-04-04,+320%
2009-04-05 - 2009-04-11,+293%
2009-04-12 - 2009-04-18,+320%
2009-04-19 - 2009-04-25,+293%
2009-04-26 - 2009-05-02,+307%
2009-05-03 - 2009-05-09,+300%
2009-05-10 - 2009-05-16,+280%
2009-05-17 - 2009-05-23,+273%
2009-05-24 - 2009-05-30,+260%
2009-05-31 - 2009-06-06,+267%
2009-06-07 - 2009-06-13,+247%
2009-06-14 - 2009-06-20,+260%
2009-06-21 - 2009-06-27,+253%
2009-06-28 - 2009-07-04,+260%
2009-07-05 - 2009-07-11,+253%
2009-07-12 - 2009-07-18,+260%
2009-07-19 - 2009-07-25,+267%
2009-07-26 - 2009-08-01,+253%
2009-08-02 - 2009-08-08,+260%
2009-08-09 - 2009-08-15,+287%
2009-08-16 - 2009-08-22,+260%
2009-08-23 - 2009-08-29,+267%
2009-08-30 - 2009-09-05,+253%
2009-09-06 - 2009-09-12,+273%
2009-09-13 - 2009-09-19,+253%
2009-09-20 - 2009-09-26,+247%
2009-09-27 - 2009-10-03,+227%
2009-10-04 - 2009-10-10,+220%
2009-10-11 - 2009-10-17,+240%
2009-10-18 - 2009-10-24,+227%
2009-10-25 - 2009-10-31,+227%
