Web Search Interest
Italy; 2004 - present

Interest over time
Week,Consumer Electronics
2004-01-04 - 2004-01-10,+0%
2004-01-11 - 2004-01-17,-14%
2004-01-18 - 2004-01-24,-16%
2004-01-25 - 2004-01-31,-17%
2004-02-01 - 2004-02-07,-21%
2004-02-08 - 2004-02-14,-21%
2004-02-15 - 2004-02-21,-24%
2004-02-22 - 2004-02-28,-22%
2004-02-29 - 2004-03-06,-20%
2004-03-07 - 2004-03-13,-19%
2004-03-14 - 2004-03-20,-22%
2004-03-21 - 2004-03-27,-16%
2004-03-28 - 2004-04-03,-24%
2004-04-04 - 2004-04-10,-25%
2004-04-11 - 2004-04-17,-21%
2004-04-18 - 2004-04-24,-25%
2004-04-25 - 2004-05-01,-26%
2004-05-02 - 2004-05-08,-25%
2004-05-09 - 2004-05-15,-26%
2004-05-16 - 2004-05-22,-28%
2004-05-23 - 2004-05-29,-29%
2004-05-30 - 2004-06-05,-26%
2004-06-06 - 2004-06-12,-27%
2004-06-13 - 2004-06-19,-29%
2004-06-20 - 2004-06-26,-29%
2004-06-27 - 2004-07-03,-29%
2004-07-04 - 2004-07-10,-29%
2004-07-11 - 2004-07-17,-27%
2004-07-18 - 2004-07-24,-27%
2004-07-25 - 2004-07-31,-28%
2004-08-01 - 2004-08-07,-25%
2004-08-08 - 2004-08-14,-19%
2004-08-15 - 2004-08-21,-16%
2004-08-22 - 2004-08-28,-17%
2004-08-29 - 2004-09-04,-21%
2004-09-05 - 2004-09-11,-22%
2004-09-12 - 2004-09-18,-22%
2004-09-19 - 2004-09-25,-25%
2004-09-26 - 2004-10-02,-23%
2004-10-03 - 2004-10-09,-22%
2004-10-10 - 2004-10-16,-21%
2004-10-17 - 2004-10-23,-26%
2004-10-24 - 2004-10-30,-24%
2004-10-31 - 2004-11-06,-21%
2004-11-07 - 2004-11-13,-22%
2004-11-14 - 2004-11-20,-23%
2004-11-21 - 2004-11-27,-21%
2004-11-28 - 2004-12-04,-15%
2004-12-05 - 2004-12-11,-6%
2004-12-12 - 2004-12-18,-9%
2004-12-19 - 2004-12-25,-6%
2004-12-26 - 2005-01-01,-6%
2005-01-02 - 2005-01-08,-8%
2005-01-09 - 2005-01-15,-20%
2005-01-16 - 2005-01-22,-23%
2005-01-23 - 2005-01-29,-25%
2005-01-30 - 2005-02-05,-25%
2005-02-06 - 2005-02-12,-28%
2005-02-13 - 2005-02-19,-31%
2005-02-20 - 2005-02-26,-30%
2005-02-27 - 2005-03-05,-29%
2005-03-06 - 2005-03-12,-28%
2005-03-13 - 2005-03-19,-28%
2005-03-20 - 2005-03-26,-31%
2005-03-27 - 2005-04-02,-28%
2005-04-03 - 2005-04-09,-31%
2005-04-10 - 2005-04-16,-32%
2005-04-17 - 2005-04-23,-32%
2005-04-24 - 2005-04-30,-29%
2005-05-01 - 2005-05-07,-33%
2005-05-08 - 2005-05-14,-32%
2005-05-15 - 2005-05-21,-29%
2005-05-22 - 2005-05-28,-33%
2005-05-29 - 2005-06-04,-34%
2005-06-05 - 2005-06-11,-34%
2005-06-12 - 2005-06-18,-33%
2005-06-19 - 2005-06-25,-35%
2005-06-26 - 2005-07-02,-36%
2005-07-03 - 2005-07-09,-33%
2005-07-10 - 2005-07-16,-33%
2005-07-17 - 2005-07-23,-33%
2005-07-24 - 2005-07-30,-33%
2005-07-31 - 2005-08-06,-33%
2005-08-07 - 2005-08-13,-25%
2005-08-14 - 2005-08-20,-16%
2005-08-21 - 2005-08-27,-19%
2005-08-28 - 2005-09-03,-24%
2005-09-04 - 2005-09-10,-27%
2005-09-11 - 2005-09-17,-30%
2005-09-18 - 2005-09-24,-31%
2005-09-25 - 2005-10-01,-32%
2005-10-02 - 2005-10-08,-29%
2005-10-09 - 2005-10-15,-29%
2005-10-16 - 2005-10-22,-32%
2005-10-23 - 2005-10-29,-32%
2005-10-30 - 2005-11-05,-27%
2005-11-06 - 2005-11-12,-30%
2005-11-13 - 2005-11-19,-32%
2005-11-20 - 2005-11-26,-28%
2005-11-27 - 2005-12-03,-22%
2005-12-04 - 2005-12-10,-11%
2005-12-11 - 2005-12-17,-15%
2005-12-18 - 2005-12-24,-14%
2005-12-25 - 2005-12-31,-10%
2006-01-01 - 2006-01-07,-20%
2006-01-08 - 2006-01-14,-29%
2006-01-15 - 2006-01-21,-33%
2006-01-22 - 2006-01-28,-38%
2006-01-29 - 2006-02-04,-35%
2006-02-05 - 2006-02-11,-38%
2006-02-12 - 2006-02-18,-40%
2006-02-19 - 2006-02-25,-39%
2006-02-26 - 2006-03-04,-40%
2006-03-05 - 2006-03-11,-39%
2006-03-12 - 2006-03-18,-39%
2006-03-19 - 2006-03-25,-40%
2006-03-26 - 2006-04-01,-40%
2006-04-02 - 2006-04-08,-41%
2006-04-09 - 2006-04-15,-42%
