Web Search Interest
Portugal; 2004 - present

Interest over time
Week,Photo & Video Services
2004-01-04 - 2004-01-10,+0%
2004-01-11 - 2004-01-17,-23%
2004-01-18 - 2004-01-24,+20%
2004-01-25 - 2004-01-31,-46%
2004-02-01 - 2004-02-07,-25%
2004-02-08 - 2004-02-14,-2%
2004-02-15 - 2004-02-21,-41%
2004-02-22 - 2004-02-28,-46%
2004-02-29 - 2004-03-06,-35%
2004-03-07 - 2004-03-13,-27%
2004-03-14 - 2004-03-20,-20%
2004-03-21 - 2004-03-27,-28%
2004-03-28 - 2004-04-03,-47%
2004-04-04 - 2004-04-10,-55%
2004-04-11 - 2004-04-17,-47%
2004-04-18 - 2004-04-24,-48%
2004-04-25 - 2004-05-01,-35%
2004-05-02 - 2004-05-08,-59%
2004-05-09 - 2004-05-15,-36%
2004-05-16 - 2004-05-22,-16%
2004-05-23 - 2004-05-29,-14%
2004-05-30 - 2004-06-05,-48%
2004-06-06 - 2004-06-12,-43%
2004-06-13 - 2004-06-19,-34%
2004-06-20 - 2004-06-26,-37%
2004-06-27 - 2004-07-03,-23%
2004-07-04 - 2004-07-10,-28%
2004-07-11 - 2004-07-17,-59%
2004-07-18 - 2004-07-24,-39%
2004-07-25 - 2004-07-31,-42%
2004-08-01 - 2004-08-07,-58%
2004-08-08 - 2004-08-14,-45%
2004-08-15 - 2004-08-21,-57%
2004-08-22 - 2004-08-28,-16%
2004-08-29 - 2004-09-04,-12%
2004-09-05 - 2004-09-11,-7%
2004-09-12 - 2004-09-18,-25%
2004-09-19 - 2004-09-25,-52%
2004-09-26 - 2004-10-02,-47%
2004-10-03 - 2004-10-09,-34%
2004-10-10 - 2004-10-16,-40%
2004-10-17 - 2004-10-23,-51%
2004-10-24 - 2004-10-30,-37%
2004-10-31 - 2004-11-06,-18%
2004-11-07 - 2004-11-13,-47%
2004-11-14 - 2004-11-20,-25%
2004-11-21 - 2004-11-27,-36%
2004-11-28 - 2004-12-04,-20%
2004-12-05 - 2004-12-11,-33%
2004-12-12 - 2004-12-18,-31%
