Web Search Interest
Germany; 2004 - present

Interest over time
Week,Winter Sports
2004-01-04 - 2004-01-10,+0%
2004-01-11 - 2004-01-17,-24%
2004-01-18 - 2004-01-24,-18%
2004-01-25 - 2004-01-31,-15%
2004-02-01 - 2004-02-07,-31%
2004-02-08 - 2004-02-14,-25%
2004-02-15 - 2004-02-21,-36%
2004-02-22 - 2004-02-28,-39%
2004-02-29 - 2004-03-06,-45%
2004-03-07 - 2004-03-13,-54%
2004-03-14 - 2004-03-20,-61%
2004-03-21 - 2004-03-27,-58%
2004-03-28 - 2004-04-03,-67%
2004-04-04 - 2004-04-10,-70%
2004-04-11 - 2004-04-17,-73%
2004-04-18 - 2004-04-24,-74%
2004-04-25 - 2004-05-01,-75%
2004-05-02 - 2004-05-08,-77%
2004-05-09 - 2004-05-15,-76%
2004-05-16 - 2004-05-22,-76%
2004-05-23 - 2004-05-29,-77%
2004-05-30 - 2004-06-05,-76%
2004-06-06 - 2004-06-12,-76%
2004-06-13 - 2004-06-19,-77%
2004-06-20 - 2004-06-26,-77%
2004-06-27 - 2004-07-03,-75%
2004-07-04 - 2004-07-10,-76%
2004-07-11 - 2004-07-17,-73%
2004-07-18 - 2004-07-24,-74%
2004-07-25 - 2004-07-31,-74%
2004-08-01 - 2004-08-07,-73%
2004-08-08 - 2004-08-14,-72%
2004-08-15 - 2004-08-21,-73%
2004-08-22 - 2004-08-28,-70%
2004-08-29 - 2004-09-04,-69%
2004-09-05 - 2004-09-11,-69%
2004-09-12 - 2004-09-18,-67%
2004-09-19 - 2004-09-25,-67%
2004-09-26 - 2004-10-02,-64%
2004-10-03 - 2004-10-09,-63%
2004-10-10 - 2004-10-16,-60%
2004-10-17 - 2004-10-23,-56%
2004-10-24 - 2004-10-30,-57%
2004-10-31 - 2004-11-06,-55%
2004-11-07 - 2004-11-13,-47%
2004-11-14 - 2004-11-20,-45%
2004-11-21 - 2004-11-27,-42%
2004-11-28 - 2004-12-04,-42%
2004-12-05 - 2004-12-11,-39%
2004-12-12 - 2004-12-18,-37%
2004-12-19 - 2004-12-25,-24%
2004-12-26 - 2005-01-01,-8%
2005-01-02 - 2005-01-08,-11%
2005-01-09 - 2005-01-15,-25%
2005-01-16 - 2005-01-22,-29%
2005-01-23 - 2005-01-29,-18%
2005-01-30 - 2005-02-05,-24%
2005-02-06 - 2005-02-12,-32%
2005-02-13 - 2005-02-19,-28%
2005-02-20 - 2005-02-26,-24%
2005-02-27 - 2005-03-05,-32%
2005-03-06 - 2005-03-12,-41%
2005-03-13 - 2005-03-19,-53%
2005-03-20 - 2005-03-26,-62%
2005-03-27 - 2005-04-02,-66%
2005-04-03 - 2005-04-09,-72%
2005-04-10 - 2005-04-16,-75%
2005-04-17 - 2005-04-23,-76%
2005-04-24 - 2005-04-30,-77%
2005-05-01 - 2005-05-07,-77%
2005-05-08 - 2005-05-14,-76%
2005-05-15 - 2005-05-21,-77%
2005-05-22 - 2005-05-28,-78%
2005-05-29 - 2005-06-04,-78%
2005-06-05 - 2005-06-11,-77%
2005-06-12 - 2005-06-18,-76%
2005-06-19 - 2005-06-25,-77%
2005-06-26 - 2005-07-02,-78%
2005-07-03 - 2005-07-09,-76%
2005-07-10 - 2005-07-16,-76%
2005-07-17 - 2005-07-23,-75%
2005-07-24 - 2005-07-30,-74%
2005-07-31 - 2005-08-06,-72%
2005-08-07 - 2005-08-13,-72%
2005-08-14 - 2005-08-20,-72%
2005-08-21 - 2005-08-27,-71%
2005-08-28 - 2005-09-03,-73%
2005-09-04 - 2005-09-10,-73%
2005-09-11 - 2005-09-17,-70%
2005-09-18 - 2005-09-24,-70%
2005-09-25 - 2005-10-01,-68%
2005-10-02 - 2005-10-08,-66%
2005-10-09 - 2005-10-15,-63%
2005-10-16 - 2005-10-22,-62%
2005-10-23 - 2005-10-29,-60%
2005-10-30 - 2005-11-05,-61%
2005-11-06 - 2005-11-12,-56%
2005-11-13 - 2005-11-19,-54%
2005-11-20 - 2005-11-26,-40%
2005-11-27 - 2005-12-03,-36%
2005-12-04 - 2005-12-10,-41%
2005-12-11 - 2005-12-17,-39%
2005-12-18 - 2005-12-24,-32%
2005-12-25 - 2005-12-31,+1%
2006-01-01 - 2006-01-07,-10%
2006-01-08 - 2006-01-14,-21%
2006-01-15 - 2006-01-21,-26%
2006-01-22 - 2006-01-28,-30%
2006-01-29 - 2006-02-04,-35%
