Web Search Interest
Hong Kong; 2004 - present

Interest over time
Week,Motor Sports
2004-01-04 - 2004-01-10,+0%
2004-01-11 - 2004-01-17,-32%
2004-01-18 - 2004-01-24,+88%
2004-01-25 - 2004-01-31,+68%
2004-02-01 - 2004-02-07,+60%
2004-02-08 - 2004-02-14,-8%
2004-02-15 - 2004-02-21,+20%
2004-02-22 - 2004-02-28,+56%
2004-02-29 - 2004-03-06,+64%
2004-03-07 - 2004-03-13,+92%
2004-03-14 - 2004-03-20,+64%
2004-03-21 - 2004-03-27,+64%
2004-03-28 - 2004-04-03,+64%
2004-04-04 - 2004-04-10,+60%
2004-04-11 - 2004-04-17,+16%
2004-04-18 - 2004-04-24,+60%
2004-04-25 - 2004-05-01,+64%
2004-05-02 - 2004-05-08,+32%
2004-05-09 - 2004-05-15,+60%
2004-05-16 - 2004-05-22,+52%
2004-05-23 - 2004-05-29,+64%
2004-05-30 - 2004-06-05,+68%
2004-06-06 - 2004-06-12,+56%
2004-06-13 - 2004-06-19,+128%
2004-06-20 - 2004-06-26,+52%
2004-06-27 - 2004-07-03,+28%
2004-07-04 - 2004-07-10,+108%
2004-07-11 - 2004-07-17,+48%
2004-07-18 - 2004-07-24,-8%
2004-07-25 - 2004-07-31,+44%
2004-08-01 - 2004-08-07,+52%
2004-08-08 - 2004-08-14,+56%
2004-08-15 - 2004-08-21,+80%
2004-08-22 - 2004-08-28,+36%
2004-08-29 - 2004-09-04,+100%
2004-09-05 - 2004-09-11,+60%
2004-09-12 - 2004-09-18,+48%
2004-09-19 - 2004-09-25,+168%
2004-09-26 - 2004-10-02,+128%
2004-10-03 - 2004-10-09,+16%
2004-10-10 - 2004-10-16,+20%
2004-10-17 - 2004-10-23,+48%
2004-10-24 - 2004-10-30,+8%
2004-10-31 - 2004-11-06,+16%
2004-11-07 - 2004-11-13,+72%
2004-11-14 - 2004-11-20,+60%
2004-11-21 - 2004-11-27,+56%
2004-11-28 - 2004-12-04,+4%
2004-12-05 - 2004-12-11,+16%
2004-12-12 - 2004-12-18,-8%
2004-12-19 - 2004-12-25,-28%
2004-12-26 - 2005-01-01,+20%
2005-01-02 - 2005-01-08,-4%
2005-01-09 - 2005-01-15,+24%
2005-01-16 - 2005-01-22,+4%
2005-01-23 - 2005-01-29,+24%
2005-01-30 - 2005-02-05,-4%
2005-02-06 - 2005-02-12,+68%
2005-02-13 - 2005-02-19,+4%
2005-02-20 - 2005-02-26,+16%
2005-02-27 - 2005-03-05,+80%
2005-03-06 - 2005-03-12,+72%
2005-03-13 - 2005-03-19,+36%
2005-03-20 - 2005-03-26,+76%
2005-03-27 - 2005-04-02,+4%
2005-04-03 - 2005-04-09,+40%
2005-04-10 - 2005-04-16,+96%
2005-04-17 - 2005-04-23,+28%
2005-04-24 - 2005-04-30,+124%
2005-05-01 - 2005-05-07,+92%
2005-05-08 - 2005-05-14,+64%
2005-05-15 - 2005-05-21,+76%
2005-05-22 - 2005-05-28,+132%
2005-05-29 - 2005-06-04,+80%
2005-06-05 - 2005-06-11,+92%
2005-06-12 - 2005-06-18,+140%
2005-06-19 - 2005-06-25,+280%
2005-06-26 - 2005-07-02,+300%
2005-07-03 - 2005-07-09,+244%
2005-07-10 - 2005-07-16,+144%
2005-07-17 - 2005-07-23,+84%
2005-07-24 - 2005-07-30,+116%
2005-07-31 - 2005-08-06,+148%
2005-08-07 - 2005-08-13,+56%
2005-08-14 - 2005-08-20,+112%
2005-08-21 - 2005-08-27,+112%
2005-08-28 - 2005-09-03,+100%
