Web Search Interest
Italy; 2004 - present

Interest over time
Week,Fantasy Sports
2004-01-04 - 2004-01-10,+0%
2004-01-11 - 2004-01-17,-20%
2004-01-18 - 2004-01-24,+0%
2004-01-25 - 2004-01-31,+7%
2004-02-01 - 2004-02-07,-7%
2004-02-08 - 2004-02-14,-7%
2004-02-15 - 2004-02-21,-27%
2004-02-22 - 2004-02-28,-7%
2004-02-29 - 2004-03-06,-27%
2004-03-07 - 2004-03-13,-20%
2004-03-14 - 2004-03-20,-27%
2004-03-21 - 2004-03-27,+0%
2004-03-28 - 2004-04-03,-33%
2004-04-04 - 2004-04-10,-40%
2004-04-11 - 2004-04-17,-40%
2004-04-18 - 2004-04-24,-27%
2004-04-25 - 2004-05-01,-33%
2004-05-02 - 2004-05-08,-40%
2004-05-09 - 2004-05-15,-20%
2004-05-16 - 2004-05-22,-47%
2004-05-23 - 2004-05-29,-40%
2004-05-30 - 2004-06-05,-47%
2004-06-06 - 2004-06-12,-27%
2004-06-13 - 2004-06-19,-40%
2004-06-20 - 2004-06-26,-40%
2004-06-27 - 2004-07-03,-47%
2004-07-04 - 2004-07-10,-40%
2004-07-11 - 2004-07-17,-27%
2004-07-18 - 2004-07-24,-53%
2004-07-25 - 2004-07-31,-33%
2004-08-01 - 2004-08-07,-33%
2004-08-08 - 2004-08-14,-33%
2004-08-15 - 2004-08-21,+67%
2004-08-22 - 2004-08-28,+100%
2004-08-29 - 2004-09-04,+200%
2004-09-05 - 2004-09-11,+267%
2004-09-12 - 2004-09-18,+173%
2004-09-19 - 2004-09-25,+173%
2004-09-26 - 2004-10-02,+87%
2004-10-03 - 2004-10-09,+53%
2004-10-10 - 2004-10-16,+27%
2004-10-17 - 2004-10-23,+47%
2004-10-24 - 2004-10-30,+107%
2004-10-31 - 2004-11-06,+67%
2004-11-07 - 2004-11-13,+153%
2004-11-14 - 2004-11-20,+80%
2004-11-21 - 2004-11-27,-13%
2004-11-28 - 2004-12-04,+47%
2004-12-05 - 2004-12-11,+20%
2004-12-12 - 2004-12-18,+20%
2004-12-19 - 2004-12-25,+13%
2004-12-26 - 2005-01-01,-33%
2005-01-02 - 2005-01-08,+13%
