Web Search Interest
Italy; 2004 - present

Interest over time
Week,Winter Sports
2004-01-04 - 2004-01-10,+0%
2004-01-11 - 2004-01-17,-14%
2004-01-18 - 2004-01-24,-14%
2004-01-25 - 2004-01-31,-19%
2004-02-01 - 2004-02-07,-29%
2004-02-08 - 2004-02-14,-27%
2004-02-15 - 2004-02-21,-25%
2004-02-22 - 2004-02-28,-37%
2004-02-29 - 2004-03-06,-40%
2004-03-07 - 2004-03-13,-33%
2004-03-14 - 2004-03-20,-47%
2004-03-21 - 2004-03-27,-56%
2004-03-28 - 2004-04-03,-64%
2004-04-04 - 2004-04-10,-68%
2004-04-11 - 2004-04-17,-71%
2004-04-18 - 2004-04-24,-73%
2004-04-25 - 2004-05-01,-75%
2004-05-02 - 2004-05-08,-79%
2004-05-09 - 2004-05-15,-82%
2004-05-16 - 2004-05-22,-81%
2004-05-23 - 2004-05-29,-79%
2004-05-30 - 2004-06-05,-78%
2004-06-06 - 2004-06-12,-79%
2004-06-13 - 2004-06-19,-79%
2004-06-20 - 2004-06-26,-77%
2004-06-27 - 2004-07-03,-75%
2004-07-04 - 2004-07-10,-75%
2004-07-11 - 2004-07-17,-75%
2004-07-18 - 2004-07-24,-71%
2004-07-25 - 2004-07-31,-70%
2004-08-01 - 2004-08-07,-67%
2004-08-08 - 2004-08-14,-67%
2004-08-15 - 2004-08-21,-64%
2004-08-22 - 2004-08-28,-67%
2004-08-29 - 2004-09-04,-68%
2004-09-05 - 2004-09-11,-68%
2004-09-12 - 2004-09-18,-71%
2004-09-19 - 2004-09-25,-71%
2004-09-26 - 2004-10-02,-70%
2004-10-03 - 2004-10-09,-70%
2004-10-10 - 2004-10-16,-62%
2004-10-17 - 2004-10-23,-60%
2004-10-24 - 2004-10-30,-59%
2004-10-31 - 2004-11-06,-58%
2004-11-07 - 2004-11-13,-41%
2004-11-14 - 2004-11-20,-41%
2004-11-21 - 2004-11-27,-34%
2004-11-28 - 2004-12-04,-4%
2004-12-05 - 2004-12-11,-8%
2004-12-12 - 2004-12-18,-15%
2004-12-19 - 2004-12-25,-4%
2004-12-26 - 2005-01-01,+37%
2005-01-02 - 2005-01-08,+18%
2005-01-09 - 2005-01-15,-4%
2005-01-16 - 2005-01-22,-4%
2005-01-23 - 2005-01-29,+1%
2005-01-30 - 2005-02-05,-12%
2005-02-06 - 2005-02-12,-12%
2005-02-13 - 2005-02-19,-27%
2005-02-20 - 2005-02-26,-19%
2005-02-27 - 2005-03-05,-26%
2005-03-06 - 2005-03-12,-36%
2005-03-13 - 2005-03-19,-49%
2005-03-20 - 2005-03-26,-53%
2005-03-27 - 2005-04-02,-64%
2005-04-03 - 2005-04-09,-74%
2005-04-10 - 2005-04-16,-73%
2005-04-17 - 2005-04-23,-74%
2005-04-24 - 2005-04-30,-78%
2005-05-01 - 2005-05-07,-79%
2005-05-08 - 2005-05-14,-81%
2005-05-15 - 2005-05-21,-79%
2005-05-22 - 2005-05-28,-79%
2005-05-29 - 2005-06-04,-79%
2005-06-05 - 2005-06-11,-79%
2005-06-12 - 2005-06-18,-81%
2005-06-19 - 2005-06-25,-77%
2005-06-26 - 2005-07-02,-75%
2005-07-03 - 2005-07-09,-74%
2005-07-10 - 2005-07-16,-73%
2005-07-17 - 2005-07-23,-73%
2005-07-24 - 2005-07-30,-73%
2005-07-31 - 2005-08-06,-68%
2005-08-07 - 2005-08-13,-64%
2005-08-14 - 2005-08-20,-66%
2005-08-21 - 2005-08-27,-68%
2005-08-28 - 2005-09-03,-71%
2005-09-04 - 2005-09-10,-71%
2005-09-11 - 2005-09-17,-71%
2005-09-18 - 2005-09-24,-71%
2005-09-25 - 2005-10-01,-70%
2005-10-02 - 2005-10-08,-66%
2005-10-09 - 2005-10-15,-67%
2005-10-16 - 2005-10-22,-63%
2005-10-23 - 2005-10-29,-59%
2005-10-30 - 2005-11-05,-56%
2005-11-06 - 2005-11-12,-53%
2005-11-13 - 2005-11-19,-45%
2005-11-20 - 2005-11-26,-22%
2005-11-27 - 2005-12-03,-5%
2005-12-04 - 2005-12-10,+0%
2005-12-11 - 2005-12-17,-11%
2005-12-18 - 2005-12-24,-12%
2005-12-25 - 2005-12-31,+18%
2006-01-01 - 2006-01-07,+11%
2006-01-08 - 2006-01-14,-8%
2006-01-15 - 2006-01-21,-12%
2006-01-22 - 2006-01-28,-10%
2006-01-29 - 2006-02-04,-16%
2006-02-05 - 2006-02-11,-23%
2006-02-12 - 2006-02-18,+1%
2006-02-19 - 2006-02-25,+14%
2006-02-26 - 2006-03-04,-15%
2006-03-05 - 2006-03-11,-32%
2006-03-12 - 2006-03-18,-44%
2006-03-19 - 2006-03-25,-44%
2006-03-26 - 2006-04-01,-58%
2006-04-02 - 2006-04-08,-67%
2006-04-09 - 2006-04-15,-70%
