Web Search Interest
Portugal; 2004 - present

Interest over time
Week,Sports News
2004-01-04 - 2004-01-10,+0%
2004-01-11 - 2004-01-17,+33%
2004-01-18 - 2004-01-24,+17%
2004-01-25 - 2004-01-31,+192%
2004-02-01 - 2004-02-07,+75%
2004-02-08 - 2004-02-14,+17%
2004-02-15 - 2004-02-21,+50%
2004-02-22 - 2004-02-28,+75%
2004-02-29 - 2004-03-06,+75%
2004-03-07 - 2004-03-13,+158%
2004-03-14 - 2004-03-20,+42%
2004-03-21 - 2004-03-27,+117%
2004-03-28 - 2004-04-03,+67%
2004-04-04 - 2004-04-10,+67%
2004-04-11 - 2004-04-17,+50%
2004-04-18 - 2004-04-24,+58%
2004-04-25 - 2004-05-01,+17%
2004-05-02 - 2004-05-08,+100%
2004-05-09 - 2004-05-15,+42%
2004-05-16 - 2004-05-22,+108%
2004-05-23 - 2004-05-29,+208%
2004-05-30 - 2004-06-05,+158%
2004-06-06 - 2004-06-12,+125%
2004-06-13 - 2004-06-19,+200%
2004-06-20 - 2004-06-26,+542%
2004-06-27 - 2004-07-03,+375%
2004-07-04 - 2004-07-10,+483%
2004-07-11 - 2004-07-17,+242%
2004-07-18 - 2004-07-24,+183%
2004-07-25 - 2004-07-31,+233%
2004-08-01 - 2004-08-07,+183%
2004-08-08 - 2004-08-14,+158%
2004-08-15 - 2004-08-21,+125%
2004-08-22 - 2004-08-28,+158%
2004-08-29 - 2004-09-04,+133%
2004-09-05 - 2004-09-11,+142%
2004-09-12 - 2004-09-18,+100%
2004-09-19 - 2004-09-25,+150%
2004-09-26 - 2004-10-02,+100%
2004-10-03 - 2004-10-09,+108%
2004-10-10 - 2004-10-16,+117%
2004-10-17 - 2004-10-23,+133%
2004-10-24 - 2004-10-30,+142%
2004-10-31 - 2004-11-06,+100%
2004-11-07 - 2004-11-13,+83%
2004-11-14 - 2004-11-20,+92%
2004-11-21 - 2004-11-27,+125%
2004-11-28 - 2004-12-04,+117%
2004-12-05 - 2004-12-11,+133%
2004-12-12 - 2004-12-18,+125%
2004-12-19 - 2004-12-25,+125%
2004-12-26 - 2005-01-01,+142%
2005-01-02 - 2005-01-08,+142%
2005-01-09 - 2005-01-15,+217%
2005-01-16 - 2005-01-22,+175%
2005-01-23 - 2005-01-29,+217%
2005-01-30 - 2005-02-05,+192%
2005-02-06 - 2005-02-12,+142%
2005-02-13 - 2005-02-19,+117%
2005-02-20 - 2005-02-26,+125%
2005-02-27 - 2005-03-05,+142%
2005-03-06 - 2005-03-12,+167%
2005-03-13 - 2005-03-19,+133%
2005-03-20 - 2005-03-26,+133%
2005-03-27 - 2005-04-02,+142%
2005-04-03 - 2005-04-09,+192%
2005-04-10 - 2005-04-16,+117%
2005-04-17 - 2005-04-23,+117%
2005-04-24 - 2005-04-30,+175%
2005-05-01 - 2005-05-07,+158%
2005-05-08 - 2005-05-14,+167%
2005-05-15 - 2005-05-21,+133%
2005-05-22 - 2005-05-28,+208%
2005-05-29 - 2005-06-04,+167%
2005-06-05 - 2005-06-11,+217%
2005-06-12 - 2005-06-18,+267%
2005-06-19 - 2005-06-25,+258%
2005-06-26 - 2005-07-02,+233%
2005-07-03 - 2005-07-09,+233%
2005-07-10 - 2005-07-16,+242%
2005-07-17 - 2005-07-23,+233%
2005-07-24 - 2005-07-30,+217%
2005-07-31 - 2005-08-06,+233%
2005-08-07 - 2005-08-13,+267%
2005-08-14 - 2005-08-20,+267%
2005-08-21 - 2005-08-27,+258%
2005-08-28 - 2005-09-03,+292%
2005-09-04 - 2005-09-10,+225%
2005-09-11 - 2005-09-17,+208%
2005-09-18 - 2005-09-24,+175%
2005-09-25 - 2005-10-01,+192%
2005-10-02 - 2005-10-08,+175%
2005-10-09 - 2005-10-15,+175%
2005-10-16 - 2005-10-22,+267%
2005-10-23 - 2005-10-29,+192%
2005-10-30 - 2005-11-05,+108%
2005-11-06 - 2005-11-12,+142%
2005-11-13 - 2005-11-19,+125%
2005-11-20 - 2005-11-26,+133%
2005-11-27 - 2005-12-03,+150%
2005-12-04 - 2005-12-10,+208%
2005-12-11 - 2005-12-17,+200%
2005-12-18 - 2005-12-24,+192%
2005-12-25 - 2005-12-31,+242%
2006-01-01 - 2006-01-07,+242%
2006-01-08 - 2006-01-14,+217%
2006-01-15 - 2006-01-21,+200%
2006-01-22 - 2006-01-28,+175%
2006-01-29 - 2006-02-04,+208%
2006-02-05 - 2006-02-11,+217%
2006-02-12 - 2006-02-18,+167%
2006-02-19 - 2006-02-25,+175%
2006-02-26 - 2006-03-04,+200%
2006-03-05 - 2006-03-11,+242%
2006-03-12 - 2006-03-18,+175%
2006-03-19 - 2006-03-25,+175%
2006-03-26 - 2006-04-01,+167%
2006-04-02 - 2006-04-08,+167%
2006-04-09 - 2006-04-15,+175%
2006-04-16 - 2006-04-22,+125%
2006-04-23 - 2006-04-29,+167%
2006-04-30 - 2006-05-06,+167%
2006-05-07 - 2006-05-13,+200%
2006-05-14 - 2006-05-20,+242%
2006-05-21 - 2006-05-27,+233%
2006-05-28 - 2006-06-03,+225%
2006-06-04 - 2006-06-10,+258%
2006-06-11 - 2006-06-17,+317%
2006-06-18 - 2006-06-24,+283%
2006-06-25 - 2006-07-01,+383%
2006-07-02 - 2006-07-08,+442%
2006-07-09 - 2006-07-15,+400%
2006-07-16 - 2006-07-22,+300%
2006-07-23 - 2006-07-29,+333%
2006-07-30 - 2006-08-05,+267%
2006-08-06 - 2006-08-12,+342%
2006-08-13 - 2006-08-19,+317%
2006-08-20 - 2006-08-26,+300%
2006-08-27 - 2006-09-02,+267%
2006-09-03 - 2006-09-09,+217%
