Web Search Interest
Spain; 2004 - present

Interest over time
Week,Live Sporting Events
2004-01-04 - 2004-01-10,+0%
2004-01-11 - 2004-01-17,+41%
2004-01-18 - 2004-01-24,+12%
2004-01-25 - 2004-01-31,+29%
2004-02-01 - 2004-02-07,+65%
2004-02-08 - 2004-02-14,+59%
2004-02-15 - 2004-02-21,+41%
2004-02-22 - 2004-02-28,+35%
2004-02-29 - 2004-03-06,+47%
2004-03-07 - 2004-03-13,+71%
2004-03-14 - 2004-03-20,+41%
2004-03-21 - 2004-03-27,+18%
2004-03-28 - 2004-04-03,+47%
2004-04-04 - 2004-04-10,+35%
2004-04-11 - 2004-04-17,+53%
2004-04-18 - 2004-04-24,+35%
2004-04-25 - 2004-05-01,+24%
2004-05-02 - 2004-05-08,+24%
2004-05-09 - 2004-05-15,+47%
2004-05-16 - 2004-05-22,+47%
2004-05-23 - 2004-05-29,+88%
2004-05-30 - 2004-06-05,+47%
2004-06-06 - 2004-06-12,+59%
2004-06-13 - 2004-06-19,+47%
2004-06-20 - 2004-06-26,+53%
2004-06-27 - 2004-07-03,+35%
2004-07-04 - 2004-07-10,+53%
2004-07-11 - 2004-07-17,+71%
2004-07-18 - 2004-07-24,+35%
2004-07-25 - 2004-07-31,+82%
2004-08-01 - 2004-08-07,+141%
2004-08-08 - 2004-08-14,+100%
2004-08-15 - 2004-08-21,+153%
2004-08-22 - 2004-08-28,+100%
2004-08-29 - 2004-09-04,+59%
2004-09-05 - 2004-09-11,+35%
2004-09-12 - 2004-09-18,+41%
2004-09-19 - 2004-09-25,+41%
2004-09-26 - 2004-10-02,+18%
2004-10-03 - 2004-10-09,+41%
2004-10-10 - 2004-10-16,+41%
2004-10-17 - 2004-10-23,+35%
2004-10-24 - 2004-10-30,+53%
2004-10-31 - 2004-11-06,+65%
2004-11-07 - 2004-11-13,+65%
2004-11-14 - 2004-11-20,+29%
2004-11-21 - 2004-11-27,+41%
2004-11-28 - 2004-12-04,+41%
2004-12-05 - 2004-12-11,+29%
2004-12-12 - 2004-12-18,+35%
2004-12-19 - 2004-12-25,+24%
2004-12-26 - 2005-01-01,+41%
2005-01-02 - 2005-01-08,+35%
