Web Search Interest
Spain; 2004 - present

Interest over time
Week,Car Rental & Taxi Services
2004-01-04 - 2004-01-10,+0%
2004-01-11 - 2004-01-17,+19%
2004-01-18 - 2004-01-24,+19%
2004-01-25 - 2004-01-31,+19%
2004-02-01 - 2004-02-07,+21%
2004-02-08 - 2004-02-14,+21%
2004-02-15 - 2004-02-21,+26%
2004-02-22 - 2004-02-28,+29%
2004-02-29 - 2004-03-06,+36%
2004-03-07 - 2004-03-13,+21%
2004-03-14 - 2004-03-20,+26%
2004-03-21 - 2004-03-27,+45%
2004-03-28 - 2004-04-03,+67%
2004-04-04 - 2004-04-10,+52%
2004-04-11 - 2004-04-17,+36%
2004-04-18 - 2004-04-24,+33%
2004-04-25 - 2004-05-01,+50%
2004-05-02 - 2004-05-08,+40%
2004-05-09 - 2004-05-15,+40%
2004-05-16 - 2004-05-22,+55%
2004-05-23 - 2004-05-29,+52%
2004-05-30 - 2004-06-05,+69%
2004-06-06 - 2004-06-12,+76%
2004-06-13 - 2004-06-19,+67%
2004-06-20 - 2004-06-26,+93%
2004-06-27 - 2004-07-03,+105%
2004-07-04 - 2004-07-10,+105%
2004-07-11 - 2004-07-17,+100%
2004-07-18 - 2004-07-24,+126%
2004-07-25 - 2004-07-31,+138%
2004-08-01 - 2004-08-07,+105%
2004-08-08 - 2004-08-14,+117%
2004-08-15 - 2004-08-21,+90%
2004-08-22 - 2004-08-28,+86%
2004-08-29 - 2004-09-04,+67%
2004-09-05 - 2004-09-11,+71%
2004-09-12 - 2004-09-18,+57%
2004-09-19 - 2004-09-25,+50%
2004-09-26 - 2004-10-02,+40%
2004-10-03 - 2004-10-09,+57%
2004-10-10 - 2004-10-16,+40%
2004-10-17 - 2004-10-23,+45%
2004-10-24 - 2004-10-30,+43%
2004-10-31 - 2004-11-06,+31%
2004-11-07 - 2004-11-13,+24%
2004-11-14 - 2004-11-20,+38%
2004-11-21 - 2004-11-27,+26%
2004-11-28 - 2004-12-04,+45%
2004-12-05 - 2004-12-11,+21%
2004-12-12 - 2004-12-18,+29%
2004-12-19 - 2004-12-25,+36%
2004-12-26 - 2005-01-01,+31%
2005-01-02 - 2005-01-08,+10%
2005-01-09 - 2005-01-15,+29%
2005-01-16 - 2005-01-22,+24%
2005-01-23 - 2005-01-29,+29%
2005-01-30 - 2005-02-05,+31%
2005-02-06 - 2005-02-12,+40%
2005-02-13 - 2005-02-19,+31%
2005-02-20 - 2005-02-26,+43%
2005-02-27 - 2005-03-05,+36%
2005-03-06 - 2005-03-12,+48%
2005-03-13 - 2005-03-19,+67%
2005-03-20 - 2005-03-26,+67%
2005-03-27 - 2005-04-02,+52%
2005-04-03 - 2005-04-09,+38%
2005-04-10 - 2005-04-16,+64%
2005-04-17 - 2005-04-23,+62%
2005-04-24 - 2005-04-30,+60%
2005-05-01 - 2005-05-07,+57%
2005-05-08 - 2005-05-14,+60%
2005-05-15 - 2005-05-21,+60%
2005-05-22 - 2005-05-28,+71%
2005-05-29 - 2005-06-04,+79%
2005-06-05 - 2005-06-11,+76%
2005-06-12 - 2005-06-18,+93%
2005-06-19 - 2005-06-25,+95%
2005-06-26 - 2005-07-02,+102%
2005-07-03 - 2005-07-09,+114%
2005-07-10 - 2005-07-16,+121%
2005-07-17 - 2005-07-23,+131%
2005-07-24 - 2005-07-30,+126%
2005-07-31 - 2005-08-06,+124%
2005-08-07 - 2005-08-13,+100%
2005-08-14 - 2005-08-20,+88%
2005-08-21 - 2005-08-27,+69%
2005-08-28 - 2005-09-03,+67%
2005-09-04 - 2005-09-10,+60%
2005-09-11 - 2005-09-17,+64%
2005-09-18 - 2005-09-24,+60%
2005-09-25 - 2005-10-01,+31%
2005-10-02 - 2005-10-08,+33%
2005-10-09 - 2005-10-15,+38%
2005-10-16 - 2005-10-22,+33%
2005-10-23 - 2005-10-29,+38%
2005-10-30 - 2005-11-05,+24%
2005-11-06 - 2005-11-12,+29%
2005-11-13 - 2005-11-19,+29%
2005-11-20 - 2005-11-26,+26%
2005-11-27 - 2005-12-03,+45%
2005-12-04 - 2005-12-10,+19%
2005-12-11 - 2005-12-17,+36%
2005-12-18 - 2005-12-24,+33%
2005-12-25 - 2005-12-31,+24%
2006-01-01 - 2006-01-07,+19%
2006-01-08 - 2006-01-14,+19%
2006-01-15 - 2006-01-21,+33%
2006-01-22 - 2006-01-28,+29%
2006-01-29 - 2006-02-04,+31%
2006-02-05 - 2006-02-11,+43%
2006-02-12 - 2006-02-18,+31%
2006-02-19 - 2006-02-25,+36%
2006-02-26 - 2006-03-04,+36%
2006-03-05 - 2006-03-11,+48%
2006-03-12 - 2006-03-18,+50%
2006-03-19 - 2006-03-25,+38%
2006-03-26 - 2006-04-01,+64%
2006-04-02 - 2006-04-08,+83%
2006-04-09 - 2006-04-15,+64%
2006-04-16 - 2006-04-22,+43%
2006-04-23 - 2006-04-29,+69%
2006-04-30 - 2006-05-06,+57%
2006-05-07 - 2006-05-13,+52%
2006-05-14 - 2006-05-20,+52%
2006-05-21 - 2006-05-27,+52%
2006-05-28 - 2006-06-03,+55%
2006-06-04 - 2006-06-10,+62%
2006-06-11 - 2006-06-17,+71%
2006-06-18 - 2006-06-24,+86%
2006-06-25 - 2006-07-01,+95%
2006-07-02 - 2006-07-08,+112%
2006-07-09 - 2006-07-15,+117%
2006-07-16 - 2006-07-22,+121%
2006-07-23 - 2006-07-29,+126%
2006-07-30 - 2006-08-05,+131%
2006-08-06 - 2006-08-12,+119%
2006-08-13 - 2006-08-19,+107%
2006-08-20 - 2006-08-26,+74%
2006-08-27 - 2006-09-02,+64%
2006-09-03 - 2006-09-09,+62%
2006-09-10 - 2006-09-16,+50%
2006-09-17 - 2006-09-23,+52%
2006-09-24 - 2006-09-30,+45%
2006-10-01 - 2006-10-07,+40%
2006-10-08 - 2006-10-14,+43%
2006-10-15 - 2006-10-21,+45%
2006-10-22 - 2006-10-28,+48%
2006-10-29 - 2006-11-04,+26%
2006-11-05 - 2006-11-11,+45%
2006-11-12 - 2006-11-18,+36%
2006-11-19 - 2006-11-25,+31%
2006-11-26 - 2006-12-02,+36%
2006-12-03 - 2006-12-09,+29%
2006-12-10 - 2006-12-16,+26%
2006-12-17 - 2006-12-23,+36%
2006-12-24 - 2006-12-30,+17%
